Module,Scope,Authority,Reconciliation,MaterialObligations,PrimaryArtifact,ManifestStatus,LockedDecisionCoverage,P13DecisionCoverage,P14ScopeStatus
M01,Identity / User / Authentication,Identity authority,Preserve,4,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,PASS,—,4 material obligations; locked decision coverage explicit where applicable,PASS
M02,Profile / Review,Profile/review authority,Preserve,4,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,PASS,—,4 material obligations; locked decision coverage explicit where applicable,PASS
M03,Listing / Listing Lifecycle / Refresh,Listing + Refresh action/eligibility authority,Preserve + augment,9,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip,PASS,D-LOCK-004,9 material obligations; locked decision coverage explicit where applicable,PASS
M04,Learning / Learning Economy / Session,Learning/session/evidence-production authority,Preserve + augment,3,RUMAHAGEN_WF03_M04_FULL_REBUILD_v1.2_QIR_INTEGRATED_CONTROLLED.zip,PASS,D-LOCK-005,3 material obligations; locked decision coverage explicit where applicable,PASS
M05,Event / Registration,Event/registration authority,Preserve,2,RUMAHAGEN_WF03_M05_FULL_REBUILD_CONTROLLED_v1.3_FULL_VERSION.zip,PASS,—,2 material obligations; locked decision coverage explicit where applicable,PASS
M06,Developer / Project / Marketing Kit / Claim,Developer/project/claim authority,Preserve + augment,5,RUMAHAGEN_WF03_M06_FULL_REBUILD_CONTROLLED_v1.5_FULL_VERSION.zip,PASS,—,5 material obligations; locked decision coverage explicit where applicable,PASS
M07,DBR,DBR authority,Preserve,2,RUMAHAGEN_WF03_M07_FULL_REBUILD_CONTROLLED_v1.1_FULL_VERSION.zip,PASS,—,2 material obligations; locked decision coverage explicit where applicable,PASS
M08,Dashboard / Notification Projection,Projection/notification authority,Preserve,2,RUMAHAGEN_WF03_M08_FULL_REBUILD_CONTROLLED_v1.0.zip,PASS,—,2 material obligations; locked decision coverage explicit where applicable,PASS
M09,Administration / Configuration / Audit,Administrative/configuration authority within underlying domain grants,Preserve + controlled augmentation,4,RUMAHAGEN_WF03_M09_FULL_REBUILD_CONTROLLED_v1.1_FULL_VERSION.zip,PASS,—,4 material obligations; locked decision coverage explicit where applicable,PASS
M10,Authorization / RBAC / Permission / Scope / RLS,Authorization authority,Preserve + augment,3,RUMAHAGEN_WF03_M10_FULL_REBUILD_CONTROLLED_v1.1_FULL_VERSION.zip,PASS,D-LOCK-002,3 material obligations; locked decision coverage explicit where applicable,PASS
M11,SEO / Discovery / Analytics,Public discovery/SEO/measurement layer; not source-domain business authority,Preserve + augment,4,RUMAHAGEN_WF03_M11_FULL_REBUILD_CONTROLLED_v2.0_FULL_VERSION.zip,PASS,D-LOCK-006,4 material obligations; locked decision coverage explicit where applicable,PASS
M12,Organization / Membership / Context,Organization/membership/context authority,Preserve + current lifecycle,3,RUMAHAGEN_WF03_M12_FULL_REBUILD_CONTROLLED_v1.0.zip,PASS,—,3 material obligations; locked decision coverage explicit where applicable,PASS
M13,AI / BYOK / Provider Catalogue,AI/BYOK/provider domain authority,Preserve + controlled configuration,4,RUMAHAGEN_WF03_M13_FULL_REBUILD_CONTROLLED_v1.0.zip,PASS,—,4 material obligations; locked decision coverage explicit where applicable,PASS
M14,Commercial / Payment / Entitlement / Quota / Promotion,Commercial/payment/entitlement/quota/promotion authority,Preserve + current commercial decisions,5,RUMAHAGEN_WF03_M14_FULL_REBUILD_v2.2_CORE_DETAIL_PARITY_FULL_VERSION.zip,PASS,D-LOCK-001; D-LOCK-004,5 material obligations; locked decision coverage explicit where applicable,PASS
M15,Qualification / Evidence / Award,Qualification/Award authority; consumes governed upstream evidence,Preserve + augment,3,RUMAHAGEN_WF03_M15_FULL_REBUILD_v1.1_CORE_DETAIL_SYNCHRONIZED_FULL_VERSION.zip,PASS,D-LOCK-003,3 material obligations; locked decision coverage explicit where applicable,PASS
