pack,source_zip,sha256,inner_file_count,inner_text_line_count,repo_path
STEP-00,pre-00 gate.zip,f241d2cc281168a25767d938b954c3fd84ab9e51dbfeb072116449f2507b8751,18,28366,docs/core/current/00-governance/STEP-00
P01_MODULE_DEPENDENCY,RUMAHAGEN_P1_MODULE_DEPENDENCY_MATRIX_FULL_REBUILD_20260907_v1.1.zip,1b58f73442b8f1a59d193645c512ab113db27e08d3f24e47084bb417f04c809f,12,3777,docs/core/current/P-SERIES/P01_MODULE_DEPENDENCY
STEP-01,RUMAHAGEN_STEP01_M01-M15_RECON_AUTHORITY_FREEZE_FULL_v1.0.zip,4392a4ecf1f3b1c3c170d921e10159e6fba60e3f72825ab35829c19dbd8cbe7f,8,261,docs/core/current/00-governance/STEP-01
P02_IMPLEMENTATION_STRATEGY,RUMAHAGEN_P2_MODULE_IMPLEMENTATION_STRATEGY_FULL_REBUILD_20260907_v1.2.zip,b379851d55006a26ef9cf33d087c2832f317a572ec6fcd96c131ed521a4fd106,13,3637,docs/core/current/P-SERIES/P02_IMPLEMENTATION_STRATEGY
STEP-02,RUMAHAGEN_STEP02_MASTER_RECON_INVENTORY_FULL_v1.1.zip,1b912658bd2bad4730b34eae25a32c37599e377cd51e1e48f01b2bffc113a82c,11,2656,docs/core/current/00-governance/STEP-02
P03_MODULE_PLANNING,RUMAHAGEN_P3_REVISED_MODULE_PLANNING_FULL_REBUILD_20260907_v1.1.zip,ded06455f433bfe9892887737d7d1e17a7747e8136b2af1404d7099156838b1e,16,636,docs/core/current/P-SERIES/P03_MODULE_PLANNING
STEP-03,RUMAHAGEN_STEP03_CORE_ARTIFACT_MAP_FULL_v1.3_CORRECTED_FULL_REBUILD (1).zip,6cb5f5f578a90c8cea0cdc2c3c3ac8b0af08fc27d9874ef36d847175cd5296b9,13,1663,docs/core/current/00-governance/STEP-03
P04_EXECUTION_SPECIFICATION,RUMAHAGEN_P4_MODULE_EXECUTION_SPECIFICATION_ARCHITECTURE_FULL_REBUILD_20260907_v1.3.zip,996dd6188b188b0ef9cf1b3bb2328d704d7e1ea7f63dfecc8fe98860c8bf5f60,34,2533,docs/core/current/P-SERIES/P04_EXECUTION_SPECIFICATION
STEP-04,RUMAHAGEN_STEP04_M01-M15_CORE_SYNCHRONIZATION_MATRIX_FULL_v1.2_CORRECTED_FULL_REBUILD.zip,958c2e83f0ae83da72a21a1fbc8939f93aa7f3fdad61479e59203ef24a5490ed,15,2171,docs/core/current/00-governance/STEP-04
P05_EXECUTION_BATCH,RUMAHAGEN_P5_EXECUTION_BATCH_PLAN_FULL_REBUILD_20260907_v1.1.zip,449ec695a80091910d01d0bd67db7de2e438749d235daa5665414d07afea8668,33,970,docs/core/current/P-SERIES/P05_EXECUTION_BATCH
STEP-05,RUMAHAGEN_STEP05_SEMANTIC_CONFLICT_RESOLUTION_FINAL_FULL_v1.1.zip,6a16adf8bd2a2e3946d0c0ce521f24dd520d6705821546bfc4b7baf85ee6eb4e,20,1268,docs/core/current/00-governance/STEP-05
P06_M01_M07,RUMAHAGEN_P6_FOCUSED_EXECUTION_PACK_M01-M07_FULL_REBUILD_20260908_v1.2.zip,1eaa8ddc83e7661337d411e9b12ced981425a567928b931ad73ad7660e66f791,18,451,docs/core/current/P-SERIES/P06_M01_M07
STEP-06,RUMAHAGEN_STEP06_ADDitive_SEMANTIC_MERGE_FULL_v1.1.zip,839a7eca7999f5905de846686536a1129bd591ac1c81eb9bdcb02efdaac67534,24,4977,docs/core/current/00-governance/STEP-06
P07_M08_M15,RUMAHAGEN_P7_FOCUSED_EXECUTION_PACK_M08-M15_FULL_REBUILD_20260908_v1.1.zip,3bab8c3081787808a17aa9e295b189fde30492e76724ad79f90a71b8558028c8,20,913,docs/core/current/P-SERIES/P07_M08_M15
STEP-07,RUMAHAGEN_STEP07_CROSS_MODULE_AUTHORITY_AND_COMPLETE_INTEGRATION_COVERAGE_FULL_v1.1.zip,56317e8be715d8bff3ea2311f5ecc40235677b044311cab42aa61e0426ed7c0c,40,5356,docs/core/current/00-governance/STEP-07
P08_EXECUTION_AUDIT,RUMAHAGEN_P8_EXECUTION_PACK_AUDIT_FULL_REBUILD_20260908_v1.0(1).zip,74d22867a8f56dcb2918f1b9af4a89606ff471d959c1c4fa7f10de17e388c9e0,17,371,docs/core/current/P-SERIES/P08_EXECUTION_AUDIT
STEP-08,RUMAHAGEN_STEP08_BUSINESS_RULES_BASELINE_CONSOLIDATED_FULL_v1.1_CORRECTED.zip,21c45f2bfaa3bc86661bfa29c90e1083167573821698161b688a6c76573da86a,14,3687,docs/core/current/01-business-rules/STEP-08
P09_ENGINEERING_ALIGNMENT,RUMAHAGEN_P9_ENGINEERING_ALIGNMENT_FULL_REBUILD_20260908_v1.1.zip,5282c54821bd5814ae696fb53d38c3358baa94e22c709621b5869439eed0c8c1,22,816,docs/core/current/P-SERIES/P09_ENGINEERING_ALIGNMENT
STEP-09-A2,RUMAHAGEN_STEP09-A2_CONSTITUTION_CONTROLLED_REENTRY_FULL_VERSION_v1.17.zip,c6bee627ffbf6d1b2054ec6138bccb60a58a066c9a864aa5eab7d129ce45f721,5,787,docs/core/current/02-architecture/STEP-09-A2
STEP-09-B,RUMAHAGEN_STEP09-B_ARCHITECTURE_CONTROLLED_REENTRY_FULL_VERSION_v1.9.zip,5dea71e59a93d42b0325cd3eb9bc1cc4171f68b398d019c6699cd6ad7e753cc8,5,1363,docs/core/current/02-architecture/STEP-09-B
STEP-09-C,RUMAHAGEN_STEP09-C_TECHNICAL_DECISIONS_CONTROLLED_REENTRY_FULL_VERSION_v1.6.zip,6b1b09431cac1425b6a4499553a0cbef724142f21f4e9bda96c2c5da5f1ab043,4,863,docs/core/current/02-architecture/STEP-09-C
STEP-09-D,RUMAHAGEN_STEP09-D_DEPENDENCY_MANIFEST_SYNCHRONIZATION_FULL_VERSION_CORRECTED_REENTRY_v1.0.zip,3751533dbce167e9a7dfd787b065dd8f2e513f4ad63762fe1b898d11703b0742,4,1685,docs/core/current/02-architecture/STEP-09-D
STEP-09-E,RUMAHAGEN_STEP09-E_CROSS_09_ARCHITECTURE_DEPENDENCY_RECONCILIATION_FULL_VERSION_v1.0.zip,20b94c41c1fed812fb653efce6e789cfbed6d6fd05b941430bf292e316fdafba,7,3888,docs/core/current/02-architecture/STEP-09-E
STEP-09-F,RUMAHAGEN_STEP09-F_FINAL_GATE_AND_DOWNSTREAM_HANDOFF_FULL_VERSION_v1.2_RERUN_01_CLEAN.zip,6fdcb4117d5c3327d6e4d4a83e2ec23d823d0fd3c2dcbb7ae35d7fb4b3fbe6f6,8,185,docs/core/current/02-architecture/STEP-09-F
P10_AI_BLUEPRINT,RUMAHAGEN_P10_AI_DEVELOPMENT_BLUEPRINT_FULL_REBUILD_20260908_v1.2.zip,0d158d601c7c4c508543c812f70d6019a2bddf19b9548514d75be658310eb808,17,402,docs/core/current/P-SERIES/P10_AI_BLUEPRINT
STEP-10-ABCD,STEP10-A1_A2_B_C_D_CHAIN_RERUN-02_FULL_VERSION.zip,bab0021387905c8b5bb0b417fcce3f27808b2975391bd8f5bb4ba332e4401043,57,7248,docs/core/current/03-data/STEP-10-ABCD-ERD-DICTIONARY-SCHEMA
STEP-10-E,STEP10-E_RERUN-04_FINAL_CORRECTION_FULL_VERSION.zip,459481026b785ec9fbe5e251794e676d36f59166cbee930c35dc9c106ae4ee59,8,284,docs/core/current/03-data/STEP-10-E-SYNCHRONIZATION
