archive,relative_path,zip_nesting_level,size
/mnt/data/RUMAHAGEN_P1_MODULE_DEPENDENCY_MATRIX_FULL_REBUILD_20260907_v1.0.zip,src0/RUMAHAGEN_P1_MODULE_DEPENDENCY_MATRIX_FULL_REBUILD_20260907/P1_CONTROLLED_RESIDUAL_REGISTER.csv,0,821
/mnt/data/RUMAHAGEN_P1_MODULE_DEPENDENCY_MATRIX_FULL_REBUILD_20260907_v1.0.zip,src0/RUMAHAGEN_P1_MODULE_DEPENDENCY_MATRIX_FULL_REBUILD_20260907/P1_CROSS_MODULE_CONTRACT_MATRIX.csv,0,1394
/mnt/data/RUMAHAGEN_P1_MODULE_DEPENDENCY_MATRIX_FULL_REBUILD_20260907_v1.0.zip,src0/RUMAHAGEN_P1_MODULE_DEPENDENCY_MATRIX_FULL_REBUILD_20260907/P1_DEPENDENCY_CLASSIFICATION_SUMMARY.csv,0,184
/mnt/data/RUMAHAGEN_P1_MODULE_DEPENDENCY_MATRIX_FULL_REBUILD_20260907_v1.0.zip,src0/RUMAHAGEN_P1_MODULE_DEPENDENCY_MATRIX_FULL_REBUILD_20260907/P1_INPUT_RECURSIVE_INVENTORY.csv,0,725411
/mnt/data/RUMAHAGEN_P1_MODULE_DEPENDENCY_MATRIX_FULL_REBUILD_20260907_v1.0.zip,src0/RUMAHAGEN_P1_MODULE_DEPENDENCY_MATRIX_FULL_REBUILD_20260907/P1_MASTER_MODULE_DEPENDENCY_MATRIX.csv,0,4817
/mnt/data/RUMAHAGEN_P1_MODULE_DEPENDENCY_MATRIX_FULL_REBUILD_20260907_v1.0.zip,src0/RUMAHAGEN_P1_MODULE_DEPENDENCY_MATRIX_FULL_REBUILD_20260907/P1_MODULE_AUTHORITY_REGISTER.csv,0,2069
/mnt/data/RUMAHAGEN_P1_MODULE_DEPENDENCY_MATRIX_FULL_REBUILD_20260907_v1.0.zip,src0/RUMAHAGEN_P1_MODULE_DEPENDENCY_MATRIX_FULL_REBUILD_20260907/P1_MODULE_DEPENDENCY_MATRIX_FULL_REBUILD_20260907_v1.0.docx,0,38100
/mnt/data/RUMAHAGEN_P1_MODULE_DEPENDENCY_MATRIX_FULL_REBUILD_20260907_v1.0.zip,src0/RUMAHAGEN_P1_MODULE_DEPENDENCY_MATRIX_FULL_REBUILD_20260907/P1_MODULE_DEPENDENCY_MATRIX_FULL_REBUILD_20260907_v1.0.md,0,20755
/mnt/data/RUMAHAGEN_P1_MODULE_DEPENDENCY_MATRIX_FULL_REBUILD_20260907_v1.0.zip,src0/RUMAHAGEN_P1_MODULE_DEPENDENCY_MATRIX_FULL_REBUILD_20260907/P1_MODULE_DEPENDENCY_MATRIX_WORKBOOK_v1.0.xlsx,0,12234
/mnt/data/RUMAHAGEN_P1_MODULE_DEPENDENCY_MATRIX_FULL_REBUILD_20260907_v1.0.zip,src0/RUMAHAGEN_P1_MODULE_DEPENDENCY_MATRIX_FULL_REBUILD_20260907/P1_SOURCE_SHA256_MANIFEST.csv,0,666
/mnt/data/STEP SYNC CORE(20260907-081753).zip,src1/STEP SYNC CORE/RUMAHAGEN_STEP01_M01-M15_RECON_AUTHORITY_FREEZE_FULL_v1.0.zip,0,10675
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP01_M01-M15_RECON_AUTHORITY_FREEZE_FULL_v1.0.zip,src1/__nested__/0001/00_STEP01_OUTPUT_MANIFEST_SHA256_v1.0.csv,1,884
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP01_M01-M15_RECON_AUTHORITY_FREEZE_FULL_v1.0.zip,src1/__nested__/0001/01_STEP01_M01-M15_RECON_AUTHORITY_FREEZE_FULL_REPORT_v1.0.md,1,8462
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP01_M01-M15_RECON_AUTHORITY_FREEZE_FULL_v1.0.zip,src1/__nested__/0001/02_STEP01_M01-M15_AUTHORITY_MATRIX_v1.0.csv,1,4704
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP01_M01-M15_RECON_AUTHORITY_FREEZE_FULL_v1.0.zip,src1/__nested__/0001/03_STEP01_RECON_SOURCE_INVENTORY_TOPLEVEL_v1.0.csv,1,6503
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP01_M01-M15_RECON_AUTHORITY_FREEZE_FULL_v1.0.zip,src1/__nested__/0001/04_STEP01_HISTORICAL_SUPERSEDED_SUPPORTING_EXCLUSION_REGISTER_v1.0.csv,1,1052
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP01_M01-M15_RECON_AUTHORITY_FREEZE_FULL_v1.0.zip,src1/__nested__/0001/05_STEP01_Q01-Q64_M14_PROVENANCE_AUDIT_v1.0.csv,1,550
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP01_M01-M15_RECON_AUTHORITY_FREEZE_FULL_v1.0.zip,src1/__nested__/0001/06_STEP01_VERSION_ID_EXCEPTION_REGISTER_v1.0.csv,1,684
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP01_M01-M15_RECON_AUTHORITY_FREEZE_FULL_v1.0.zip,src1/__nested__/0001/README_STEP01_FULL_VERSION_v1.0.md,1,723
/mnt/data/STEP SYNC CORE(20260907-081753).zip,src1/STEP SYNC CORE/RUMAHAGEN_STEP02_MASTER_RECON_INVENTORY_FULL_v1.1.zip,0,147584
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP02_MASTER_RECON_INVENTORY_FULL_v1.1.zip,src1/__nested__/0002/00_STEP02_OUTPUT_MANIFEST_SHA256_v1.1.csv,1,1179
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP02_MASTER_RECON_INVENTORY_FULL_v1.1.zip,src1/__nested__/0002/01_STEP02_MASTER_RECON_INVENTORY_FULL_v1.1.md,1,5855
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP02_MASTER_RECON_INVENTORY_FULL_v1.1.zip,src1/__nested__/0002/02_STEP02_M01-M15_ARTIFACT_INVENTORY_FULL.csv,1,1138437
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP02_MASTER_RECON_INVENTORY_FULL_v1.1.zip,src1/__nested__/0002/03_STEP02_CURRENT_AUTHORITY_REGISTER.csv,1,4105
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP02_MASTER_RECON_INVENTORY_FULL_v1.1.zip,src1/__nested__/0002/04_STEP02_HISTORICAL_SUPERSEDED_SUPPORTING_REGISTER.csv,1,3593
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP02_MASTER_RECON_INVENTORY_FULL_v1.1.zip,src1/__nested__/0002/05_STEP02_SCOPE_CAPABILITY_INVENTORY.csv,1,3637
