canonical_id,record_type,rule_name,module_authority,normalized_semantic_key,duplicate_key_count,duplicate_status
BR-001,CORE_CANONICAL_BR,Agency Ownership,M12,CORE_CANONICAL_BR|M12|agency ownership,1,UNIQUE_KEY
BR-002,CORE_CANONICAL_BR,Agency Membership,M12,CORE_CANONICAL_BR|M12|agency membership,1,UNIQUE_KEY
BR-003,CORE_CANONICAL_BR,Lead Role,M12,CORE_CANONICAL_BR|M12|lead role,1,UNIQUE_KEY
BR-004,CORE_CANONICAL_BR,Member Role,M12,CORE_CANONICAL_BR|M12|member role,1,UNIQUE_KEY
BR-005,CORE_CANONICAL_BR,Personal Context,M12,CORE_CANONICAL_BR|M12|personal context,1,UNIQUE_KEY
BR-006,CORE_CANONICAL_BR,Agency Context,M12,CORE_CANONICAL_BR|M12|agency context,1,UNIQUE_KEY
BR-007,CORE_CANONICAL_BR,Membership ≠ Ownership,M12,CORE_CANONICAL_BR|M12|membership ownership,1,UNIQUE_KEY
BR-008,CORE_CANONICAL_BR,Membership ≠ Personal Entitlement,M12,CORE_CANONICAL_BR|M12|membership personal entitlement,1,UNIQUE_KEY
BR-009,CORE_CANONICAL_BR,Agency Listing Ownership,M12,CORE_CANONICAL_BR|M12|agency listing ownership,1,UNIQUE_KEY
BR-010,CORE_CANONICAL_BR,Personal Listing Ownership,M12,CORE_CANONICAL_BR|M12|personal listing ownership,1,UNIQUE_KEY
BR-011,CORE_CANONICAL_BR,Listing Origin,M12,CORE_CANONICAL_BR|M12|listing origin,1,UNIQUE_KEY
BR-012,CORE_CANONICAL_BR,Current Context,M12,CORE_CANONICAL_BR|M12|current context,1,UNIQUE_KEY
BR-013,CORE_CANONICAL_BR,Agency Listing Visibility,M12,CORE_CANONICAL_BR|M12|agency listing visibility,1,UNIQUE_KEY
BR-014,CORE_CANONICAL_BR,Agency Listing CRUD,M12,CORE_CANONICAL_BR|M12|agency listing crud,1,UNIQUE_KEY
BR-015,CORE_CANONICAL_BR,Personal Listing Isolation,M12,CORE_CANONICAL_BR|M12|personal listing isolation,1,UNIQUE_KEY
BR-016,CORE_CANONICAL_BR,Voluntary Member Leave,M12,CORE_CANONICAL_BR|M12|voluntary member leave,1,UNIQUE_KEY
BR-017,CORE_CANONICAL_BR,Forced Removal,M12,CORE_CANONICAL_BR|M12|forced removal,1,UNIQUE_KEY
BR-018,CORE_CANONICAL_BR,Forced Removal Notification,M12,CORE_CANONICAL_BR|M12|forced removal notification,1,UNIQUE_KEY
BR-019,CORE_CANONICAL_BR,Leave and Forced Removal Equivalence,M12,CORE_CANONICAL_BR|M12|leave and forced removal equivalence,1,UNIQUE_KEY
BR-020,CORE_CANONICAL_BR,Standard Member Exit Transfer,M12,CORE_CANONICAL_BR|M12|standard member exit transfer,1,UNIQUE_KEY
BR-021,CORE_CANONICAL_BR,Published + Active Promo Exception,M12,CORE_CANONICAL_BR|M12|published active promo exception,1,UNIQUE_KEY
BR-022,CORE_CANONICAL_BR,Promo Continuation,M12,CORE_CANONICAL_BR|M12|promo continuation,1,UNIQUE_KEY
BR-023,CORE_CANONICAL_BR,Promo Expiry Transfer,M12,CORE_CANONICAL_BR|M12|promo expiry transfer,1,UNIQUE_KEY
BR-024,CORE_CANONICAL_BR,Automatic Transfer Trigger,M12,CORE_CANONICAL_BR|M12|automatic transfer trigger,1,UNIQUE_KEY
BR-025,CORE_CANONICAL_BR,Non-Exception Listing,M12,CORE_CANONICAL_BR|M12|non exception listing,1,UNIQUE_KEY
BR-026,CORE_CANONICAL_BR,Member Exit Listing Ownership,M12,CORE_CANONICAL_BR|M12|member exit listing ownership,1,UNIQUE_KEY
BR-027,CORE_CANONICAL_BR,Personal Context Detachment,M12,CORE_CANONICAL_BR|M12|personal context detachment,1,UNIQUE_KEY
BR-028,CORE_CANONICAL_BR,Origin Preservation,M12,CORE_CANONICAL_BR|M12|origin preservation,1,UNIQUE_KEY
BR-029,CORE_CANONICAL_BR,Listing Data Retention,M12,CORE_CANONICAL_BR|M12|listing data retention,1,UNIQUE_KEY
BR-030,CORE_CANONICAL_BR,Agency-Specific Data,M12,CORE_CANONICAL_BR|M12|agency specific data,1,UNIQUE_KEY
BR-031,CORE_CANONICAL_BR,Lead History Deletion,M12,CORE_CANONICAL_BR|M12|lead history deletion,1,UNIQUE_KEY
BR-032,CORE_CANONICAL_BR,No Lead History Migration,M12,CORE_CANONICAL_BR|M12|no lead history migration,1,UNIQUE_KEY
BR-033,CORE_CANONICAL_BR,Audit Boundary,M12,CORE_CANONICAL_BR|M12|audit boundary,1,UNIQUE_KEY
BR-034,CORE_CANONICAL_BR,Historical Audit Retention,M12,CORE_CANONICAL_BR|M12|historical audit retention,1,UNIQUE_KEY
BR-035,CORE_CANONICAL_BR,Promo Consumption,M12,CORE_CANONICAL_BR|M12|promo consumption,1,UNIQUE_KEY
BR-036,CORE_CANONICAL_BR,Consumed Promo Non-Reversal,M12,CORE_CANONICAL_BR|M12|consumed promo non reversal,1,UNIQUE_KEY
BR-037,CORE_CANONICAL_BR,Agency Promo During Member Exit,M12,CORE_CANONICAL_BR|M12|agency promo during member exit,1,UNIQUE_KEY
BR-038,CORE_CANONICAL_BR,Agency Closure Promo,M12,CORE_CANONICAL_BR|M12|agency closure promo,1,UNIQUE_KEY
