provenance_id,finding_id,module,step04_classification,core_artifact_id,core_artifact,core_section_heading,authority_owner,authority_source_artifact,merge_decision,semantic_delta_or_resolution,decision_basis,module_authority_artifact,dependency,source_chain,absorbed_or_retained,core_baseline_sha256,mxx_authority_source,step04_classification_locked,step05_resolution_required,merge_action_granular,duplicate_provenance_consolidated,core_detail_preserved,provenance_completeness_v1_1
STEP06-P-001,M01-CI-001,M01,PRESERVE,CAM11-0034,14_FUNCTIONAL/W4-02A.6.18_FUNCTIONAL_SPECIFICATION_CURRENT_FUNCTIONAL_IMPLEMENTATION_CONTRACT_v2.1.md,# 6. MODULE 1 — REGISTRATION & AUTHENTICATION,CORE FUNCTIONAL CONTRACT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,PRESERVE_EXISTING_CORE_DETAIL,User / Identity View-Update,STEP04 classification PRESERVE; no new semantic propagation required.,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,M02/M10/M12/M14/M15 as governed dependencies,Recon → STEP02/STEP01 authority/provenance → STEP03 Core mapping → STEP04 classification → STEP05 resolution where RECONCILE → STEP06 additive merge,RETAINED,d7e9a7b5c761d51495e77f73824f903ca057e602c204c79284a2ae70c522072e,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,YES,NO,YES,YES,YES,PASS
STEP06-P-002,M01-CI-002,M01,PRESERVE,CAM11-0034,14_FUNCTIONAL/W4-02A.6.18_FUNCTIONAL_SPECIFICATION_CURRENT_FUNCTIONAL_IMPLEMENTATION_CONTRACT_v2.1.md,# 6. MODULE 1 — REGISTRATION & AUTHENTICATION,CORE FUNCTIONAL CONTRACT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,PRESERVE_EXISTING_CORE_DETAIL,OTP / authentication lifecycle,STEP04 classification PRESERVE; no new semantic propagation required.,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,M02/M10/M12/M14/M15 as governed dependencies,Recon → STEP02/STEP01 authority/provenance → STEP03 Core mapping → STEP04 classification → STEP05 resolution where RECONCILE → STEP06 additive merge,RETAINED,d7e9a7b5c761d51495e77f73824f903ca057e602c204c79284a2ae70c522072e,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,YES,NO,YES,YES,YES,PASS
STEP06-P-003,M01-CI-003,M01,PRESERVE,CAM11-0034,14_FUNCTIONAL/W4-02A.6.18_FUNCTIONAL_SPECIFICATION_CURRENT_FUNCTIONAL_IMPLEMENTATION_CONTRACT_v2.1.md,# 6. MODULE 1 — REGISTRATION & AUTHENTICATION,CORE FUNCTIONAL CONTRACT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,PRESERVE_EXISTING_CORE_DETAIL,Verification Document Create,STEP04 classification PRESERVE; no new semantic propagation required.,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,M02/M10/M12/M14/M15 as governed dependencies,Recon → STEP02/STEP01 authority/provenance → STEP03 Core mapping → STEP04 classification → STEP05 resolution where RECONCILE → STEP06 additive merge,RETAINED,d7e9a7b5c761d51495e77f73824f903ca057e602c204c79284a2ae70c522072e,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,YES,NO,YES,YES,YES,PASS
STEP06-P-004,M01-CI-004,M01,PRESERVE,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,# RUMAHAGEN — W4-02A.6.30,CORE ENGINEERING ALIGNMENT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,PRESERVE_EXISTING_CORE_DETAIL,Verification Document View,STEP04 classification PRESERVE; no new semantic propagation required.,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,M02/M10/M12/M14/M15 as governed dependencies,Recon → STEP02/STEP01 authority/provenance → STEP03 Core mapping → STEP04 classification → STEP05 resolution where RECONCILE → STEP06 additive merge,RETAINED,239e06d97698eb97c4e362b1b9ecf25f064fbe8e665e2f9e328d00e6d339a090,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,YES,NO,YES,YES,YES,PASS
STEP06-P-005,M01-CI-005,M01,PRESERVE,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,# RUMAHAGEN — W4-02A.6.30,CORE ENGINEERING ALIGNMENT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,PRESERVE_EXISTING_CORE_DETAIL,Verification Document Review,STEP04 classification PRESERVE; no new semantic propagation required.,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,M02/M10/M12/M14/M15 as governed dependencies,Recon → STEP02/STEP01 authority/provenance → STEP03 Core mapping → STEP04 classification → STEP05 resolution where RECONCILE → STEP06 additive merge,RETAINED,239e06d97698eb97c4e362b1b9ecf25f064fbe8e665e2f9e328d00e6d339a090,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,YES,NO,YES,YES,YES,PASS
STEP06-P-006,M01-CI-006,M01,PRESERVE,14_FUNCTIONAL/W4-02A.6.18_FUNCTIONAL_SPECIFICATION_CURRENT_FUNCTIONAL_IMPLEMENTATION_CONTRACT_v2.1.md,14_FUNCTIONAL/W4-02A.6.18_FUNCTIONAL_SPECIFICATION_CURRENT_FUNCTIONAL_IMPLEMENTATION_CONTRACT_v2.1.md,# RUMAHAGEN — FUNCTIONAL SPECIFICATION,CORE FUNCTIONAL CONTRACT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,PRESERVE_EXISTING_CORE_DETAIL,Agent auto-activation,STEP04 classification PRESERVE; no new semantic propagation required.,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,M02/M10/M12/M14/M15 as governed dependencies,Recon → STEP02/STEP01 authority/provenance → STEP03 Core mapping → STEP04 classification → STEP05 resolution where RECONCILE → STEP06 additive merge,RETAINED,d7e9a7b5c761d51495e77f73824f903ca057e602c204c79284a2ae70c522072e,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,YES,NO,YES,YES,YES,PASS
STEP06-P-007,M01-CI-007,M01,AUGMENT,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,# RUMAHAGEN — W4-02A.6.30,CORE ENGINEERING ALIGNMENT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,ABSORB_ADDITIVE_DETAIL,Conditional KTP eligibility,STEP04 classification AUGMENT; validated module detail is additive and must not replace existing Core detail.,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,M02/M10/M12/M14/M15 as governed dependencies,Recon → STEP02/STEP01 authority/provenance → STEP03 Core mapping → STEP04 classification → STEP05 resolution where RECONCILE → STEP06 additive merge,ABSORBED,239e06d97698eb97c4e362b1b9ecf25f064fbe8e665e2f9e328d00e6d339a090,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,YES,NO,YES,YES,YES,PASS
STEP06-P-008,M01-CI-008,M01,PRESERVE,20_MODULE_PLANNING/W4-02A.6.24_REVISED_MODULE_PLANNING_CURRENT_MODULE_DELIVERY_PLANNING_v2.1.md,20_MODULE_PLANNING/W4-02A.6.24_REVISED_MODULE_PLANNING_CURRENT_MODULE_DELIVERY_PLANNING_v2.1.md,# RUMAHAGEN — REVISED MODULE PLANNING,CORE MODULE PLANNING AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,PRESERVE_EXISTING_CORE_DETAIL,KTP DEFERRED / ISI NANTI,STEP04 classification PRESERVE; no new semantic propagation required.,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,M02/M10/M12/M14/M15 as governed dependencies,Recon → STEP02/STEP01 authority/provenance → STEP03 Core mapping → STEP04 classification → STEP05 resolution where RECONCILE → STEP06 additive merge,RETAINED,7373552ff7f43e2822f7819b2101ec0df7bc1acee60e8b92dc866f330203d7be,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,YES,NO,YES,YES,YES,PASS
STEP06-P-009,M01-CI-009,M01,RECONCILE,19_IMPLEMENTATION_STRATEGY/W4-02A.6.23_MODULE_IMPLEMENTATION_STRATEGY_INTEGRATED_IMPLEMENTATION_SEQUENCING_v2.1.md,19_IMPLEMENTATION_STRATEGY/W4-02A.6.23_MODULE_IMPLEMENTATION_STRATEGY_INTEGRATED_IMPLEMENTATION_SEQUENCING_v2.1.md,# RUMAHAGEN — MODULE IMPLEMENTATION STRATEGY,CORE IMPLEMENTATION STRATEGY AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,APPLY_STEP05_RESOLUTION,PENDING_REVIEW is not an account-activation gate; OTP VERIFIED → ACCOUNT ACTIVE; KTP optional; ISI NANTI → KTP DEFERRED/NOT_PROVIDED while account remains ACTIVE.,STEP05 FINAL v1.1 resolved M01-CI-009; exact reconciliation scope applied without global deletion/replacement.,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,M02/M10/M12/M14/M15 as governed dependencies,Recon → STEP02/STEP01 authority/provenance → STEP03 Core mapping → STEP04 classification → STEP05 resolution where RECONCILE → STEP06 additive merge,ABSORBED,051aa36f9444153d1d56df6d960bd80d91922f3c1f84c02d636dc111dd20d47f,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,YES,YES,YES,YES,YES,PASS
STEP06-P-010,M01-CI-010,M01,PRESERVE,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,# RUMAHAGEN — W4-02A.6.30,CORE ENGINEERING ALIGNMENT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,PRESERVE_EXISTING_CORE_DETAIL,Identity → authorization M10,STEP04 classification PRESERVE; no new semantic propagation required.,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,M02/M10/M12/M14/M15 as governed dependencies,Recon → STEP02/STEP01 authority/provenance → STEP03 Core mapping → STEP04 classification → STEP05 resolution where RECONCILE → STEP06 additive merge,RETAINED,239e06d97698eb97c4e362b1b9ecf25f064fbe8e665e2f9e328d00e6d339a090,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,YES,NO,YES,YES,YES,PASS
