source_relative_path,extension,bytes,sha256,text_lines
STEP10-A1_A2_B_C_D_CHAIN_RERUN-02_FULL_VERSION.zip,zip,173343,bab0021387905c8b5bb0b417fcce3f27808b2975391bd8f5bb4ba332e4401043,
STEP10-00_RERUN-01_INPUT_DEEP_SCAN_CURRENTNESS_AUTHORITY_GATE_v1.0.md,md,9445,3bc2ad5defa73d1d038b632fc0b3f9f6d448c3c1997b1b109d85ce6d3dfaeb83,322
STEP14_FULL_CROSS_DOCUMENT_RECONCILIATION_FULL_REBUILD_PACKAGE_v1.1.zip,zip,27812,8d12beeab3e038f5260c5d4686df4e2b848e97c4107ec43dcf86a60f6739dac8,
pre-00 gate.zip,zip,277791,f241d2cc281168a25767d938b954c3fd84ab9e51dbfeb072116449f2507b8751,
STEP10-E_RERUN-04_FINAL_CORRECTION_FULL_VERSION.zip,zip,165267,459481026b785ec9fbe5e251794e676d36f59166cbee930c35dc9c106ae4ee59,
step sync Step P.zip,zip,1623992,fc94e25499f19ce4d6266547613795ddaea176b330ee094a1ec5cc13f2bd01c6,
step12 sync core.zip,zip,506801,91dbdadea5f00bc9d3aab3f7eb2f9fa9be5177620599b1ec01d393ddc2d069eb,
Step11 Sync core.zip,zip,905550,db6d96c9e0f9b9d22b17e44ffbdf00791b6eef8ccdc191c348f5fdb021f92826,
step13 sync core.zip,zip,240319,9e8798242781b11fe4cb784cee1f71e28d9d5bf20fe02f43215007271485f0c3,
STEP14_FULL_CROSS_DOCUMENT_RECONCILIATION_FULL_REBUILD_PACKAGE_v1.1__EXTRACTED/STEP14_CORE_V1.3_IN_SCOPE_ARTIFACT_INVENTORY_v1.1.md,md,709,301b636092c9fc75008a4bbe4b26d8f54b24395282efb6a84116998bfd59280d,14
STEP14_FULL_CROSS_DOCUMENT_RECONCILIATION_FULL_REBUILD_PACKAGE_v1.1__EXTRACTED/README_STEP14_FULL_REBUILD_v1.1.md,md,834,eaffb173940277c0b79cd43279db889cdfbb820946c9aef9238806056b66d88b,23
STEP14_FULL_CROSS_DOCUMENT_RECONCILIATION_FULL_REBUILD_PACKAGE_v1.1__EXTRACTED/STEP14-E_SECOND_FULL_DEEP_SCAN_v1.1.md,md,1176,2e0a1b0af7a21131717bc404aafa8dc61c8f4d8f194c5a10d14e998441a96946,34
STEP14_FULL_CROSS_DOCUMENT_RECONCILIATION_FULL_REBUILD_PACKAGE_v1.1__EXTRACTED/STEP14_CROSS_DOCUMENT_CONSISTENCY_MATRIX_FULL_223_v1.1.csv,csv,82873,7111c5e1cff26e91ef9aed1b376c7d2cbbcae1c920110f244de60099097ad707,224
STEP14_FULL_CROSS_DOCUMENT_RECONCILIATION_FULL_REBUILD_PACKAGE_v1.1__EXTRACTED/STEP14-A_CROSS_DOCUMENT_AUTHORITY_SEMANTIC_RECONCILIATION_v1.1.md,md,1679,d3348b335116a2de0059541a67db89a8d434b5422913f8cbf5b8dc9c729b4ae3,52
STEP14_FULL_CROSS_DOCUMENT_RECONCILIATION_FULL_REBUILD_PACKAGE_v1.1__EXTRACTED/STEP14_CORE_V1.3_IN_SCOPE_ARTIFACT_MATRIX_v1.1.csv,csv,3246,d1d03e68cd16c29896779ad4e7acdba540d87f2740d6414a76dacc245e03350a,22
STEP14_FULL_CROSS_DOCUMENT_RECONCILIATION_FULL_REBUILD_PACKAGE_v1.1__EXTRACTED/STEP14_OUTPUT_SHA256_MANIFEST_v1.1.csv,csv,2001,0ef1c3b8808eb9913ba91f8a23991581b3f0e5e9ed9210fc564b93e7c6f6d2f1,17
STEP14_FULL_CROSS_DOCUMENT_RECONCILIATION_FULL_REBUILD_PACKAGE_v1.1__EXTRACTED/STEP14_SOURCE_PROVENANCE_SHA256_MANIFEST_v1.1.csv,csv,1141,fc93b091d3c18cc6a35b86a3e07ab0e6a525595ee93269bba1da571eb1e511fd,9
STEP14_FULL_CROSS_DOCUMENT_RECONCILIATION_FULL_REBUILD_PACKAGE_v1.1__EXTRACTED/STEP14-D_FINAL_CROSS_DOCUMENT_RECONCILIATION_GATE_v1.1.md,md,1288,8841d7065554f1c105697e75b674d963c0e37ad5c96e8a4b649142acaa565441,30
STEP14_FULL_CROSS_DOCUMENT_RECONCILIATION_FULL_REBUILD_PACKAGE_v1.1__EXTRACTED/RUMAHAGEN_GOVERNANCE_CHECKLIST_v2.3_STEP14_COMPLETE_FULL_REBUILD.md,md,5351,9aef561972e5526ffab73cac11d6882bd989ec17f7ecafdbe50d6ad62e2a664b,86
STEP14_FULL_CROSS_DOCUMENT_RECONCILIATION_FULL_REBUILD_PACKAGE_v1.1__EXTRACTED/STEP14_FINAL_FINDING_REGISTER_v1.1.csv,csv,917,0fa3d70f50d3b22b1e13efa1220600b5ff9b5e0792209571545f0e4d81c55949,4
STEP14_FULL_CROSS_DOCUMENT_RECONCILIATION_FULL_REBUILD_PACKAGE_v1.1__EXTRACTED/STEP14_M01_M15_SUCCESSOR_CORE_TRACEABILITY_REVALIDATION_FULL_v1.1.csv,csv,105147,1c8e6ab3e3575b91da5499775cd33a9169904a220bb0306a1e868ea9c5c6160c,224
STEP14_FULL_CROSS_DOCUMENT_RECONCILIATION_FULL_REBUILD_PACKAGE_v1.1__EXTRACTED/STEP14-C_DATA_API_RBAC_FLOW_UIUX_SEO_RECONCILIATION_v1.1.md,md,1083,460839e70f006228922503af5091db30c89ec5b7cd8f3dabdff7481c5d68d875,19
STEP14_FULL_CROSS_DOCUMENT_RECONCILIATION_FULL_REBUILD_PACKAGE_v1.1__EXTRACTED/STEP14_PORTABLE_CHECKPOINT_v1.1.md,md,827,3596d7df4998b6972a90db2cbf6a2cff1bbaf4910034991b967824ba46d2b839,24
STEP14_FULL_CROSS_DOCUMENT_RECONCILIATION_FULL_REBUILD_PACKAGE_v1.1__EXTRACTED/STEP14-B_M01_M15_SUCCESSOR_CORE_TRACEABILITY_REVALIDATION_v1.1.md,md,684,d65a588d5222b6787bcf94ab5c4534d17f3e6ac859bca14e761eb738e9467455,21
STEP14_FULL_CROSS_DOCUMENT_RECONCILIATION_FULL_REBUILD_PACKAGE_v1.1__EXTRACTED/STEP14_RECURSIVE_ARCHIVE_INTEGRITY_MATRIX_v1.1.csv,csv,1252,f964fad71704efd2c52f9bec4f1879373d8d588210950be102d7e02fff25e8fc,9
STEP14_FULL_CROSS_DOCUMENT_RECONCILIATION_FULL_REBUILD_PACKAGE_v1.1__EXTRACTED/STEP14-00_INPUT_DEEP_SCAN_CURRENTNESS_AUTHORITY_GATE_v1.1.md,md,1248,e36827c04ec872e7397ae273ed49585c4085f2a3245f2bf65344cc437cfdb716,26
STEP10-A1_A2_B_C_D_CHAIN_RERUN-02_FULL_VERSION__EXTRACTED/STEP10-A1_A2_B_C_D_CHAIN_RERUN-02_FULL_VERSION/STEP10_CHAIN_SHA256_MANIFEST.csv,csv,8757,4a97d83592fdc8014b34dafc7caada41bb563e7e72e0bdb72aa384e5ff05a556,57
STEP10-A1_A2_B_C_D_CHAIN_RERUN-02_FULL_VERSION__EXTRACTED/STEP10-A1_A2_B_C_D_CHAIN_RERUN-02_FULL_VERSION/STEP10-C_RERUN_v1.1_FULL_VERSION/STEP10-C_RELATIONSHIP_REFERENCE_CONSISTENCY_RECONCILIATION_RERUN_v1.1.csv,csv,59981,8a4aee84b5b7aaceb9df4b475f173670ddd2fd5141a75c81befd1fa7d43fc5c4,150
