delta_id,module_or_area,target,type,finding,prior_status,d_disposition,execution_status
B-RR-003,M03,LISTINGS.last_refreshed_at,LOGICAL_AUGMENTATION,Current A1 adds freshness field; no exact physical column proven.,CONTROLLED_DOWNSTREAM,CONTROLLED_PHYSICAL_RECONCILIATION,NOT_EXECUTED
B-RR-004,M06,DEVELOPER_PROJECTS,LOGICAL_AUGMENTATION,24 newly represented M06 project fields are logical augmentations with no exact current physical corroboration.,CONTROLLED_DOWNSTREAM,CONTROLLED_PHYSICAL_RECONCILIATION,NOT_EXECUTED
B-RR-005,M06,REF_PROVINCES/REF_DISTRICTS → DEVELOPER_PROJECTS,NEW_LOGICAL_RELATIONSHIP,Two logical geography relationships are present in A1 RERUN; not physical FK execution claims.,CONTROLLED_DOWNSTREAM,CONTROLLED_PHYSICAL_RECONCILIATION,NOT_EXECUTED
B-RR-006,M06,DEVELOPER_PROJECTS.company_logo / description,PHYSICAL_GAP,No exact current physical columns.,CONTROLLED_DOWNSTREAM,CONTROLLED_PHYSICAL_RECONCILIATION,NOT_EXECUTED
B-RR-007,M06,DEVELOPER_PROJECT_MEDIA.type,SEMANTIC_PHYSICAL_CONFLICT,Physical CHECK allows brochure/pricelist while M06 logical Project Media is photo/video only; brochure/pricelist belong to MARKETING_KIT.,CONTROLLED_DOWNSTREAM,CONTROLLED_PHYSICAL_RECONCILIATION,NOT_EXECUTED
B-RR-008,M05,EVENT_REGISTRATIONS.agent_id,PHYSICAL_CONSTRAINT_CONFLICT,Current physical agent_id is NOT NULL and event_id+agent_id is UNIQUE; logical Guest registration permits no canonical user identity.,CONTROLLED_DOWNSTREAM,CONTROLLED_PHYSICAL_RECONCILIATION,NOT_EXECUTED
B-RR-009,M05,EVENT_PROVIDER_BINDING,NO_CURRENT_PHYSICAL_TABLE,Logical entity confirmed; no current physical table.,CONTROLLED_DOWNSTREAM,CONTROLLED_PHYSICAL_RECONCILIATION,NOT_EXECUTED
B-RR-010,M10,PERMISSION_PRESET family,NO_CURRENT_PHYSICAL_TABLE,Three logical preset entities have no current physical tables.,CONTROLLED_DOWNSTREAM,CONTROLLED_PHYSICAL_RECONCILIATION,NOT_EXECUTED
B-RR-011,M11,STATIC_PUBLIC_CONTENT / PUBLIC_ANNOUNCEMENT_PROMOTION,NO_CURRENT_PHYSICAL_TABLE,Two distinct logical public-resource entities have no current physical tables.,CONTROLLED_DOWNSTREAM,CONTROLLED_PHYSICAL_RECONCILIATION,NOT_EXECUTED
B-RR-012,M12,ORGANIZATION_DOCUMENT,NO_CURRENT_PHYSICAL_TABLE,Logical entity confirmed; no current physical table.,CONTROLLED_DOWNSTREAM,CONTROLLED_PHYSICAL_RECONCILIATION,NOT_EXECUTED
B-RR-013,M12,Organization Settings,AUGMENTATION,Settings remains augmentation of ORGANIZATIONS; dedicated physical table not proven.,CONTROLLED_DOWNSTREAM,CONTROLLED_PHYSICAL_RECONCILIATION,NOT_EXECUTED
B-RR-014,M14,daily_refresh_allowance,LOGICAL_AUGMENTATION,Allowance is commercial entitlement/quota semantics; no exact current physical column.,CONTROLLED_DOWNSTREAM,CONTROLLED_PHYSICAL_RECONCILIATION,NOT_EXECUTED
D-RR-001,M04 / A1-A2-B-C,LEARNING_ACTIVITY_COMPLETIONS.OR,UPSTREAM_PHANTOM_ATTRIBUTE,Prior C/A1/B mapping treated CHECK-expression token OR as a physical/logical attribute; rerun removed the two phantom attribute rows. No physical schema change.,BLOCKING_REENTRY,RESOLVED_UPSTREAM_REENTRY,RESOLVED
D-RR-002,M04 / A1-A2-B-C,LEARNING_UNLOCK_PROGRESSIONS.OR,UPSTREAM_PHANTOM_ATTRIBUTE,Prior C/A1/B mapping treated CHECK-expression token OR as a physical/logical attribute; rerun removed the two phantom attribute rows. No physical schema change.,BLOCKING_REENTRY,RESOLVED_UPSTREAM_REENTRY,RESOLVED
D-RR-003,W4-02A.6.15 reference document,14 table column inventories,SCHEMA_REFERENCE_DOCUMENT_DRIFT,Reference document column inventories differ from exact W4-01E/W4-02 SQL in 14 tables; W4-02 remains executable authority.,CURRENT_REFERENCE,DOCUMENTATION_RESIDUAL_NOT_SQL_FORK,NON_BLOCKING_PHYSICAL_AUTHORITY
