Screen,Folder,Actual,Expected,Dimension PASS,File PASS
ADM-001,02-DESKTOP,"(1440, 1024)","(1440, 1024)",True,True
ADM-001,03-MOBILE,"(390, 844)","(390, 844)",True,True
ADM-002,02-DESKTOP,"(1440, 1024)","(1440, 1024)",True,True
ADM-002,03-MOBILE,"(390, 844)","(390, 844)",True,True
ADM-003,02-DESKTOP,"(1440, 1024)","(1440, 1024)",True,True
ADM-003,03-MOBILE,"(390, 844)","(390, 844)",True,True
ADM-004,02-DESKTOP,"(1440, 1024)","(1440, 1024)",True,True
ADM-004,03-MOBILE,"(390, 844)","(390, 844)",True,True
ADM-005,02-DESKTOP,"(1440, 1024)","(1440, 1024)",True,True
ADM-005,03-MOBILE,"(390, 844)","(390, 844)",True,True
ADM-006,02-DESKTOP,"(1440, 1024)","(1440, 1024)",True,True
ADM-006,03-MOBILE,"(390, 844)","(390, 844)",True,True
ADM-007,02-DESKTOP,"(1440, 1024)","(1440, 1024)",True,True
ADM-007,03-MOBILE,"(390, 844)","(390, 844)",True,True
ADM-008,02-DESKTOP,"(1440, 1024)","(1440, 1024)",True,True
ADM-008,03-MOBILE,"(390, 844)","(390, 844)",True,True
ADM-009,02-DESKTOP,"(1440, 1024)","(1440, 1024)",True,True
ADM-009,03-MOBILE,"(390, 844)","(390, 844)",True,True
ADM-010,02-DESKTOP,"(1440, 1024)","(1440, 1024)",True,True
ADM-010,03-MOBILE,"(390, 844)","(390, 844)",True,True
ADM-011,02-DESKTOP,"(1440, 1024)","(1440, 1024)",True,True
ADM-011,03-MOBILE,"(390, 844)","(390, 844)",True,True
ADM-012,02-DESKTOP,"(1440, 1024)","(1440, 1024)",True,True
ADM-012,03-MOBILE,"(390, 844)","(390, 844)",True,True
ADM-013,02-DESKTOP,"(1440, 1024)","(1440, 1024)",True,True
ADM-013,03-MOBILE,"(390, 844)","(390, 844)",True,True
ADM-014,02-DESKTOP,"(1440, 1024)","(1440, 1024)",True,True
ADM-014,03-MOBILE,"(390, 844)","(390, 844)",True,True
ADM-015,02-DESKTOP,"(1440, 1024)","(1440, 1024)",True,True
ADM-015,03-MOBILE,"(390, 844)","(390, 844)",True,True
ADM-016,02-DESKTOP,"(1440, 1024)","(1440, 1024)",True,True
ADM-016,03-MOBILE,"(390, 844)","(390, 844)",True,True
ADM-017,02-DESKTOP,"(1440, 1024)","(1440, 1024)",True,True
ADM-017,03-MOBILE,"(390, 844)","(390, 844)",True,True
ADM-018,02-DESKTOP,"(1440, 1024)","(1440, 1024)",True,True
ADM-018,03-MOBILE,"(390, 844)","(390, 844)",True,True
ADM-019,02-DESKTOP,"(1440, 1024)","(1440, 1024)",True,True
ADM-019,03-MOBILE,"(390, 844)","(390, 844)",True,True
ADM-020,02-DESKTOP,"(1440, 1024)","(1440, 1024)",True,True
ADM-020,03-MOBILE,"(390, 844)","(390, 844)",True,True
