Module,Current authoritative artifact/root,Version identity,Authority status,Semantic scope,Entity/domain,Lifecycle,Permission relevance,Cross-module relevance
M01,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,v1.1,CURRENT AUTHORITATIVE,Identity/authentication; conditional KTP/deferred identity completion,"Identity/account, authentication, KTP lifecycle",M01 auth semantics; physical/runtime downstream,See M10 authorization governance,M02/M10/M12/M14/M15 as governed dependencies
M02,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,v1.1,CURRENT AUTHORITATIVE,"Profile, reviews, profile visibility, public CTA",Profile/review/public visibility,M02 visibility semantics,See M10 authorization governance,M01/M03/M11/M12
M03,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED,v1.3,CURRENT AUTHORITATIVE,Listing and Refresh action authority,"Listing, media/search/refresh",Listing lifecycle; Refresh action,See M10 authorization governance,M06/M11/M14
M04,RUMAHAGEN_WF03_M04_FULL_REBUILD_v1.2_QIR_INTEGRATED_CONTROLLED,v1.2,CURRENT AUTHORITATIVE,"Learning authority, Learning Economy, learning lifecycle/session evidence","Learning, course/session/enrollment/evidence",Learning lifecycle,See M10 authorization governance,M10/M14/M15
M05,RUMAHAGEN_WF03_M05_FULL_REBUILD_CONTROLLED_v1.3_FULL_VERSION,v1.3,CURRENT AUTHORITATIVE,"Event, Calendar, Event Registration",Event/calendar/registration,Event lifecycle/registration,See M10 authorization governance,M04/M11
M06,RUMAHAGEN_WF03_M06_FULL_REBUILD_CONTROLLED_v1.5_FULL_VERSION,v1.5,CURRENT AUTHORITATIVE,"Developer, Developer Project, Marketing Kit, Claim",Developer/project/media/marketing/claim,Project/claim/marketing lifecycle,See M10 authorization governance,M03/M11/M14
M07,RUMAHAGEN_WF03_M07_FULL_REBUILD_CONTROLLED_v1.1_FULL_VERSION,v1.1,CURRENT AUTHORITATIVE,DBR domain/configuration authority,DBR calculator/config,Configuration lifecycle,See M10 authorization governance,M09/M10
M08,RUMAHAGEN_WF03_M08_FULL_REBUILD_CONTROLLED_v1.0,v1.0,CURRENT AUTHORITATIVE,Dashboard Projection and Notification State only,Projection/notification,Projection state,See M10 authorization governance,M01-M15 upstream sources
M09,RUMAHAGEN_WF03_M09_FULL_REBUILD_CONTROLLED_v1.1_FULL_VERSION,v1.1,CURRENT AUTHORITATIVE,Administration/configuration/export/audit authority,Admin/report/export/audit,Administrative lifecycle,See M10 authorization governance,M10 and domain owners
M10,RUMAHAGEN_WF03_M10_FULL_REBUILD_CONTROLLED_v1.1_FULL_VERSION,v1.1,CURRENT AUTHORITATIVE,"Authorization: Role, Role Permission, Permission Preset, Capability, Scope, Condition, Ownership, Organization, RLS",RBAC/authorization,Authorization resolution,See M10 authorization governance,All modules
M11,RUMAHAGEN_WF03_M11_FULL_REBUILD_CONTROLLED_v2.0_FULL_VERSION,v2.0,CURRENT AUTHORITATIVE,"Public discovery, SEO, tracking/measurement across approved public surfaces",Public content/listing/agent/org/developer-project/event/static/announcement,Discovery/indexing/measurement,See M10 authorization governance,M02/M03/M05/M06/M09/M12/M14
M12,RUMAHAGEN_WF03_M12_FULL_REBUILD_CONTROLLED_v1.0,v1.0,CURRENT AUTHORITATIVE,Organization authority/membership/lifecycle/context,Organization/membership,Membership lifecycle,See M10 authorization governance,M03/M10/M11/M14
M13,RUMAHAGEN_WF03_M13_FULL_REBUILD_CONTROLLED_v1.0,v1.0,CURRENT AUTHORITATIVE,Provider catalogue and BYOK governance,AI provider/configuration,Provider/config lifecycle,See M10 authorization governance,M10/M09
M14,RUMAHAGEN_WF03_M14_FULL_REBUILD_v2.2_CORE_DETAIL_PARITY_FULL_VERSION,v2.2,CURRENT AUTHORITATIVE,Commercial: subscription/add-on/promotion/order/payment/entitlement/quota/reconciliation/Refresh allowance semantics,Commercial/payment/entitlement/quota,Commercial lifecycle,See M10 authorization governance,M03/M04/M06/M10/M11/M15
M15,RUMAHAGEN_WF03_M15_FULL_REBUILD_v1.1_CORE_DETAIL_SYNCHRONIZED_FULL_VERSION,v1.1,CURRENT AUTHORITATIVE,"Title, qualification, evidence, awarding authority",Qualification/evidence/title/award,Awarding lifecycle,See M10 authorization governance,M04/M10/M14
