artifact,bytes,sha256
README_STEP14_FULL_REBUILD_v1.1.md,834,eaffb173940277c0b79cd43279db889cdfbb820946c9aef9238806056b66d88b
RUMAHAGEN_GOVERNANCE_CHECKLIST_v2.3_STEP14_COMPLETE_FULL_REBUILD.md,5351,9aef561972e5526ffab73cac11d6882bd989ec17f7ecafdbe50d6ad62e2a664b
STEP14-00_INPUT_DEEP_SCAN_CURRENTNESS_AUTHORITY_GATE_v1.1.md,1248,e36827c04ec872e7397ae273ed49585c4085f2a3245f2bf65344cc437cfdb716
STEP14-A_CROSS_DOCUMENT_AUTHORITY_SEMANTIC_RECONCILIATION_v1.1.md,1679,d3348b335116a2de0059541a67db89a8d434b5422913f8cbf5b8dc9c729b4ae3
STEP14-B_M01_M15_SUCCESSOR_CORE_TRACEABILITY_REVALIDATION_v1.1.md,684,d65a588d5222b6787bcf94ab5c4534d17f3e6ac859bca14e761eb738e9467455
STEP14-C_DATA_API_RBAC_FLOW_UIUX_SEO_RECONCILIATION_v1.1.md,1083,460839e70f006228922503af5091db30c89ec5b7cd8f3dabdff7481c5d68d875
STEP14-D_FINAL_CROSS_DOCUMENT_RECONCILIATION_GATE_v1.1.md,1288,8841d7065554f1c105697e75b674d963c0e37ad5c96e8a4b649142acaa565441
STEP14-E_SECOND_FULL_DEEP_SCAN_v1.1.md,1176,2e0a1b0af7a21131717bc404aafa8dc61c8f4d8f194c5a10d14e998441a96946
STEP14_CORE_V1.3_IN_SCOPE_ARTIFACT_INVENTORY_v1.1.md,709,301b636092c9fc75008a4bbe4b26d8f54b24395282efb6a84116998bfd59280d
STEP14_CORE_V1.3_IN_SCOPE_ARTIFACT_MATRIX_v1.1.csv,3246,d1d03e68cd16c29896779ad4e7acdba540d87f2740d6414a76dacc245e03350a
STEP14_CROSS_DOCUMENT_CONSISTENCY_MATRIX_FULL_223_v1.1.csv,82873,7111c5e1cff26e91ef9aed1b376c7d2cbbcae1c920110f244de60099097ad707
STEP14_FINAL_FINDING_REGISTER_v1.1.csv,917,0fa3d70f50d3b22b1e13efa1220600b5ff9b5e0792209571545f0e4d81c55949
STEP14_M01_M15_SUCCESSOR_CORE_TRACEABILITY_REVALIDATION_FULL_v1.1.csv,105147,1c8e6ab3e3575b91da5499775cd33a9169904a220bb0306a1e868ea9c5c6160c
STEP14_PORTABLE_CHECKPOINT_v1.1.md,827,3596d7df4998b6972a90db2cbf6a2cff1bbaf4910034991b967824ba46d2b839
STEP14_RECURSIVE_ARCHIVE_INTEGRITY_MATRIX_v1.1.csv,1252,f964fad71704efd2c52f9bec4f1879373d8d588210950be102d7e02fff25e8fc
STEP14_SOURCE_PROVENANCE_SHA256_MANIFEST_v1.1.csv,1141,fc93b091d3c18cc6a35b86a3e07ab0e6a525595ee93269bba1da571eb1e511fd
