finding_id,module,classification,core_artifact_id,core_path,semantic_delta_or_resolution,successor_semantic_presence,successor_propagation_status,provenance_complete,physical_runtime_status,authority_revalidation,core_treatment,cross_document_scope
M01-CI-001,M01,PRESERVE,CAM11-0034,14_FUNCTIONAL/W4-02A.6.18_FUNCTIONAL_SPECIFICATION_CURRENT_FUNCTIONAL_IMPLEMENTATION_CONTRACT_v2.1.md,User / Identity View-Update,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_AND_INCORPORATED,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,PASS,FROZEN CORE RETAINED; SUCCESSOR PROPAGATION,STEP14 REVALIDATED
M01-CI-002,M01,PRESERVE,CAM11-0034,14_FUNCTIONAL/W4-02A.6.18_FUNCTIONAL_SPECIFICATION_CURRENT_FUNCTIONAL_IMPLEMENTATION_CONTRACT_v2.1.md,OTP / authentication lifecycle,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_AND_INCORPORATED,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,PASS,FROZEN CORE RETAINED; SUCCESSOR PROPAGATION,STEP14 REVALIDATED
M01-CI-003,M01,PRESERVE,CAM11-0034,14_FUNCTIONAL/W4-02A.6.18_FUNCTIONAL_SPECIFICATION_CURRENT_FUNCTIONAL_IMPLEMENTATION_CONTRACT_v2.1.md,Verification Document Create,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_AND_INCORPORATED,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,PASS,FROZEN CORE RETAINED; SUCCESSOR PROPAGATION,STEP14 REVALIDATED
M01-CI-004,M01,PRESERVE,CAM11-0066,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,Verification Document View,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_AND_INCORPORATED,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,PASS,FROZEN CORE RETAINED; SUCCESSOR PROPAGATION,STEP14 REVALIDATED
M01-CI-005,M01,PRESERVE,CAM11-0066,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,Verification Document Review,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_AND_INCORPORATED,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,PASS,FROZEN CORE RETAINED; SUCCESSOR PROPAGATION,STEP14 REVALIDATED
M01-CI-006,M01,PRESERVE,CAM11-0034,14_FUNCTIONAL/W4-02A.6.18_FUNCTIONAL_SPECIFICATION_CURRENT_FUNCTIONAL_IMPLEMENTATION_CONTRACT_v2.1.md,Agent auto-activation,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_AND_INCORPORATED,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,PASS,FROZEN CORE RETAINED; SUCCESSOR PROPAGATION,STEP14 REVALIDATED
M01-CI-007,M01,AUGMENT,CAM11-0066,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,Conditional KTP eligibility,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_AND_INCORPORATED,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,PASS,FROZEN CORE RETAINED; SUCCESSOR PROPAGATION,STEP14 REVALIDATED
M01-CI-008,M01,PRESERVE,CAM11-0040,20_MODULE_PLANNING/W4-02A.6.24_REVISED_MODULE_PLANNING_CURRENT_MODULE_DELIVERY_PLANNING_v2.1.md,KTP DEFERRED / ISI NANTI,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_AND_INCORPORATED,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,PASS,FROZEN CORE RETAINED; SUCCESSOR PROPAGATION,STEP14 REVALIDATED
M01-CI-009,M01,RECONCILE,CAM11-0039,19_IMPLEMENTATION_STRATEGY/W4-02A.6.23_MODULE_IMPLEMENTATION_STRATEGY_INTEGRATED_IMPLEMENTATION_SEQUENCING_v2.1.md,PENDING_REVIEW is not an account-activation gate; OTP VERIFIED → ACCOUNT ACTIVE; KTP optional; ISI NANTI → KTP DEFERRED/NOT_PROVIDED while account remains ACTIVE.,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_AND_INCORPORATED,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,PASS,FROZEN CORE RETAINED; SUCCESSOR PROPAGATION,STEP14 REVALIDATED
M01-CI-010,M01,PRESERVE,CAM11-0066,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,Identity → authorization M10,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_AND_INCORPORATED,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,PASS,FROZEN CORE RETAINED; SUCCESSOR PROPAGATION,STEP14 REVALIDATED
