module,p9_locked_scope,p10_translation,p11_context,p12_evidence_reconciliation,successor_delta_status,physical_runtime_required,p12_disposition
M01,CURRENT P9 ENGINEERING ALIGNMENT SCOPE,CURRENT P10_AI_BLUEPRINT AI DEVELOPMENT BLUEPRINT,CURRENT P11_AI_CONTEXT AI CONTEXT CONTRACT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL,NO UNCONTROLLED LOSS DETECTED,NO,PRESERVE / RECONCILE
M02,CURRENT P9 ENGINEERING ALIGNMENT SCOPE,CURRENT P10_AI_BLUEPRINT AI DEVELOPMENT BLUEPRINT,CURRENT P11_AI_CONTEXT AI CONTEXT CONTRACT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL,NO UNCONTROLLED LOSS DETECTED,NO,PRESERVE / RECONCILE
M03,CURRENT P9 ENGINEERING ALIGNMENT SCOPE,CURRENT P10_AI_BLUEPRINT AI DEVELOPMENT BLUEPRINT,CURRENT P11_AI_CONTEXT AI CONTEXT CONTRACT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL,NO UNCONTROLLED LOSS DETECTED,NO,PRESERVE / RECONCILE
M04,CURRENT P9 ENGINEERING ALIGNMENT SCOPE,CURRENT P10_AI_BLUEPRINT AI DEVELOPMENT BLUEPRINT,CURRENT P11_AI_CONTEXT AI CONTEXT CONTRACT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL,NO UNCONTROLLED LOSS DETECTED,NO,PRESERVE / RECONCILE
M05,CURRENT P9 ENGINEERING ALIGNMENT SCOPE,CURRENT P10_AI_BLUEPRINT AI DEVELOPMENT BLUEPRINT,CURRENT P11_AI_CONTEXT AI CONTEXT CONTRACT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL,NO UNCONTROLLED LOSS DETECTED,NO,PRESERVE / RECONCILE
M06,CURRENT P9 ENGINEERING ALIGNMENT SCOPE,CURRENT P10_AI_BLUEPRINT AI DEVELOPMENT BLUEPRINT,CURRENT P11_AI_CONTEXT AI CONTEXT CONTRACT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL,NO UNCONTROLLED LOSS DETECTED,NO,PRESERVE / RECONCILE
M07,CURRENT P9 ENGINEERING ALIGNMENT SCOPE,CURRENT P10_AI_BLUEPRINT AI DEVELOPMENT BLUEPRINT,CURRENT P11_AI_CONTEXT AI CONTEXT CONTRACT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL,NO UNCONTROLLED LOSS DETECTED,NO,PRESERVE / RECONCILE
M08,CURRENT P9 ENGINEERING ALIGNMENT SCOPE,CURRENT P10_AI_BLUEPRINT AI DEVELOPMENT BLUEPRINT,CURRENT P11_AI_CONTEXT AI CONTEXT CONTRACT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL,NO UNCONTROLLED LOSS DETECTED,NO,PRESERVE / RECONCILE
M09,CURRENT P9 ENGINEERING ALIGNMENT SCOPE,CURRENT P10_AI_BLUEPRINT AI DEVELOPMENT BLUEPRINT,CURRENT P11_AI_CONTEXT AI CONTEXT CONTRACT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL,NO UNCONTROLLED LOSS DETECTED,NO,PRESERVE / RECONCILE
M10,CURRENT P9 ENGINEERING ALIGNMENT SCOPE,CURRENT P10_AI_BLUEPRINT AI DEVELOPMENT BLUEPRINT,CURRENT P11_AI_CONTEXT AI CONTEXT CONTRACT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL,NO UNCONTROLLED LOSS DETECTED,NO,PRESERVE / RECONCILE
M11,CURRENT P9 ENGINEERING ALIGNMENT SCOPE,CURRENT P10_AI_BLUEPRINT AI DEVELOPMENT BLUEPRINT,CURRENT P11_AI_CONTEXT AI CONTEXT CONTRACT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL,NO UNCONTROLLED LOSS DETECTED,NO,PRESERVE / RECONCILE
M12,CURRENT P9 ENGINEERING ALIGNMENT SCOPE,CURRENT P10_AI_BLUEPRINT AI DEVELOPMENT BLUEPRINT,CURRENT P11_AI_CONTEXT AI CONTEXT CONTRACT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL,NO UNCONTROLLED LOSS DETECTED,NO,PRESERVE / RECONCILE
M13,CURRENT P9 ENGINEERING ALIGNMENT SCOPE,CURRENT P10_AI_BLUEPRINT AI DEVELOPMENT BLUEPRINT,CURRENT P11_AI_CONTEXT AI CONTEXT CONTRACT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL,NO UNCONTROLLED LOSS DETECTED,NO,PRESERVE / RECONCILE
M14,CURRENT P9 ENGINEERING ALIGNMENT SCOPE,CURRENT P10_AI_BLUEPRINT AI DEVELOPMENT BLUEPRINT,CURRENT P11_AI_CONTEXT AI CONTEXT CONTRACT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL,NO UNCONTROLLED LOSS DETECTED,NO,PRESERVE / RECONCILE
M15,CURRENT P9 ENGINEERING ALIGNMENT SCOPE,CURRENT P10_AI_BLUEPRINT AI DEVELOPMENT BLUEPRINT,CURRENT P11_AI_CONTEXT AI CONTEXT CONTRACT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL,NO UNCONTROLLED LOSS DETECTED,NO,PRESERVE / RECONCILE
