ID,Layer,Path,Authority_Class,Purpose,Current_Status
SRC-001,00_CONTROL,00_CONTROL/RENAME_REGISTER_6.33.md,BASELINE-METADATA,6.33 filename/semantic clarification metadata,CURRENT
SRC-002,00_CONTROL,00_CONTROL/W4-02A.6.0_CORE_ARTIFACT_INVENTORY_AND_ORDERING_LOCK_v1.1_BASE_TRACK_37_STEPS.docx,CONTROL-REFERENCE,Ordering / baseline control,CURRENT
SRC-003,00_CONTROL,00_CONTROL/W4-02A.7_FINAL_DOCUMENT_FREEZE_AUTHORITY_VERIFICATION_v1.0.md,FREEZE-CONTROL,Final authority/freeze verification,CURRENT
SRC-004,00_CONTROL,00_CONTROL/W4-02A.7_RECURSIVE_SOURCE_AUDIT_REGISTER_v1.0.csv,AUDIT-CONTROL,Recursive source audit evidence,CURRENT
SRC-005,01_GOVERNANCE,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,CURRENT-REFERENCE,Current contract/reference,CURRENT
SRC-006,01_GOVERNANCE,01_GOVERNANCE/W4-02A.6.2_GOVERNANCE_REGISTER_FULL_CONSOLIDATED_v1.16.docx,CURRENT-REFERENCE,Current contract/reference,CURRENT
SRC-007,03_BUSINESS_RULES,03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,CURRENT-REFERENCE,Current contract/reference,CURRENT
SRC-008,04_ARCHITECTURE,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,CURRENT-REFERENCE,Current contract/reference,CURRENT
SRC-009,05_TECHNICAL_DECISIONS,05_TECHNICAL_DECISIONS/W4-02A.6.6_TECHNICAL_DECISIONS_FULL_CONSOLIDATED_v1.6.docx,CURRENT-REFERENCE,Current contract/reference,CURRENT
SRC-010,06_DEPENDENCY_MANIFEST,06_DEPENDENCY_MANIFEST/W4-02A.6.7_DEPENDENCY_MANIFEST_FULL_CONSOLIDATED_v1.9.docx,CURRENT-REFERENCE,Current contract/reference,CURRENT
SRC-011,07_PRD,07_PRD/W4-02A.6.11_PRD_CURRENT_PRODUCT_REQUIREMENTS_FULL_CONSOLIDATED_v2.1.docx,CURRENT-REFERENCE,Current contract/reference,CURRENT
SRC-012,08_USER_FLOW,08_USER_FLOW/W4-02A.6.12_USER_FLOW_CURRENT_CROSS_DOMAIN_INTERACTION_FLOW_FULL_CONSOLIDATED_v2.1.docx,CURRENT-REFERENCE,Current contract/reference,CURRENT
SRC-013,09_ERD,09_ERD/W4-02A.6.13_ERD_CURRENT_LOGICAL_DATA_MODEL_FULL_CONSOLIDATED_v2.1.docx,CURRENT-REFERENCE,Current contract/reference,CURRENT
SRC-014,10_DATABASE_DICTIONARY,10_DATABASE_DICTIONARY/W4-02A.6.14_DATABASE_DICTIONARY_CURRENT_LOGICAL_TO_PHYSICAL_DATA_MEANING_FULL_CONSOLIDATED_v2.2.docx,CURRENT-REFERENCE,Current contract/reference,CURRENT
SRC-015,11_DATABASE_SCHEMA,11_DATABASE_SCHEMA/RUMAHAGEN_FULL_DATABASE_SCHEMA_SOURCE_ONLY_PACKAGE_v1.0.zip,PHYSICAL-REFERENCE,Current physical schema / migration reference,CURRENT
SRC-016,11_DATABASE_SCHEMA,11_DATABASE_SCHEMA/W4-01E_FINAL_BUILD_FROM_ZERO_SCHEMA_PACKAGE_v2.6.zip,PHYSICAL-REFERENCE,Current physical schema / migration reference,CURRENT
SRC-017,11_DATABASE_SCHEMA,11_DATABASE_SCHEMA/W4-02A.6.15_DATABASE_SCHEMA_CURRENT_PHYSICAL_SCHEMA_REFERENCE_FULL_CONSOLIDATED_v2.7.docx,PHYSICAL-REFERENCE,Current physical schema / migration reference,CURRENT
SRC-018,11_DATABASE_SCHEMA,11_DATABASE_SCHEMA/W4-02_CANONICAL_BUILD_FROM_ZERO_MIGRATION_PACKAGE_v1.0.zip,PHYSICAL-REFERENCE,Current physical schema / migration reference,CURRENT
SRC-019,12_API,12_API/W4-02A.6.16_API_SPECIFICATION_CURRENT_API_CONTRACT_BASELINE_FULL_CONSOLIDATED_v2.1.docx,CURRENT-REFERENCE,Current contract/reference,CURRENT
SRC-020,13_RBAC_RLS,13_RBAC_RLS/W4-02A.6.17_RBAC_PERMISSION_RLS_CURRENT_AUTHORIZATION_BASELINE_FULL_CONSOLIDATED_v2.1.docx,CURRENT-REFERENCE,Current contract/reference,CURRENT
SRC-021,14_FUNCTIONAL,14_FUNCTIONAL/W4-02A.6.18_FUNCTIONAL_SPECIFICATION_CURRENT_FUNCTIONAL_IMPLEMENTATION_CONTRACT_v2.1.md,CURRENT-REFERENCE,Current contract/reference,CURRENT
SRC-022,15_TECHNICAL,15_TECHNICAL/W4-02A.6.19_TECHNICAL_SPECIFICATION_CURRENT_TECHNICAL_IMPLEMENTATION_CONTRACT_v2.1.md,CURRENT-REFERENCE,Current contract/reference,CURRENT
SRC-023,16_UI_UX,16_UI_UX/W4-02A.6.20_UI_UX_SPECIFICATION_CURRENT_INTERFACE_BEHAVIOR_CONTRACT_v2.1.md,CURRENT-REFERENCE,Current contract/reference,CURRENT
SRC-024,17_SEO_ANALYTICS,17_SEO_ANALYTICS/W4-02A.6.21_SEO_ANALYTICS_SPECIFICATION_DISCOVERY_MEASUREMENT_BASELINE_v2.1.md,CURRENT-REFERENCE,Current contract/reference,CURRENT
SRC-025,18_MODULE_DEPENDENCY,18_MODULE_DEPENDENCY/W4-02A.6.22_MODULE_DEPENDENCY_MATRIX_CROSS_MODULE_DEPENDENCY_CONTRACT_v2.1.md,CURRENT-REFERENCE,Current contract/reference,CURRENT
SRC-026,19_IMPLEMENTATION_STRATEGY,19_IMPLEMENTATION_STRATEGY/W4-02A.6.23_MODULE_IMPLEMENTATION_STRATEGY_INTEGRATED_IMPLEMENTATION_SEQUENCING_v2.1.md,CURRENT-REFERENCE,Current contract/reference,CURRENT
SRC-027,20_MODULE_PLANNING,20_MODULE_PLANNING/W4-02A.6.24_REVISED_MODULE_PLANNING_CURRENT_MODULE_DELIVERY_PLANNING_v2.1.md,CURRENT-REFERENCE,Current contract/reference,CURRENT
SRC-028,21_EXECUTION_SPECIFICATION,21_EXECUTION_SPECIFICATION/W4-02A.6.25_MODULE_EXECUTION_SPECIFICATION_ARCHITECTURE_v2.1.md,CURRENT-REFERENCE,Current contract/reference,CURRENT
SRC-029,22_EXECUTION_BATCH,22_EXECUTION_BATCH/W4-02A.6.26_MODULE_EXECUTION_DEPENDENCY_BATCH_PLAN_v2.1.md,CURRENT-REFERENCE,Current contract/reference,CURRENT
SRC-030,23_M01_M07,23_M01_M07/W4-02A.6.27_FOCUSED_EXECUTION_PACK_M01-M07_v2.1.md,CURRENT-REFERENCE,Current contract/reference,CURRENT
SRC-031,23_M01_M07,23_M01_M07/W4-02A.6.27_FOCUSED_EXECUTION_PACK_M01-M07_v2.1.zip,CURRENT-REFERENCE,Current contract/reference,CURRENT
SRC-032,24_M08_M15,24_M08_M15/W4-02A.6.28_FOCUSED_EXECUTION_PACK_M08-M15_v2.1.md,CURRENT-REFERENCE,Current contract/reference,CURRENT
SRC-033,24_M08_M15,24_M08_M15/W4-02A.6.28_FOCUSED_EXECUTION_PACK_M08-M15_v2.1.zip,CURRENT-REFERENCE,Current contract/reference,CURRENT
SRC-034,25_EXECUTION_AUDIT,25_EXECUTION_AUDIT/W4-02A.6.29_EXECUTION_PACK_AUDIT_RECONCILIATION_v2.1.md,CURRENT-REFERENCE,Current contract/reference,CURRENT
SRC-035,26_ENGINEERING_ALIGNMENT,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,CURRENT-REFERENCE,Current contract/reference,CURRENT
SRC-036,27_AI_BLUEPRINT,27_AI_BLUEPRINT/W4-02A.6.31_AI_DEVELOPMENT_BLUEPRINT_v2.1.md,CURRENT-REFERENCE,Current contract/reference,CURRENT
SRC-037,28_AI_CONTEXT,28_AI_CONTEXT/W4-02A.6.32_AI_CONTEXT_PACK_v2.1.md,CURRENT-REFERENCE,Current contract/reference,CURRENT
SRC-038,29_FINAL_CONTROL,29_FINAL_CONTROL/W4-02A.6.33_DECISION_LOG_FINAL_v2.1.md,FINAL-CONTROL,Final current baseline control,CURRENT
SRC-039,29_FINAL_CONTROL,29_FINAL_CONTROL/W4-02A.6.34_CHANGELOG_FINAL_v1.0.docx,FINAL-CONTROL,Final current baseline control,CURRENT
SRC-040,29_FINAL_CONTROL,29_FINAL_CONTROL/W4-02A.6.35_PROJECT_MANIFEST_FINAL_v1.32.docx,FINAL-CONTROL,Final current baseline control,CURRENT
SRC-041,29_FINAL_CONTROL,29_FINAL_CONTROL/W4-02A.6.36_CURRENT_PROJECT_STATE_FINAL_rev15.docx,FINAL-CONTROL,Final current baseline control,CURRENT
SRC-042,29_FINAL_CONTROL,29_FINAL_CONTROL/W4-02A.6.37_FINAL_CROSS_DOCUMENT_RECONCILIATION_v1.0.docx,FINAL-CONTROL,Final current baseline control,CURRENT
SRC-043,30_RECONCILIATION_EVIDENCE,30_RECONCILIATION_EVIDENCE/W4-02A.5R_SOURCE_UPDATE_REVALIDATION_v1.1.docx,EVIDENCE,Reconciliation / provenance evidence,CURRENT
SRC-044,30_RECONCILIATION_EVIDENCE,30_RECONCILIATION_EVIDENCE/W4-02A.5_CROSS_DOMAIN_CONFLICT_RESIDUAL_AUDIT_FULL_CONSOLIDATED_v1.0.docx,EVIDENCE,Reconciliation / provenance evidence,CURRENT
SRC-045,README_CURRENT_BASELINE.md,README_CURRENT_BASELINE.md,CURRENT-REFERENCE,Current contract/reference,CURRENT
