consumer,producer,dependency_type,domain,authority_owner,condition_or_reason,critical_path,p11_routing_rule,p11_route
M02,M01,HARD,Identity,M01,All authenticated profile actors,Yes,Load producer context only when required by the consumer WP; preserve dependency type and authority owner; do not promote dependency to new authority.,"Mandatory dependency context is preserved; hard dependency is always loaded, conditional dependency only when activated by WP scope; dependency never creates new authority."
M03,M01,HARD,Identity,M01,Listing actor/owner,Yes,Load producer context only when required by the consumer WP; preserve dependency type and authority owner; do not promote dependency to new authority.,"Mandatory dependency context is preserved; hard dependency is always loaded, conditional dependency only when activated by WP scope; dependency never creates new authority."
M04,M01,HARD,Identity,M01,Learning/session actor,Yes,Load producer context only when required by the consumer WP; preserve dependency type and authority owner; do not promote dependency to new authority.,"Mandatory dependency context is preserved; hard dependency is always loaded, conditional dependency only when activated by WP scope; dependency never creates new authority."
M05,M01,HARD,Identity,M01,Event registration actor,Yes,Load producer context only when required by the consumer WP; preserve dependency type and authority owner; do not promote dependency to new authority.,"Mandatory dependency context is preserved; hard dependency is always loaded, conditional dependency only when activated by WP scope; dependency never creates new authority."
M06,M01,HARD,Identity,M01,Developer/claim actor,Yes,Load producer context only when required by the consumer WP; preserve dependency type and authority owner; do not promote dependency to new authority.,"Mandatory dependency context is preserved; hard dependency is always loaded, conditional dependency only when activated by WP scope; dependency never creates new authority."
M07,M01,HARD,Identity,M01,DBR subject,Yes,Load producer context only when required by the consumer WP; preserve dependency type and authority owner; do not promote dependency to new authority.,"Mandatory dependency context is preserved; hard dependency is always loaded, conditional dependency only when activated by WP scope; dependency never creates new authority."
M08,M01,HARD,Identity,M01,Dashboard subject,Yes,Load producer context only when required by the consumer WP; preserve dependency type and authority owner; do not promote dependency to new authority.,"Mandatory dependency context is preserved; hard dependency is always loaded, conditional dependency only when activated by WP scope; dependency never creates new authority."
M09,M01,HARD,Identity,M01,Admin actor,Yes,Load producer context only when required by the consumer WP; preserve dependency type and authority owner; do not promote dependency to new authority.,"Mandatory dependency context is preserved; hard dependency is always loaded, conditional dependency only when activated by WP scope; dependency never creates new authority."
M10,M01,HARD,Identity,M01,Authorization subject,Yes,Load producer context only when required by the consumer WP; preserve dependency type and authority owner; do not promote dependency to new authority.,"Mandatory dependency context is preserved; hard dependency is always loaded, conditional dependency only when activated by WP scope; dependency never creates new authority."
M12,M01,HARD,Identity,M01,Organization member,Yes,Load producer context only when required by the consumer WP; preserve dependency type and authority owner; do not promote dependency to new authority.,"Mandatory dependency context is preserved; hard dependency is always loaded, conditional dependency only when activated by WP scope; dependency never creates new authority."
M13,M01,HARD,Identity,M01,BYOK owner,Yes,Load producer context only when required by the consumer WP; preserve dependency type and authority owner; do not promote dependency to new authority.,"Mandatory dependency context is preserved; hard dependency is always loaded, conditional dependency only when activated by WP scope; dependency never creates new authority."
M14,M01,HARD,Identity,M01,Commercial actor/order ownership,Yes,Load producer context only when required by the consumer WP; preserve dependency type and authority owner; do not promote dependency to new authority.,"Mandatory dependency context is preserved; hard dependency is always loaded, conditional dependency only when activated by WP scope; dependency never creates new authority."
M15,M01,HARD,Identity,M01,Award recipient,Yes,Load producer context only when required by the consumer WP; preserve dependency type and authority owner; do not promote dependency to new authority.,"Mandatory dependency context is preserved; hard dependency is always loaded, conditional dependency only when activated by WP scope; dependency never creates new authority."
M02,M10,HARD — AUTHORIZATION,Authorization,M10,Profile/review access,Yes,Load producer context only when required by the consumer WP; preserve dependency type and authority owner; do not promote dependency to new authority.,"Mandatory dependency context is preserved; hard dependency is always loaded, conditional dependency only when activated by WP scope; dependency never creates new authority."
M03,M10,HARD — AUTHORIZATION,Authorization,M10,Listing scope/mutation access,Yes,Load producer context only when required by the consumer WP; preserve dependency type and authority owner; do not promote dependency to new authority.,"Mandatory dependency context is preserved; hard dependency is always loaded, conditional dependency only when activated by WP scope; dependency never creates new authority."
M04,M10,HARD — AUTHORIZATION,Authorization,M10,Learning/session access,Yes,Load producer context only when required by the consumer WP; preserve dependency type and authority owner; do not promote dependency to new authority.,"Mandatory dependency context is preserved; hard dependency is always loaded, conditional dependency only when activated by WP scope; dependency never creates new authority."
M05,M10,HARD — AUTHORIZATION,Authorization,M10,Event permission,Yes,Load producer context only when required by the consumer WP; preserve dependency type and authority owner; do not promote dependency to new authority.,"Mandatory dependency context is preserved; hard dependency is always loaded, conditional dependency only when activated by WP scope; dependency never creates new authority."
M06,M10,HARD — AUTHORIZATION,Authorization,M10,Developer/project/claim access,Yes,Load producer context only when required by the consumer WP; preserve dependency type and authority owner; do not promote dependency to new authority.,"Mandatory dependency context is preserved; hard dependency is always loaded, conditional dependency only when activated by WP scope; dependency never creates new authority."
M07,M10,HARD — AUTHORIZATION,Authorization,M10,DBR access/configuration,Yes,Load producer context only when required by the consumer WP; preserve dependency type and authority owner; do not promote dependency to new authority.,"Mandatory dependency context is preserved; hard dependency is always loaded, conditional dependency only when activated by WP scope; dependency never creates new authority."
