table,doc_column_count,sql_column_count,doc_not_sql,sql_not_doc
role_permissions,7,7,ditambahkan,updated_at
users,8,11,,created_at;email;role_id
agent_verification_documents,9,9,ERD,encrypted
agent_profiles,16,17,ERD;sewa,coverage_area;created_at;total_listings_rented
agent_reviews,10,12,,created_at;reviewer_name
developer_partners,7,8,,created_at
organizations,15,16,,created_at
listings,46,48,,created_at;listing_context
listing_photos,8,8,deteksi,photo_hash
courses,10,11,,created_at
events,17,18,,created_at
dbr_simulations,16,17,enkripsi;lihat,existing_installments;interest_rate_annual;property_price
audit_logs,8,9,,old_value
agent_ai_connections,8,9,,status
