finding,module,core_artifact,section_anchor,semantic_status,resolution_action,exact_reconciliation_scope,preservation_action,preserved_core_detail,downstream_status,provenance
M01-CI-009,M01,14_FUNCTIONAL/W4-02A.6.18...,§6.1 FR-M01-001,CONFLICTING_CORE_EVIDENCE,Apply M01 locked activation semantics to the account-activation path.,Only M01 Agent account activation / KTP-at-activation path. Do not globally delete PENDING_REVIEW; preserve other legitimate lifecycle uses.,KEEP_UNRELATED_CORE_DETAIL,All non-activation registration/authentication/KTP privacy/compliance detail,STEP05_SEMANTIC_ONLY; PHYSICAL/API/RLS/Runtime CONTROLLED DOWNSTREAM,M01 v1.1 + PRE-00-C v1.1
M01-CI-009,M01,16_UI_UX/W4-02A.6.20...,§9.3,CONFLICTING_CORE_EVIDENCE,Apply M01 locked activation semantics to the account-activation path.,Only M01 Agent account activation / KTP-at-activation path. Do not globally delete PENDING_REVIEW; preserve other legitimate lifecycle uses.,KEEP_UNRELATED_CORE_DETAIL,All non-activation registration/authentication/KTP privacy/compliance detail,STEP05_SEMANTIC_ONLY; PHYSICAL/API/RLS/Runtime CONTROLLED DOWNSTREAM,M01 v1.1 + PRE-00-C v1.1
M02-CI-008,M02,14_FUNCTIONAL/W4-02A.6.18...,§7.4 FR-M02-004,CONFLICTING_CORE_EVIDENCE,Apply M02 auto-approval and post-publication moderation semantics to M02 Review publication.,Only M02 Agent Review publication/moderation semantics. Does not make every review-like resource globally auto-approved.,KEEP_UNRELATED_CORE_DETAIL,"Review ownership, view scope, moderation capability, aggregate rating, public presentation",STEP05_SEMANTIC_ONLY; PHYSICAL/API/RLS/Runtime CONTROLLED DOWNSTREAM,M02 v1.1 + PRE-00-D v1.1
M02-CI-008,M02,16_UI_UX/W4-02A.6.20...,§8.1,CONFLICTING_CORE_EVIDENCE,Apply M02 auto-approval and post-publication moderation semantics to M02 Review publication.,Only M02 Agent Review publication/moderation semantics. Does not make every review-like resource globally auto-approved.,KEEP_UNRELATED_CORE_DETAIL,"Review ownership, view scope, moderation capability, aggregate rating, public presentation",STEP05_SEMANTIC_ONLY; PHYSICAL/API/RLS/Runtime CONTROLLED DOWNSTREAM,M02 v1.1 + PRE-00-D v1.1
M02-CI-011,M02,14_FUNCTIONAL/W4-02A.6.18...,CAM11-0034 / §6.1 / lines 340–372,CONFLICTING_CORE_EVIDENCE,Apply locked M01/M02 deferred-KTP semantics to the registration activation path and neutralize contradictory Pending Review activation wording.,Exact STEP03/STEP04 target anchors CAM11-0034 and CAM11-0036; only registration/KTP activation semantics. Preserve all unrelated Pending Review states.,KEEP_UNRELATED_CORE_DETAIL,"Identity authority, protected KTP data, later completion, unrelated Pending Review states",STEP05_SEMANTIC_ONLY; PHYSICAL/API/RLS/Runtime CONTROLLED DOWNSTREAM,M01 v1.1 + M02 v1.1 + PRE-00-C/D + STEP03-A v1.0
M02-CI-011,M02,16_UI_UX/W4-02A.6.20...,CAM11-0036 / §9.3 / lines 666–680,CONFLICTING_CORE_EVIDENCE,Apply locked M01/M02 deferred-KTP semantics to the registration activation path and neutralize contradictory Pending Review activation wording.,Exact STEP03/STEP04 target anchors CAM11-0034 and CAM11-0036; only registration/KTP activation semantics. Preserve all unrelated Pending Review states.,KEEP_UNRELATED_CORE_DETAIL,"Identity authority, protected KTP data, later completion, unrelated Pending Review states",STEP05_SEMANTIC_ONLY; PHYSICAL/API/RLS/Runtime CONTROLLED DOWNSTREAM,M01 v1.1 + M02 v1.1 + PRE-00-C/D + STEP03-A v1.0
M03-CI-001,M03,14_FUNCTIONAL/W4-02A.6.18...,§8.3 FR-M03-003,CONFLICTING_CORE_EVIDENCE,Apply M03 direct publication semantics to the normal Listing publish path.,Only normal M03 Listing publication. Do not globally remove PENDING_REVIEW where another domain legitimately uses it.,KEEP_UNRELATED_CORE_DETAIL,"Listing data, ownership, organization context, search, media, leads, CTA, enforcement",STEP05_SEMANTIC_ONLY; PHYSICAL/API/RLS/Runtime CONTROLLED DOWNSTREAM,M03 v1.3 + PRE-00-E v1.1
M06-CI-007,M06,11_DATABASE_SCHEMA/W4-02A.6.15...,§4.14 developer_project_media,CONFLICTING_CORE_EVIDENCE,Apply M06 semantic boundary; retain extra physical enum values only as downstream controlled implementation residue until STEP06/downstream synchronization decides physical realization.,Semantic meaning of M06 Project Media only; no destructive physical schema edit in STEP05.,KEEP_UNRELATED_CORE_DETAIL,Project/media entities and physical evidence; Marketing Kit semantics,STEP05_SEMANTIC_ONLY; PHYSICAL/API/RLS/Runtime CONTROLLED DOWNSTREAM,M06 v1.5 + PRE-00-H v1.1
M13-CI-001,M13,13_RBAC_RLS/W4-02A.6.17...,§7 legacy role compatibility,CONFLICTING_CORE_EVIDENCE,Apply M13 Superadmin-only Provider Catalogue mutation authority.,Provider Catalogue mutation/configuration authority only. Separate from own BYOK connection CRUD. Physical permission/RLS changes remain downstream.,KEEP_UNRELATED_CORE_DETAIL,"Provider catalogue, adapter, provider availability, M10 model, unrelated admin powers",STEP05_SEMANTIC_ONLY; PHYSICAL/API/RLS/Runtime CONTROLLED DOWNSTREAM,M13 v1.0 + PRE-00-O v1.0 + M13 QIR
M13-CI-001,M13,15_TECHNICAL/W4-02A.6.19...,§22.4,CONFLICTING_CORE_EVIDENCE,Apply M13 Superadmin-only Provider Catalogue mutation authority.,Provider Catalogue mutation/configuration authority only. Separate from own BYOK connection CRUD. Physical permission/RLS changes remain downstream.,KEEP_UNRELATED_CORE_DETAIL,"Provider catalogue, adapter, provider availability, M10 model, unrelated admin powers",STEP05_SEMANTIC_ONLY; PHYSICAL/API/RLS/Runtime CONTROLLED DOWNSTREAM,M13 v1.0 + PRE-00-O v1.0 + M13 QIR
M13-CI-002,M13,12_API/W4-02A.6.16...,§19 M13 AI BYOK API,CONFLICTING_CORE_EVIDENCE,Apply M13 explicit own-connection ownership and self-management semantics; separate it from Provider Catalogue mutation.,"Own BYOK connection lifecycle only. Does not grant Provider Catalogue authority, platform RBAC authority, or access to another user's credentials.",KEEP_UNRELATED_CORE_DETAIL,"API family, encryption, backend proxy, owner endpoints, rate limiting",STEP05_SEMANTIC_ONLY; PHYSICAL/API/RLS/Runtime CONTROLLED DOWNSTREAM,M13 v1.0 + PRE-00-O v1.0 + Core API/RBAC evidence
M13-CI-002,M13,13_RBAC_RLS/W4-02A.6.17...,AUTH-012,CONFLICTING_CORE_EVIDENCE,Apply M13 explicit own-connection ownership and self-management semantics; separate it from Provider Catalogue mutation.,"Own BYOK connection lifecycle only. Does not grant Provider Catalogue authority, platform RBAC authority, or access to another user's credentials.",KEEP_UNRELATED_CORE_DETAIL,"API family, encryption, backend proxy, owner endpoints, rate limiting",STEP05_SEMANTIC_ONLY; PHYSICAL/API/RLS/Runtime CONTROLLED DOWNSTREAM,M13 v1.0 + PRE-00-O v1.0 + Core API/RBAC evidence
