module,authority_evidence,requirement_evidence,p9_engineering_evidence,p10_ai_translation_evidence,p11_context_evidence,physical_evidence,runtime_evidence,production_evidence,current_stage_claim
M01,DOCUMENTED,DOCUMENTED,DOCUMENTED,DOCUMENTED,COVERED,OUT_OF_SCOPE / N-A CURRENT STAGE,OUT_OF_SCOPE / N-A CURRENT STAGE,OUT_OF_SCOPE / N-A CURRENT STAGE,DOCUMENTARY/DESIGN SUPPORTED
M02,DOCUMENTED,DOCUMENTED,DOCUMENTED,DOCUMENTED,COVERED,OUT_OF_SCOPE / N-A CURRENT STAGE,OUT_OF_SCOPE / N-A CURRENT STAGE,OUT_OF_SCOPE / N-A CURRENT STAGE,DOCUMENTARY/DESIGN SUPPORTED
M03,DOCUMENTED,DOCUMENTED,DOCUMENTED,DOCUMENTED,COVERED,OUT_OF_SCOPE / N-A CURRENT STAGE,OUT_OF_SCOPE / N-A CURRENT STAGE,OUT_OF_SCOPE / N-A CURRENT STAGE,DOCUMENTARY/DESIGN SUPPORTED
M04,DOCUMENTED,DOCUMENTED,DOCUMENTED,DOCUMENTED,COVERED,OUT_OF_SCOPE / N-A CURRENT STAGE,OUT_OF_SCOPE / N-A CURRENT STAGE,OUT_OF_SCOPE / N-A CURRENT STAGE,DOCUMENTARY/DESIGN SUPPORTED
M05,DOCUMENTED,DOCUMENTED,DOCUMENTED,DOCUMENTED,COVERED,OUT_OF_SCOPE / N-A CURRENT STAGE,OUT_OF_SCOPE / N-A CURRENT STAGE,OUT_OF_SCOPE / N-A CURRENT STAGE,DOCUMENTARY/DESIGN SUPPORTED
M06,DOCUMENTED,DOCUMENTED,DOCUMENTED,DOCUMENTED,COVERED,OUT_OF_SCOPE / N-A CURRENT STAGE,OUT_OF_SCOPE / N-A CURRENT STAGE,OUT_OF_SCOPE / N-A CURRENT STAGE,DOCUMENTARY/DESIGN SUPPORTED
M07,DOCUMENTED,DOCUMENTED,DOCUMENTED,DOCUMENTED,COVERED,OUT_OF_SCOPE / N-A CURRENT STAGE,OUT_OF_SCOPE / N-A CURRENT STAGE,OUT_OF_SCOPE / N-A CURRENT STAGE,DOCUMENTARY/DESIGN SUPPORTED
M08,DOCUMENTED,DOCUMENTED,DOCUMENTED,DOCUMENTED,COVERED,OUT_OF_SCOPE / N-A CURRENT STAGE,OUT_OF_SCOPE / N-A CURRENT STAGE,OUT_OF_SCOPE / N-A CURRENT STAGE,DOCUMENTARY/DESIGN SUPPORTED
M09,DOCUMENTED,DOCUMENTED,DOCUMENTED,DOCUMENTED,COVERED,OUT_OF_SCOPE / N-A CURRENT STAGE,OUT_OF_SCOPE / N-A CURRENT STAGE,OUT_OF_SCOPE / N-A CURRENT STAGE,DOCUMENTARY/DESIGN SUPPORTED
M10,DOCUMENTED,DOCUMENTED,DOCUMENTED,DOCUMENTED,COVERED,OUT_OF_SCOPE / N-A CURRENT STAGE,OUT_OF_SCOPE / N-A CURRENT STAGE,OUT_OF_SCOPE / N-A CURRENT STAGE,DOCUMENTARY/DESIGN SUPPORTED
M11,DOCUMENTED,DOCUMENTED,DOCUMENTED,DOCUMENTED,COVERED,OUT_OF_SCOPE / N-A CURRENT STAGE,OUT_OF_SCOPE / N-A CURRENT STAGE,OUT_OF_SCOPE / N-A CURRENT STAGE,DOCUMENTARY/DESIGN SUPPORTED
M12,DOCUMENTED,DOCUMENTED,DOCUMENTED,DOCUMENTED,COVERED,OUT_OF_SCOPE / N-A CURRENT STAGE,OUT_OF_SCOPE / N-A CURRENT STAGE,OUT_OF_SCOPE / N-A CURRENT STAGE,DOCUMENTARY/DESIGN SUPPORTED
M13,DOCUMENTED,DOCUMENTED,DOCUMENTED,DOCUMENTED,COVERED,OUT_OF_SCOPE / N-A CURRENT STAGE,OUT_OF_SCOPE / N-A CURRENT STAGE,OUT_OF_SCOPE / N-A CURRENT STAGE,DOCUMENTARY/DESIGN SUPPORTED
M14,DOCUMENTED,DOCUMENTED,DOCUMENTED,DOCUMENTED,COVERED,OUT_OF_SCOPE / N-A CURRENT STAGE,OUT_OF_SCOPE / N-A CURRENT STAGE,OUT_OF_SCOPE / N-A CURRENT STAGE,DOCUMENTARY/DESIGN SUPPORTED
M15,DOCUMENTED,DOCUMENTED,DOCUMENTED,DOCUMENTED,COVERED,OUT_OF_SCOPE / N-A CURRENT STAGE,OUT_OF_SCOPE / N-A CURRENT STAGE,OUT_OF_SCOPE / N-A CURRENT STAGE,DOCUMENTARY/DESIGN SUPPORTED
