pre00_artifact,size_bytes,sha256,coverage_status,integration_rule
FINAL-M10-AUTHORIZATION-IMPACT-UPDATE-RECONCILIATION-FULL-v1.2.md,45100,2900a7431c6f2954335000327c64a3da972b1eb1d58aa71f966755fac1a8bd0d,REGISTERED_18_OF_18,Preserve locked PRE-00 semantics; downstream step must consume the linked coverage control.
PRE-00-A-A_M14_V2.1_TO_V2.2_VERSION_LINEAGE_RECONCILIATION_FULL_v1.0.docx,43408,971af2227ec78982d74258973cc78abde8757e05996c31f89512434837d4c91e,REGISTERED_18_OF_18,Preserve locked PRE-00 semantics; downstream step must consume the linked coverage control.
PRE-00-C_M01_IDENTITY_CONFLICT_GATE_FULL_v1.1.md,21272,a5388da1a2fef27ad47dae8334c5ff7dc4d4d3817cacce375aa42e04a6738d69,REGISTERED_18_OF_18,Preserve locked PRE-00 semantics; downstream step must consume the linked coverage control.
PRE-00-D_M02_PROFILE_PUBLIC_VISIBILITY_GATE_FULL_v1.1.md,27086,c215a58eaff0a119a3ba55634b228bd8aab3ca29884494e7c33e377e6e1c5f4f,REGISTERED_18_OF_18,Preserve locked PRE-00 semantics; downstream step must consume the linked coverage control.
PRE-00-E_M03_LISTING_REFRESH_GATE_FULL_v1.1.md,39936,48e85fb2fb81f5aca32613c3b50d76b421df60059a54f1129b4e2487b176c6d3,REGISTERED_18_OF_18,Preserve locked PRE-00 semantics; downstream step must consume the linked coverage control.
PRE-00-F_M04_LEARNING_GATE_FULL_v1.1.md,65272,c3f90fcfd318669f48e805e62b329ee37944f147737b0c636d189522e533d01e,REGISTERED_18_OF_18,Preserve locked PRE-00 semantics; downstream step must consume the linked coverage control.
PRE-00-G_M05_MANDATORY_DELTA_IMPACT_GATE_FULL_v1.0.md,54304,0311d50ba85eb81c41b5d90cccc6934ba833bff9ff59ed711255483110a0a533,REGISTERED_18_OF_18,Preserve locked PRE-00 semantics; downstream step must consume the linked coverage control.
PRE-00-H_M06_DEVELOPER_PROJECT_MARKETING_CLAIM_GATE_FULL_v1.1.md,54521,0f07ee67b8695aab5fdc99ece67db40aa90c919a867aadf29dde61a0d508e664,REGISTERED_18_OF_18,Preserve locked PRE-00 semantics; downstream step must consume the linked coverage control.
PRE-00-I_M07_DOMAIN_ALIGNMENT_GATE_FULL_v1.1.md,43682,d5e9a9f9301acf513d7d6329aac6951b476a1bd06390475286afd0ce38346741,REGISTERED_18_OF_18,Preserve locked PRE-00 semantics; downstream step must consume the linked coverage control.
PRE-00-J_M08_SCOPE_CONTROL_GATE_FULL_v1.0.md,46285,dba6792398e34590118b4a73e675b08fd6f90b02c5858748dd58638f02483cec,REGISTERED_18_OF_18,Preserve locked PRE-00 semantics; downstream step must consume the linked coverage control.
PRE-00-K_M09_ADMINISTRATION_AUTHORITY_GATE_FULL_v1.0.md,20762,8a7f87fa235ee8f9cf3fb9eb461839131dc784292935437671d31ac2f224fa23,REGISTERED_18_OF_18,Preserve locked PRE-00 semantics; downstream step must consume the linked coverage control.
PRE-00-M_M11_PUBLIC_DISCOVERY_SEO_TRACKING_MEASUREMENT_AUTHORITY_GATE_FULL_v1.1.md,30617,6173f2733527adb432285bca39a6ab9d19dd9318c38d34e838b74953eabacd8b,REGISTERED_18_OF_18,Preserve locked PRE-00 semantics; downstream step must consume the linked coverage control.
PRE-00-N_M12_ORGANIZATION_MEMBERSHIP_AUTHORITY_GATE_FULL_v1.0.md,32471,69173eda77814a73a16abfbb6673b2ed8c15d5c1904c17e5cc3f8b504212882b,REGISTERED_18_OF_18,Preserve locked PRE-00 semantics; downstream step must consume the linked coverage control.
PRE-00-O_M13_PROVIDER_CATALOGUE_BYOK_AUTHORITY_GATE_FULL_v1.0.md,39409,103fe619a622621702c63cd5159605cb82b89f01c4c2e88398f449d583b8239f,REGISTERED_18_OF_18,Preserve locked PRE-00 semantics; downstream step must consume the linked coverage control.
PRE-00-P_M14_COMMERCIAL_SUBSCRIPTION_QUOTA_PROMOTION_MONETIZATION_AUTHORITY_GATE_FULL_v1.2_MIDTRANS_MVP_CONFIGURABLE.md,95010,e0be3de3f1c3f82de6d229bd930f460630e4098555e49d039b1b341adfc223b2,REGISTERED_18_OF_18,Preserve locked PRE-00 semantics; downstream step must consume the linked coverage control.
PRE-00-Q_M15_QUALIFICATION_EVIDENCE_AUTHORITY_GATE_FULL_v1.0.md,45620,46ed028eb10f312117a27354fc1c440e78b0cbb1a9a6308bb8e0947b5ca3254c,REGISTERED_18_OF_18,Preserve locked PRE-00 semantics; downstream step must consume the linked coverage control.
PRE-00-R_CROSS_MODULE_CONFLICT_SCAN_FINAL_M01-M15_SEMANTIC_RECONCILIATION_FULL_v1.0.md,38469,13485cc5b0bbf1a26838000668ff19d75776b2bb2de8db2061ad0c8e2fe51200,REGISTERED_18_OF_18,Preserve locked PRE-00 semantics; downstream step must consume the linked coverage control.
RUMAHAGEN_M01-M15_RECON_TO_CORE_v1.1_INTEGRATION_GOVERNANCE_CHECKLIST_PRE-00.docx,45092,473305266d9a8b1d7e8594f504713722a1fc99f5753a3a1183f82b032bcd47d0,REGISTERED_18_OF_18,Preserve locked PRE-00 semantics; downstream step must consume the linked coverage control.
