wp_id,required_ai_handoff,status
WP-01,Target/module/current authority/hard+conditional dependencies/in+out scope/contracts/files/tests/security/STOP/evidence/checkpoint.,COVERED
WP-02,Target/module/current authority/hard+conditional dependencies/in+out scope/contracts/files/tests/security/STOP/evidence/checkpoint.,COVERED
WP-03,Target/module/current authority/hard+conditional dependencies/in+out scope/contracts/files/tests/security/STOP/evidence/checkpoint.,COVERED
WP-04,Target/module/current authority/hard+conditional dependencies/in+out scope/contracts/files/tests/security/STOP/evidence/checkpoint.,COVERED
WP-05,Target/module/current authority/hard+conditional dependencies/in+out scope/contracts/files/tests/security/STOP/evidence/checkpoint.,COVERED
WP-06,Target/module/current authority/hard+conditional dependencies/in+out scope/contracts/files/tests/security/STOP/evidence/checkpoint.,COVERED
WP-07,Target/module/current authority/hard+conditional dependencies/in+out scope/contracts/files/tests/security/STOP/evidence/checkpoint.,COVERED
WP-08,Target/module/current authority/hard+conditional dependencies/in+out scope/contracts/files/tests/security/STOP/evidence/checkpoint.,COVERED
WP-09,Target/module/current authority/hard+conditional dependencies/in+out scope/contracts/files/tests/security/STOP/evidence/checkpoint.,COVERED
WP-10,Target/module/current authority/hard+conditional dependencies/in+out scope/contracts/files/tests/security/STOP/evidence/checkpoint.,COVERED
WP-11,Target/module/current authority/hard+conditional dependencies/in+out scope/contracts/files/tests/security/STOP/evidence/checkpoint.,COVERED
WP-12,Target/module/current authority/hard+conditional dependencies/in+out scope/contracts/files/tests/security/STOP/evidence/checkpoint.,COVERED
WP-13,Target/module/current authority/hard+conditional dependencies/in+out scope/contracts/files/tests/security/STOP/evidence/checkpoint.,COVERED
WP-14,Target/module/current authority/hard+conditional dependencies/in+out scope/contracts/files/tests/security/STOP/evidence/checkpoint.,COVERED
WP-15,Target/module/current authority/hard+conditional dependencies/in+out scope/contracts/files/tests/security/STOP/evidence/checkpoint.,COVERED
WP-16,Target/module/current authority/hard+conditional dependencies/in+out scope/contracts/files/tests/security/STOP/evidence/checkpoint.,COVERED
WP-17,Target/module/current authority/hard+conditional dependencies/in+out scope/contracts/files/tests/security/STOP/evidence/checkpoint.,COVERED
WP-18,Target/module/current authority/hard+conditional dependencies/in+out scope/contracts/files/tests/security/STOP/evidence/checkpoint.,COVERED
WP-19,Target/module/current authority/hard+conditional dependencies/in+out scope/contracts/files/tests/security/STOP/evidence/checkpoint.,COVERED
WP-20,Target/module/current authority/hard+conditional dependencies/in+out scope/contracts/files/tests/security/STOP/evidence/checkpoint.,COVERED
WP-21,Target/module/current authority/hard+conditional dependencies/in+out scope/contracts/files/tests/security/STOP/evidence/checkpoint.,COVERED
WP-22,Target/module/current authority/hard+conditional dependencies/in+out scope/contracts/files/tests/security/STOP/evidence/checkpoint.,COVERED
WP-23,Target/module/current authority/hard+conditional dependencies/in+out scope/contracts/files/tests/security/STOP/evidence/checkpoint.,COVERED
WP-24,Target/module/current authority/hard+conditional dependencies/in+out scope/contracts/files/tests/security/STOP/evidence/checkpoint.,COVERED
WP-25,Target/module/current authority/hard+conditional dependencies/in+out scope/contracts/files/tests/security/STOP/evidence/checkpoint.,COVERED
WP-26,Target/module/current authority/hard+conditional dependencies/in+out scope/contracts/files/tests/security/STOP/evidence/checkpoint.,COVERED
WP-27,Target/module/current authority/hard+conditional dependencies/in+out scope/contracts/files/tests/security/STOP/evidence/checkpoint.,COVERED
WP-28,Target/module/current authority/hard+conditional dependencies/in+out scope/contracts/files/tests/security/STOP/evidence/checkpoint.,COVERED
WP-29,Target/module/current authority/hard+conditional dependencies/in+out scope/contracts/files/tests/security/STOP/evidence/checkpoint.,COVERED
WP-30,Target/module/current authority/hard+conditional dependencies/in+out scope/contracts/files/tests/security/STOP/evidence/checkpoint.,COVERED
WP-31,Target/module/current authority/hard+conditional dependencies/in+out scope/contracts/files/tests/security/STOP/evidence/checkpoint.,COVERED
WP-32,Target/module/current authority/hard+conditional dependencies/in+out scope/contracts/files/tests/security/STOP/evidence/checkpoint.,COVERED
WP-33,Target/module/current authority/hard+conditional dependencies/in+out scope/contracts/files/tests/security/STOP/evidence/checkpoint.,COVERED
WP-34,Target/module/current authority/hard+conditional dependencies/in+out scope/contracts/files/tests/security/STOP/evidence/checkpoint.,COVERED
WP-35,Target/module/current authority/hard+conditional dependencies/in+out scope/contracts/files/tests/security/STOP/evidence/checkpoint.,COVERED
WP-36,Target/module/current authority/hard+conditional dependencies/in+out scope/contracts/files/tests/security/STOP/evidence/checkpoint.,COVERED
WP-37,Target/module/current authority/hard+conditional dependencies/in+out scope/contracts/files/tests/security/STOP/evidence/checkpoint.,COVERED
WP-38,Target/module/current authority/hard+conditional dependencies/in+out scope/contracts/files/tests/security/STOP/evidence/checkpoint.,COVERED
WP-39,Target/module/current authority/hard+conditional dependencies/in+out scope/contracts/files/tests/security/STOP/evidence/checkpoint.,COVERED
WP-40,Target/module/current authority/hard+conditional dependencies/in+out scope/contracts/files/tests/security/STOP/evidence/checkpoint.,COVERED
WP-41,Target/module/current authority/hard+conditional dependencies/in+out scope/contracts/files/tests/security/STOP/evidence/checkpoint.,COVERED
WP-42,Target/module/current authority/hard+conditional dependencies/in+out scope/contracts/files/tests/security/STOP/evidence/checkpoint.,COVERED
WP-43,Target/module/current authority/hard+conditional dependencies/in+out scope/contracts/files/tests/security/STOP/evidence/checkpoint.,COVERED
WP-44,Target/module/current authority/hard+conditional dependencies/in+out scope/contracts/files/tests/security/STOP/evidence/checkpoint.,COVERED
WP-45,Target/module/current authority/hard+conditional dependencies/in+out scope/contracts/files/tests/security/STOP/evidence/checkpoint.,COVERED
WP-46,Target/module/current authority/hard+conditional dependencies/in+out scope/contracts/files/tests/security/STOP/evidence/checkpoint.,COVERED
WP-47,Target/module/current authority/hard+conditional dependencies/in+out scope/contracts/files/tests/security/STOP/evidence/checkpoint.,COVERED
WP-48,Target/module/current authority/hard+conditional dependencies/in+out scope/contracts/files/tests/security/STOP/evidence/checkpoint.,COVERED
WP-49,Target/module/current authority/hard+conditional dependencies/in+out scope/contracts/files/tests/security/STOP/evidence/checkpoint.,COVERED
WP-50,Target/module/current authority/hard+conditional dependencies/in+out scope/contracts/files/tests/security/STOP/evidence/checkpoint.,COVERED
WP-51,Target/module/current authority/hard+conditional dependencies/in+out scope/contracts/files/tests/security/STOP/evidence/checkpoint.,COVERED
WP-52,Target/module/current authority/hard+conditional dependencies/in+out scope/contracts/files/tests/security/STOP/evidence/checkpoint.,COVERED
WP-53,Target/module/current authority/hard+conditional dependencies/in+out scope/contracts/files/tests/security/STOP/evidence/checkpoint.,COVERED
