logical_entity,field_count,mapping_status,physical_table,physical_table_present,entity_in_A1,entity_in_B,coverage_status
ADDONS,12,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,addons,YES,True,True,PASS
AGENT_AI_CONNECTIONS,9,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,agent_ai_connections,YES,True,True,PASS
AGENT_PROFILES,20,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,agent_profiles,YES,True,True,PASS
AGENT_PROJECT_CLAIMS,4,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,agent_project_claims,YES,True,True,PASS
AGENT_REVIEWS,12,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,agent_reviews,YES,True,True,PASS
AGENT_VERIFICATION_DOCUMENTS,9,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,agent_verification_documents,YES,True,True,PASS
AI_PROVIDERS,9,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,ai_providers,YES,True,True,PASS
AMENITIES,2,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,amenities,YES,True,True,PASS
AUDIT_LOGS,9,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,audit_logs,YES,True,True,PASS
AWARDING_CONDITIONS,7,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,awarding_conditions,YES,True,True,PASS
AWARDING_CONDITION_GROUPS,5,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,awarding_condition_groups,YES,True,True,PASS
AWARDING_PATHS,7,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,awarding_paths,YES,True,True,PASS
AWARDING_PATH_RULES,4,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,awarding_path_rules,YES,True,True,PASS
AWARDING_PATH_VERSIONS,9,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,awarding_path_versions,YES,True,True,PASS
AWARDING_PREREQUISITES,7,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,awarding_prerequisites,YES,True,True,PASS
AWARDING_RULE_VERSIONS,9,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,awarding_rule_versions,YES,True,True,PASS
AWARD_INSTANCES,14,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,award_instances,YES,True,True,PASS
AWARD_QUALIFYING_PATHS,6,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,award_qualifying_paths,YES,True,True,PASS
CERTIFICATES,5,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,certificates,YES,True,True,PASS
COMMERCIAL_ENTITLEMENTS,14,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,commercial_entitlements,YES,True,True,PASS
COMMERCIAL_FULFILLMENTS,11,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,commercial_fulfillments,YES,True,True,PASS
COMMERCIAL_ORDERS,15,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,commercial_orders,YES,True,True,PASS
COURSES,11,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,courses,YES,True,True,PASS
COURSE_LESSONS,6,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,course_lessons,YES,True,True,PASS
DBR_CONFIG,5,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,dbr_config,YES,True,True,PASS
DBR_SIMULATIONS,17,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,dbr_simulations,YES,True,True,PASS
DEVELOPER_PARTNERS,10,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,developer_partners,YES,True,True,PASS
DEVELOPER_PROJECTS,41,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,developer_projects,YES,True,True,PASS
DEVELOPER_PROJECT_MEDIA,4,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,developer_project_media,YES,True,True,PASS
ENROLLMENTS,7,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,enrollments,YES,True,True,PASS
EVENTS,18,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,events,YES,True,True,PASS
EVENT_PROVIDER_BINDING,8,NEW_LOGICAL_NO_CURRENT_PHYSICAL_TABLE,,NO,True,True,PASS
EVENT_REGISTRATIONS,7,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,event_registrations,YES,True,True,PASS
LEARNING_ACTIVITIES,12,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,learning_activities,YES,True,True,PASS
LEARNING_ACTIVITY_COMPLETIONS,11,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,learning_activity_completions,YES,True,True,PASS
LEARNING_PATHS,8,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,learning_paths,YES,True,True,PASS
LEARNING_PATH_VERSIONS,9,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,learning_path_versions,YES,True,True,PASS
LEARNING_POINT_ACCOUNTS,6,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,learning_point_accounts,YES,True,True,PASS
LEARNING_POINT_TRANSACTIONS,10,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,learning_point_transactions,YES,True,True,PASS
LEARNING_SESSIONS,13,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,learning_sessions,YES,True,True,PASS
LEARNING_SESSION_ASSIGNMENTS,9,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,learning_session_assignments,YES,True,True,PASS
LEARNING_UNLOCK_PROGRESSIONS,11,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,learning_unlock_progressions,YES,True,True,PASS
LISTINGS,49,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,listings,YES,True,True,PASS
LISTING_AMENITIES,2,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,listing_amenities,YES,True,True,PASS
LISTING_LEADS,7,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,listing_leads,YES,True,True,PASS
LISTING_PHOTOS,8,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,listing_photos,YES,True,True,PASS
LISTING_PRICE_HISTORY,5,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,listing_price_history,YES,True,True,PASS
LISTING_VIDEOS,4,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,listing_videos,YES,True,True,PASS
LISTING_VIEWS,3,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,listing_views,YES,True,True,PASS
MARKETING_KIT,6,NEW_LOGICAL_NO_CURRENT_PHYSICAL_TABLE,,NO,True,True,PASS
NOTIFICATIONS,9,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,notifications,YES,True,True,PASS
OPERATIONAL_QUOTA_POOLS,8,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,operational_quota_pools,YES,True,True,PASS
