Screen,Title,Substep,Authority,Scope,Desktop,Mobile,States
OPS-001,System Operations Dashboard,WF-09.01,System Ops,"Operational overview of services, dependencies, integration state and actionable incidents; no business-domain mutation.",YES,YES,Loading; Ready; Empty; Error / Retry; Denied
OPS-002,Service & Dependency Health,WF-09.01,System Ops,Detailed operational health with isolated dependency states and recoverable failures.,YES,YES,Loading; Healthy; Degraded; Failed; Retry
OPS-003,Provider Catalogue Operations,WF-09.02,M13 / M10,Operational provider catalogue view; current mutation authority is Superadmin-only.,YES,YES,Loading; Empty; Invalid / Error; Disabled; Denied; Success
OPS-004,Provider Catalogue Management,WF-09.02,M13 / M10,Explicit catalogue management: View/Add/Edit/Enable/Disable/Remove-Retire/integration-configuration management. Superadmin-only mutation.,YES,YES,Loading; Empty; Validation; Denied; Success; Error / Retry
OPS-005,Provider Detail & Lifecycle,WF-09.02,M13 / M10,Provider lifecycle and outage are separate; outage does not itself revoke a connection.,YES,YES,Loading; Ready; Error; Denied
OPS-006,BYOK Connections,WF-09.03,M13 / M10,Agent/User owns own BYOK connection in OWN scope; raw credentials are never exposed.,YES,YES,Loading; Empty; Invalid / Error; Disconnected; Denied
OPS-007,BYOK Connection Setup / Test,WF-09.03,M13 / M10,Guided own-connection setup/test; no Admin/Manager approval; secret material remains protected.,YES,YES,Loading; Validation; Testing; Success; Error / Retry; Denied
OPS-008,BYOK Administrative Intervention,WF-09.03,M13 / M10,Authorized Admin/Superadmin may force revoke/disconnect/disable another user's connection within governed scope; intervention ≠ ownership.,YES,YES,Loading; Validation; Denied; Success; Error / Retry
OPS-009,AI Invocation & Provider Selection,WF-09.03,M13 / M10,AI invocation requires applicable feature authorization + own VALID/ACTIVE connection + reachable provider. User may select available own provider.,YES,YES,Loading; Ready; Unavailable; Denied; Error / Retry
OPS-010,Payment Integration Operations,WF-09.04,M14 / M13 / M10,Operational payment integration state only; M14 owns commercial truth and trusted confirmation.,YES,YES,Loading; Connected; Pending; Failed; Retry; Denied
OPS-011,Learning Integration Operations,WF-09.04,M04 / M13 / M10,Operational Learning provider/integration state only; M04 owns Learning semantics and outcomes.,YES,YES,Loading; Connected; Degraded; Failed; Retry; Denied
OPS-012,Integration Registry & Status,WF-09.04,System Ops,Cross-integration operational registry without taking ownership of domain configuration.,YES,YES,Loading; Empty; Connected; Degraded; Failed
OPS-013,API Operations Overview,WF-09.05,System Ops / M13,API/integration operational visibility; exact endpoint identifiers are not invented.,YES,YES,Loading; Ready; Degraded; Failed; Retry
OPS-014,Webhook Operations,WF-09.05,System Ops / M13 / M14,"Webhook delivery, provider result and idempotency-aware state; callback is not client-side business confirmation.",YES,YES,Loading; Delivered; Pending; Failed; Duplicate / Idempotent; Retry
OPS-015,Integration Event Detail,WF-09.05,System Ops,Detailed operational event timeline and downstream handoff.,YES,YES,Loading; Pending; Processed; Failed; Retry
OPS-016,Operational Audit Log,WF-09.06,M09 / System Ops,Operational provenance view; authorization and domain audit semantics remain separately owned.,YES,YES,Loading; Empty; Denied; Error / Retry
OPS-017,Reconciliation & Exception Cases,WF-09.06,System Ops / M14 / M04,Evidence/case-oriented operational reconciliation; source domain retains commercial/Learning business reconciliation.,YES,YES,Loading; Empty; Open; Resolved; Denied
OPS-018,Recovery / Retry Operations,WF-09.06,System Ops / M13 / M10,Controlled retry/recovery; no silent source-domain mutation authority.,YES,YES,Loading; Eligible; Blocked; Retrying; Success; Error
OPS-019,Operational Configuration Handoff,WF-09.06,System Ops / M09 / M13,"Operational handoff view for configuration/integration changes, evidence and downstream ownership; not a second configuration CRUD surface.",YES,YES,Loading; Pending; Success; Error; Denied
