root_source,depth,path,kind,size,sha256,error
RumahAgen_WF-05_Foundation_v1.0_SOURCE_ONLY.zip,0,RumahAgen_WF-05_Foundation_v1.0_SOURCE_ONLY.zip,zip_container,366581,088c969991df092fc244685dbfe17a41f59fdb163d391dcd114d0b1239599612,
RumahAgen_WF-05_Foundation_v1.0_SOURCE_ONLY.zip,1,RumahAgen_WF-05_Foundation_v1.0_SOURCE_ONLY.zip/README.md,member,782,0bde4b48ccb8e446a042f1ab4243b6d3069915aca450b7936ed961d0ba71f32b,
RumahAgen_WF-05_Foundation_v1.0_SOURCE_ONLY.zip,1,RumahAgen_WF-05_Foundation_v1.0_SOURCE_ONLY.zip/08-SCREEN-INVENTORY/WF-05_SCREEN_INVENTORY_v1.0.csv,member,2828,7e167b00a52ccf11227e82045822015277981294fd38fa4b32dcdcaeab9ee88d,
RumahAgen_WF-05_Foundation_v1.0_SOURCE_ONLY.zip,1,RumahAgen_WF-05_Foundation_v1.0_SOURCE_ONLY.zip/04-STATE-RULES/WF-05_STATE_AND_INTERACTION_MATRIX_v1.0.md,member,2920,b2a98fe175a774cb59720cd117c43289bb1914a95b7a2c4f58baf4f3a31e5134,
RumahAgen_WF-05_Foundation_v1.0_SOURCE_ONLY.zip,1,RumahAgen_WF-05_Foundation_v1.0_SOURCE_ONLY.zip/07-GATE/G-W05.00_FOUNDATION_GATE_v1.0.md,member,1831,dd7c08b581edb950a204ecf8e382c2ba8c6d5813eb06bb09a04ac8d502ff838e,
RumahAgen_WF-05_Foundation_v1.0_SOURCE_ONLY.zip,1,RumahAgen_WF-05_Foundation_v1.0_SOURCE_ONLY.zip/02-SCOPE/WF-05_SCOPE_LOCK_v1.0.md,member,5902,4b9c985ad698d62ebff5114f0b47a27e4e5a025e84c8e8f83dd1d857d03fed76,
RumahAgen_WF-05_Foundation_v1.0_SOURCE_ONLY.zip,1,RumahAgen_WF-05_Foundation_v1.0_SOURCE_ONLY.zip/05-TRACEABILITY/WF-05_TRACEABILITY_v1.0.csv,member,1225,fe8796382bc778238250b4acd9bda04636bbfb850190857f4d34685ac1bfd404,
RumahAgen_WF-05_Foundation_v1.0_SOURCE_ONLY.zip,1,RumahAgen_WF-05_Foundation_v1.0_SOURCE_ONLY.zip/05-TRACEABILITY/SOURCE_AUTHORITY_REFERENCE_MAP.csv,member,4456,03eac397c1e76ebd7e17cf09d80fce7b5a2795265e062b855b0a1d03878f8cf3,
RumahAgen_WF-05_Foundation_v1.0_SOURCE_ONLY.zip,1,RumahAgen_WF-05_Foundation_v1.0_SOURCE_ONLY.zip/06-ASSETS/RumahAgen-logo-canonical.png,member,190838,32407de29c3c274b0f2bd2196ee3de47bd127eba426a6e5334eccdef798ab474,
RumahAgen_WF-05_Foundation_v1.0_SOURCE_ONLY.zip,1,RumahAgen_WF-05_Foundation_v1.0_SOURCE_ONLY.zip/03-VISUAL-RULES/WF-05_VISUAL_WIREFRAME_RULES_v1.0.md,member,5138,6b53cda1f1543ac12c4aa3c22d8a44224588ed9f78f8a1def85fe21571c23fef,
RumahAgen_WF-05_Foundation_v1.0_SOURCE_ONLY.zip,1,RumahAgen_WF-05_Foundation_v1.0_SOURCE_ONLY.zip/01-DEEP-SCAN/SOURCE_UPLOAD_SHA256_MANIFEST.csv,member,777,8d4103fdb2a60995db5c0964f1cdd258fc5335bf94913df9e51027938c05d88c,
RumahAgen_WF-05_Foundation_v1.0_SOURCE_ONLY.zip,1,RumahAgen_WF-05_Foundation_v1.0_SOURCE_ONLY.zip/01-DEEP-SCAN/CHECKLIST_WORKBOOK_STRUCTURE.csv,member,122,7d4610b57cf5cd60b4d7b4814a93f9d7d1e9ba83cecf7b9f6a080e66d5dabce8,
RumahAgen_WF-05_Foundation_v1.0_SOURCE_ONLY.zip,1,RumahAgen_WF-05_Foundation_v1.0_SOURCE_ONLY.zip/01-DEEP-SCAN/WF-05_SOURCE_RECONCILIATION_v1.0.md,member,4612,59dfd5187c4ca51c2ebaf5b8fd8b30f0cf251b909f68dd9b95e511f5a7170ea7,
RumahAgen_WF-05_Foundation_v1.0_SOURCE_ONLY.zip,1,RumahAgen_WF-05_Foundation_v1.0_SOURCE_ONLY.zip/01-DEEP-SCAN/WF-05_RECURSIVE_SOURCE_DEEP_SCAN_MANIFEST.csv,member,1059376,6b8b59df2732e87cf752945d165dd4c78304f772ab4f6978c16c357ce92da41a,
