Change ID,Step,Version/Transition,What Changed,Downstream/Rerun Consequence,Evidence/SHA256
C-001,P1,P1 v1.0 → P1 v1.1,64 dependency edges corrected to 65; explicit M09→M11 configuration and ten M11 public surfaces added.,P2 consumes corrected dependency baseline.,P1 v1.1 SHA256 1b58f73442b8f1a59d193645c512ab113db27e08d3f24e47084bb417f04c809f
C-002,P2,P2 v1.1 → P2 v1.2,Core IP-00..IP-16 coverage and strategy traceability made explicit.,P3 consumes corrected strategy baseline.,P2 v1.2 SHA256 recorded in accepted upstream corpus.
C-003,P3,P3 v1.0 → P3 v1.1,Archive-count mismatch corrected; 57 detailed M01-M15 change obligations and granular Core planning coverage made explicit.,P4 consumes corrected planning baseline.,P3 v1.1 SHA256 ded06455f433bfe9892887737d7d1e17a7747e8136b2af1404d7099156838b1e
C-004,P4,P4 v1.2 → P4 v1.3,Execution routing corrected; Core 6.25 units and controlled findings explicitly routed.,P5 consumes corrected execution architecture.,P4 v1.3 SHA256 996dd6188b188b0ef9cf1b3bb2328d704d7e1ea7f63dfecc8fe98860c8bf5f60
C-005,P5,P5 v1.0 → P5 v1.1,"57 obligation, residual, Core-IP and D13 routing strengthened.",P6/P7 consume corrected batch plan.,P5 v1.1 SHA256 449ec695a80091910d01d0bd67db7de2e438749d235daa5665414d07afea8668
C-006,P6/P8,P6 v1.1 → P6 v1.2 after P8 audit,Missing explicit Core-finding→WP routing corrected to 116/116; P8 rerun performed.,Recovery/re-entry chain closed the material finding.,P6 v1.2 SHA256 1eaa8ddc83e7661337d411e9b12ced981425a567928b931ad73ad7660e66f791
C-007,P7,P7 v1.0 → P7 v1.1,Generic execution/routing gaps corrected; 107/107 Core→WP routing explicit.,P8 consumes corrected P7.,P7 v1.1 SHA256 3bab8c3081787808a17aa9e295b189fde30492e76724ad79f90a71b8558028c8
C-008,P8,P8 final audit,"P8 retained 223/223 Core findings, authority integrity and Q01–Q64 M14 boundary; P6 recovery was revalidated.",P9 consumes accepted audit baseline.,P8 v1.0(1) SHA256 74d22867a8f56dcb2918f1b9af4a89606ff471d959c1c4fa7f10de17e388c9e0
C-009,P9,P9 v1.0 → P9 v1.1,Core 6.30 and module-specific engineering traceability corrected.,P10_AI_BLUEPRINT consumes P9 v1.1.,P9 v1.1 SHA256 5282c54821bd5814ae696fb53d38c3358baa94e22c709621b5869439eed0c8c1
C-010,P10_AI_BLUEPRINT,P10_AI_BLUEPRINT v1.0/v1.1 → P10_AI_BLUEPRINT v1.2,"34/34 Core 6.31 coverage, exact M01-M15 semantics, STOP-01..10 and Permission Preset model made explicit.",P11_AI_CONTEXT consumes corrected AI blueprint.,P10_AI_BLUEPRINT v1.2 SHA256 0d158d601c7c4c508543c812f70d6019a2bddf19b9548514d75be658310eb808
C-011,P11_AI_CONTEXT,P11_AI_CONTEXT v1.1 → P11_AI_CONTEXT v1.2,62 exact WP contexts and Core 6.32 successor reconciliation strengthened.,P12_RECONCILIATION_EVIDENCE consumes corrected AI context.,P11_AI_CONTEXT v1.2 SHA256 80e773988c33899c8f74be9207eca4fc35490787030f197aea4287c5684e8103
C-012,P12_RECONCILIATION_EVIDENCE,P12_RECONCILIATION_EVIDENCE v1.0 → P12_RECONCILIATION_EVIDENCE v1.1,"15-module successor delta, Core 6.30/6.31/6.32 reconciliation, dedicated documentary evidence matrices, 223 Core dispositions and M14/M15 locks added.",P13_DECISION_CHANGE_LOG consumes P12_RECONCILIATION_EVIDENCE v1.1.,P12_RECONCILIATION_EVIDENCE v1.1 SHA256 0c6aa3931166aa1f9407d14cf55532e48f981298048085455a3f65f35dae13da
C-013,P13_DECISION_CHANGE_LOG,P13_DECISION_CHANGE_LOG v1.1 → P13_DECISION_CHANGE_LOG v1.2,"Deep scan found incomplete 57-obligation decision coverage, misaligned Decision→Change links, and a provenance reference to a non-current/non-uploaded Governance v2.6 source.","Full rebuild: 57 obligation-level records, corrected traceability, uploaded-only provenance, explicit Core-IP scope and second deep scan.",P13_DECISION_CHANGE_LOG v1.2 is the corrected successor.
