finding_id,module,core_artifact_id,classification,semantic_detail,final_semantic_authority,authority_role,authority_resolution,core_authority_owner,mxx_authority_artifact,step05_required,step06_merge_status
M01-CI-001,M01,CAM11-0034,PRESERVE,User / Identity View-Update,M01,DOMAIN_AUTHORITY,M01 is the current semantic authority for its domain; cross-module consumers do not acquire ownership.,CORE FUNCTIONAL CONTRACT AUTHORITY,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,NO,CLOSED
M01-CI-002,M01,CAM11-0034,PRESERVE,OTP / authentication lifecycle,M01,DOMAIN_AUTHORITY,M01 is the current semantic authority for its domain; cross-module consumers do not acquire ownership.,CORE FUNCTIONAL CONTRACT AUTHORITY,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,NO,CLOSED
M01-CI-003,M01,CAM11-0034,PRESERVE,Verification Document Create,M01,DOMAIN_AUTHORITY,M01 is the current semantic authority for its domain; cross-module consumers do not acquire ownership.,CORE FUNCTIONAL CONTRACT AUTHORITY,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,NO,CLOSED
M01-CI-004,M01,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,PRESERVE,Verification Document View,M01,DOMAIN_AUTHORITY,M01 is the current semantic authority for its domain; cross-module consumers do not acquire ownership.,CORE ENGINEERING ALIGNMENT AUTHORITY,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,NO,CLOSED
M01-CI-005,M01,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,PRESERVE,Verification Document Review,M01,DOMAIN_AUTHORITY,M01 is the current semantic authority for its domain; cross-module consumers do not acquire ownership.,CORE ENGINEERING ALIGNMENT AUTHORITY,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,NO,CLOSED
M01-CI-006,M01,14_FUNCTIONAL/W4-02A.6.18_FUNCTIONAL_SPECIFICATION_CURRENT_FUNCTIONAL_IMPLEMENTATION_CONTRACT_v2.1.md,PRESERVE,Agent auto-activation,M01,DOMAIN_AUTHORITY,M01 is the current semantic authority for its domain; cross-module consumers do not acquire ownership.,CORE FUNCTIONAL CONTRACT AUTHORITY,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,NO,CLOSED
M01-CI-007,M01,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,AUGMENT,Conditional KTP eligibility,M01,DOMAIN_AUTHORITY,M01 is the current semantic authority for its domain; cross-module consumers do not acquire ownership.,CORE ENGINEERING ALIGNMENT AUTHORITY,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,NO,CLOSED
M01-CI-008,M01,20_MODULE_PLANNING/W4-02A.6.24_REVISED_MODULE_PLANNING_CURRENT_MODULE_DELIVERY_PLANNING_v2.1.md,PRESERVE,KTP DEFERRED / ISI NANTI,M01,DOMAIN_AUTHORITY,M01 is the current semantic authority for its domain; cross-module consumers do not acquire ownership.,CORE MODULE PLANNING AUTHORITY,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,NO,CLOSED
M01-CI-009,M01,19_IMPLEMENTATION_STRATEGY/W4-02A.6.23_MODULE_IMPLEMENTATION_STRATEGY_INTEGRATED_IMPLEMENTATION_SEQUENCING_v2.1.md,RECONCILE,Pending Review boundary,M01,DOMAIN_AUTHORITY,M01 is the current semantic authority for its domain; cross-module consumers do not acquire ownership.,CORE IMPLEMENTATION STRATEGY AUTHORITY,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,YES,CLOSED
M01-CI-010,M01,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,PRESERVE,Identity → authorization M10,M01,DOMAIN_AUTHORITY,M01 is the current semantic authority for its domain; cross-module consumers do not acquire ownership.,CORE ENGINEERING ALIGNMENT AUTHORITY,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,NO,CLOSED
