artifact_id,core_path,artifact_level,baseline_sha256,observed_sha256,baseline_size_bytes,observed_size_bytes,file_preservation,semantic_detail_preservation,replacement_operation,deletion_operation,content_loss_detected,special_control,result
CAM11-0001,00_CONTROL/RENAME_REGISTER_6.33.md,CORE_SOURCE_PACK_MEMBER,17ff728177e5ea174227267c4e0ff452d556bd598669f6502b803a62b96a646c,17ff728177e5ea174227267c4e0ff452d556bd598669f6502b803a62b96a646c,645,645,PASS,RETAINED_IN_CANDIDATE_LEDGER,NONE,NONE,NO,,PASS
CAM11-0002,00_CONTROL/SHA256_MANIFEST_CORE_FINAL_v1.3.csv,CORE_SOURCE_PACK_MEMBER,8a197083cd0ec7e79bb6269ab8199d215d4a83716fb28b1081b26d8006e96c5e,8a197083cd0ec7e79bb6269ab8199d215d4a83716fb28b1081b26d8006e96c5e,7054,7054,PASS,RETAINED_IN_CANDIDATE_LEDGER,NONE,NONE,NO,SELF_REFERENTIAL_MANIFEST_INCLUDED_IN_INVENTORY; NOT_SELF_HASHED,PASS
CAM11-0003,00_CONTROL/SOURCE_INDEX_v1.3.csv,CORE_SOURCE_PACK_MEMBER,c7d0d912ad37ed28754d02b452ccf5e717645764004c16fb48e77628bec0f111,c7d0d912ad37ed28754d02b452ccf5e717645764004c16fb48e77628bec0f111,7285,7285,PASS,RETAINED_IN_CANDIDATE_LEDGER,NONE,NONE,NO,,PASS
CAM11-0004,00_CONTROL/SOURCE_INDEX_v1.3.md,CORE_SOURCE_PACK_MEMBER,7dc272fc4716760a1fec381734136d2e47d2b97e66957d15c9b1225e91eb6329,7dc272fc4716760a1fec381734136d2e47d2b97e66957d15c9b1225e91eb6329,8161,8161,PASS,RETAINED_IN_CANDIDATE_LEDGER,NONE,NONE,NO,,PASS
CAM11-0005,00_CONTROL/W4-02A.6.0_CORE_ARTIFACT_INVENTORY_AND_ORDERING_LOCK_v1.1_BASE_TRACK_37_STEPS.docx,CORE_SOURCE_PACK_MEMBER,4d76cde4437c52e9c1752d99888095253eb748bc25bc8138fc4ae06701da5aec,4d76cde4437c52e9c1752d99888095253eb748bc25bc8138fc4ae06701da5aec,41256,41256,PASS,RETAINED_IN_CANDIDATE_LEDGER,NONE,NONE,NO,,PASS
CAM11-0006,00_CONTROL/W4-02A.7_FINAL_DOCUMENT_FREEZE_AUTHORITY_VERIFICATION_v1.0.md,CORE_SOURCE_PACK_MEMBER,12847c5b3609b6ba0f67ce54e7e48627e9d24f7293a9c7bfbb59c75ff5243f32,12847c5b3609b6ba0f67ce54e7e48627e9d24f7293a9c7bfbb59c75ff5243f32,11519,11519,PASS,RETAINED_IN_CANDIDATE_LEDGER,NONE,NONE,NO,,PASS
CAM11-0007,00_CONTROL/W4-02A.7_RECURSIVE_SOURCE_AUDIT_REGISTER_v1.0.csv,CORE_SOURCE_PACK_MEMBER,0144e3114a170252011dc57f391f31155248c10543ef8e3e3aeece81cd85ff7f,0144e3114a170252011dc57f391f31155248c10543ef8e3e3aeece81cd85ff7f,208747,208747,PASS,RETAINED_IN_CANDIDATE_LEDGER,NONE,NONE,NO,,PASS
CAM11-0008,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,CORE_SOURCE_PACK_MEMBER,cbcbca4b502c429c6b5b6c59c4c67165570619a503c7d5b59d6c1940905368a8,cbcbca4b502c429c6b5b6c59c4c67165570619a503c7d5b59d6c1940905368a8,41616,41616,PASS,RETAINED_IN_CANDIDATE_LEDGER,NONE,NONE,NO,,PASS
CAM11-0009,01_GOVERNANCE/W4-02A.6.2_GOVERNANCE_REGISTER_FULL_CONSOLIDATED_v1.16.docx,CORE_SOURCE_PACK_MEMBER,1840df18fb6c512879033d1c5e27c543752a1d59a800f6348f0455430c2bd86c,1840df18fb6c512879033d1c5e27c543752a1d59a800f6348f0455430c2bd86c,44768,44768,PASS,RETAINED_IN_CANDIDATE_LEDGER,NONE,NONE,NO,,PASS
CAM11-0010,03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,CORE_SOURCE_PACK_MEMBER,f1bd00843508c4bdc16794b1509690e5c6ec6c12c49611587382a932a87e8ebc,f1bd00843508c4bdc16794b1509690e5c6ec6c12c49611587382a932a87e8ebc,51338,51338,PASS,RETAINED_IN_CANDIDATE_LEDGER,NONE,NONE,NO,,PASS
CAM11-0011,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,CORE_SOURCE_PACK_MEMBER,c1aa07968bb5bdfc9f9600dc48da804f65574f49da672282237ec90c4cc94884,c1aa07968bb5bdfc9f9600dc48da804f65574f49da672282237ec90c4cc94884,93386,93386,PASS,RETAINED_IN_CANDIDATE_LEDGER,NONE,NONE,NO,,PASS
CAM11-0012,05_TECHNICAL_DECISIONS/W4-02A.6.6_TECHNICAL_DECISIONS_FULL_CONSOLIDATED_v1.6.docx,CORE_SOURCE_PACK_MEMBER,2ddccdf939a59149b9404ad14c0dbfda1149fb31d23ba77e1b27c24bf05101fa,2ddccdf939a59149b9404ad14c0dbfda1149fb31d23ba77e1b27c24bf05101fa,47059,47059,PASS,RETAINED_IN_CANDIDATE_LEDGER,NONE,NONE,NO,,PASS
CAM11-0013,06_DEPENDENCY_MANIFEST/W4-02A.6.7_DEPENDENCY_MANIFEST_FULL_CONSOLIDATED_v1.9.docx,CORE_SOURCE_PACK_MEMBER,66a12120b244cf487b41584b1bfdd3e81cddbc8b82f9c2ee12779e72d423c693,66a12120b244cf487b41584b1bfdd3e81cddbc8b82f9c2ee12779e72d423c693,48323,48323,PASS,RETAINED_IN_CANDIDATE_LEDGER,NONE,NONE,NO,,PASS
CAM11-0014,07_PRD/W4-02A.6.11_PRD_CURRENT_PRODUCT_REQUIREMENTS_FULL_CONSOLIDATED_v2.1.docx,CORE_SOURCE_PACK_MEMBER,c2a7b6e4a77a08621a16048cba2f0f8641a3d073bc71dc4e4854634aa788aa34,c2a7b6e4a77a08621a16048cba2f0f8641a3d073bc71dc4e4854634aa788aa34,48108,48108,PASS,RETAINED_IN_CANDIDATE_LEDGER,NONE,NONE,NO,,PASS
CAM11-0015,08_USER_FLOW/W4-02A.6.12_USER_FLOW_CURRENT_CROSS_DOMAIN_INTERACTION_FLOW_FULL_CONSOLIDATED_v2.1.docx,CORE_SOURCE_PACK_MEMBER,bc5e3f9af3842e727f34d2ef0c4f3b91cc52c911645698696b92b0745bbbd4de,bc5e3f9af3842e727f34d2ef0c4f3b91cc52c911645698696b92b0745bbbd4de,51562,51562,PASS,RETAINED_IN_CANDIDATE_LEDGER,NONE,NONE,NO,,PASS
CAM11-0016,09_ERD/W4-02A.6.13_ERD_CURRENT_LOGICAL_DATA_MODEL_FULL_CONSOLIDATED_v2.1.docx,CORE_SOURCE_PACK_MEMBER,5a5ba139cff31fbd297cac3871a3b250f13b94dabcb15b49d89af86ca785cb88,5a5ba139cff31fbd297cac3871a3b250f13b94dabcb15b49d89af86ca785cb88,62303,62303,PASS,RETAINED_IN_CANDIDATE_LEDGER,NONE,NONE,NO,,PASS
CAM11-0017,10_DATABASE_DICTIONARY/W4-02A.6.14_DATABASE_DICTIONARY_CURRENT_LOGICAL_TO_PHYSICAL_DATA_MEANING_FULL_CONSOLIDATED_v2.2.docx,CORE_SOURCE_PACK_MEMBER,8abcb2ca2e275288c83add193936a2763c9e3c9c75ba38088289a18080956219,8abcb2ca2e275288c83add193936a2763c9e3c9c75ba38088289a18080956219,78665,78665,PASS,RETAINED_IN_CANDIDATE_LEDGER,NONE,NONE,NO,,PASS
CAM11-0018,11_DATABASE_SCHEMA/RUMAHAGEN_FULL_DATABASE_SCHEMA_SOURCE_ONLY_PACKAGE_v1.0.zip,CORE_SOURCE_PACK_MEMBER,fa720ebe06c1070155e2ddddba6215f8c764b55ac67af2123aa75831b7f84784,fa720ebe06c1070155e2ddddba6215f8c764b55ac67af2123aa75831b7f84784,20762,20762,PASS,RETAINED_IN_CANDIDATE_LEDGER,NONE,NONE,NO,,PASS
