consumer,producer,dependency_type,domain,authority_owner,condition_or_reason,critical_path,implementation_strategy
M02,M01,HARD,Identity,M01,All authenticated profile actors,Yes,Producer contract is prerequisite to consumer implementation.
M03,M01,HARD,Identity,M01,Listing actor/owner,Yes,Producer contract is prerequisite to consumer implementation.
M04,M01,HARD,Identity,M01,Learning/session actor,Yes,Producer contract is prerequisite to consumer implementation.
M05,M01,HARD,Identity,M01,Event registration actor,Yes,Producer contract is prerequisite to consumer implementation.
M06,M01,HARD,Identity,M01,Developer/claim actor,Yes,Producer contract is prerequisite to consumer implementation.
M07,M01,HARD,Identity,M01,DBR subject,Yes,Producer contract is prerequisite to consumer implementation.
M08,M01,HARD,Identity,M01,Dashboard subject,Yes,Producer contract is prerequisite to consumer implementation.
M09,M01,HARD,Identity,M01,Admin actor,Yes,Producer contract is prerequisite to consumer implementation.
M10,M01,HARD,Identity,M01,Authorization subject,Yes,Producer contract is prerequisite to consumer implementation.
M12,M01,HARD,Identity,M01,Organization member,Yes,Producer contract is prerequisite to consumer implementation.
M13,M01,HARD,Identity,M01,BYOK owner,Yes,Producer contract is prerequisite to consumer implementation.
M14,M01,HARD,Identity,M01,Commercial actor/order ownership,Yes,Producer contract is prerequisite to consumer implementation.
M15,M01,HARD,Identity,M01,Award recipient,Yes,Producer contract is prerequisite to consumer implementation.
M02,M10,HARD — AUTHORIZATION,Authorization,M10,Profile/review access,Yes,Authorization gate precedes consumer action; producer M10 remains authorization authority.
M03,M10,HARD — AUTHORIZATION,Authorization,M10,Listing scope/mutation access,Yes,Authorization gate precedes consumer action; producer M10 remains authorization authority.
M04,M10,HARD — AUTHORIZATION,Authorization,M10,Learning/session access,Yes,Authorization gate precedes consumer action; producer M10 remains authorization authority.
M05,M10,HARD — AUTHORIZATION,Authorization,M10,Event permission,Yes,Authorization gate precedes consumer action; producer M10 remains authorization authority.
M06,M10,HARD — AUTHORIZATION,Authorization,M10,Developer/project/claim access,Yes,Authorization gate precedes consumer action; producer M10 remains authorization authority.
M07,M10,HARD — AUTHORIZATION,Authorization,M10,DBR access/configuration,Yes,Authorization gate precedes consumer action; producer M10 remains authorization authority.
M08,M10,HARD — AUTHORIZATION,Authorization,M10,Protected dashboard access,Yes,Authorization gate precedes consumer action; producer M10 remains authorization authority.
