source,nesting_level,relative_path,size_bytes,sha256
RUMAHAGEN_P2_MODULE_IMPLEMENTATION_STRATEGY_FULL_REBUILD_20260907_v1.1.zip,0,P2_AUDIT_INPUT_RECURSIVE_DEEP_SCAN_INVENTORY_v1.1.csv,640185,c1dd289a6aa1c97683c6cc93d517c2d0e8d6e6288bc9aec5f03497843559cb53
RUMAHAGEN_P2_MODULE_IMPLEMENTATION_STRATEGY_FULL_REBUILD_20260907_v1.1.zip,0,P2_AUDIT_SOURCE_SHA256_MANIFEST_v1.1.csv,739,6dd920e7538c77ad1d5f7cc54ee6517eb54cac243a57483554b92d3349ae0718
RUMAHAGEN_P2_MODULE_IMPLEMENTATION_STRATEGY_FULL_REBUILD_20260907_v1.1.zip,0,P2_AUTHORITY_BOUNDARY_STRATEGY_v1.1.csv,2565,b2f2acee8c4f4ae3a7ff8b26a531511ecc554ac8de44a283a7148200441e625f
RUMAHAGEN_P2_MODULE_IMPLEMENTATION_STRATEGY_FULL_REBUILD_20260907_v1.1.zip,0,P2_CORE_V1.3_SCOPE_COVERAGE_MATRIX_v1.1.csv,1084,6e2d1c429201fb5d3de495fc665774f635592ac3bd31f492410eccc8e1a07663
RUMAHAGEN_P2_MODULE_IMPLEMENTATION_STRATEGY_FULL_REBUILD_20260907_v1.1.zip,0,P2_DEPENDENCY_IMPLEMENTATION_STRATEGY_v1.1.csv,10217,0c80a71e9369e5b90540b9c9465c3eed1ff15c94892b20c7f90124066532dc37
RUMAHAGEN_P2_MODULE_IMPLEMENTATION_STRATEGY_FULL_REBUILD_20260907_v1.1.zip,0,P2_FINDING_CORRECTION_REGISTER_v1.1.csv,2606,35f6f938f8e0cb08e14a88b389bd2d1501c9d52445e0c805d124242ba5ceffc8
RUMAHAGEN_P2_MODULE_IMPLEMENTATION_STRATEGY_FULL_REBUILD_20260907_v1.1.zip,0,P2_IMPLEMENTATION_LAYER_STRATEGY_v1.1.csv,532,056c6cde46732c959d830d686086af3b2d344614850c20f825af5b7381c44422
RUMAHAGEN_P2_MODULE_IMPLEMENTATION_STRATEGY_FULL_REBUILD_20260907_v1.1.zip,0,P2_M01-M15_REQUIRED_CHANGE_COVERAGE_MATRIX_v1.1.csv,33853,e31afa107eb8291bd5133396d1296dbf7914a398d181afd82e1fca8fb6a52904
RUMAHAGEN_P2_MODULE_IMPLEMENTATION_STRATEGY_FULL_REBUILD_20260907_v1.1.zip,0,P2_MODULE_IMPLEMENTATION_STRATEGY_FULL_REBUILD_20260907_v1.1.docx,39551,9b984d66a4c43e993f456cfeedcf50586baa0156b0402c492189a1a72bb5ad82
RUMAHAGEN_P2_MODULE_IMPLEMENTATION_STRATEGY_FULL_REBUILD_20260907_v1.1.zip,0,P2_MODULE_IMPLEMENTATION_STRATEGY_FULL_REBUILD_20260907_v1.1.md,9086,4edb694b441edb27c94a9316f734203b74771e213db70f8bcb5d14150b2482c0
RUMAHAGEN_P2_MODULE_IMPLEMENTATION_STRATEGY_FULL_REBUILD_20260907_v1.1.zip,0,P2_MODULE_IMPLEMENTATION_STRATEGY_MATRIX_v1.1.csv,2512,87d03b084e2afeca5f03315b245c96d03d7de6427f602e7ba47a70b7777daa58
RUMAHAGEN_P2_MODULE_IMPLEMENTATION_STRATEGY_FULL_REBUILD_20260907_v1.1.zip,0,P2_MODULE_IMPLEMENTATION_STRATEGY_WORKBOOK_v1.1.xlsx,17091,b188a6e38a69c94b9b21808b4eedafc1749adb409e2052bed3cb94338b8ba989
RUMAHAGEN_P2_MODULE_IMPLEMENTATION_STRATEGY_FULL_REBUILD_20260907_v1.1.zip,0,P2_POST_CORRECTION_SECOND_FULL_DEEP_SCAN_REPORT_v1.1.md,1046,be2369e6e66b679c4c0a85a8811e62ede9846fccda80b2226e1b3b7d9058d07d
STEP SYNC CORE(20260907-081753).zip,0,STEP SYNC CORE/RUMAHAGEN_STEP01_M01-M15_RECON_AUTHORITY_FREEZE_FULL_v1.0.zip,10675,4392a4ecf1f3b1c3c170d921e10159e6fba60e3f72825ab35829c19dbd8cbe7f
STEP SYNC CORE(20260907-081753).zip,1,STEP SYNC CORE/RUMAHAGEN_STEP01_M01-M15_RECON_AUTHORITY_FREEZE_FULL_v1.0.zip!00_STEP01_OUTPUT_MANIFEST_SHA256_v1.0.csv,884,0cda0e526bd97458b47bdab55ea1d302256d644bcec1d32df1f6915eecb2d5fd
