module,current_authority_artifact,canonical_scope,core_artifacts_mapped,relationship_types,core_layers_covered,dependency_guardrail,explicit_module_dependency_evidence_rows,step04_target,status
M01,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,FULL semantic rebuild; current M01 identity/authentication authority,61,AUTHORIZATION;CONTROL;CROSS-DOMAIN;EXECUTION;FINDING_LEVEL,00_CONTROL;01_GOVERNANCE;04_ARCHITECTURE;05_TECHNICAL_DECISIONS;06_DEPENDENCY_MANIFEST;07_PRD;08_USER_FLOW;09_ERD;10_DATABASE_DICTIONARY;11_DATABASE_SCHEMA;12_API;13_RBAC_RLS;14_FUNCTIONAL;15_TECHNICAL;16_UI_UX;18_MODULE_DEPENDENCY;19_IMPLEMENTATION_STRATEGY;20_MODULE_PLANNING;21_EXECUTION_SPECIFICATION;22_EXECUTION_BATCH;23_M01_M07;25_EXECUTION_AUDIT;26_ENGINEERING_ALIGNMENT;27_AI_BLUEPRINT;28_AI_CONTEXT;29_FINAL_CONTROL;30_RECONCILIATION_EVIDENCE,M02/M10/M12/M14/M15 as governed dependencies,16,STEP04 → synchronization classification from evidence-chain; no classification performed in STEP03 v1.2,READY FOR STEP04 SYNCHRONIZATION CLASSIFICATION
M02,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,FULL semantic rebuild; current M02 profile/reviews/visibility authority,57,AUTHORIZATION;CONTROL;CROSS-DOMAIN;DOWNSTREAM;EXECUTION;FINDING_LEVEL,00_CONTROL;01_GOVERNANCE;04_ARCHITECTURE;05_TECHNICAL_DECISIONS;06_DEPENDENCY_MANIFEST;07_PRD;08_USER_FLOW;09_ERD;10_DATABASE_DICTIONARY;11_DATABASE_SCHEMA;12_API;13_RBAC_RLS;14_FUNCTIONAL;15_TECHNICAL;16_UI_UX;17_SEO_ANALYTICS;18_MODULE_DEPENDENCY;19_IMPLEMENTATION_STRATEGY;20_MODULE_PLANNING;21_EXECUTION_SPECIFICATION;22_EXECUTION_BATCH;23_M01_M07;25_EXECUTION_AUDIT;26_ENGINEERING_ALIGNMENT;27_AI_BLUEPRINT;28_AI_CONTEXT;29_FINAL_CONTROL;30_RECONCILIATION_EVIDENCE,M01/M03/M11/M12,12,STEP04 → synchronization classification from evidence-chain; no classification performed in STEP03 v1.2,READY FOR STEP04 SYNCHRONIZATION CLASSIFICATION — M02-CI-011 deterministic reconcile candidate
M03,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED/00_M03_REBUILD_CONTROL_REPORT_v1.3.md,FULL deep-scan rebuild; M03 Listing/Refresh action authority,55,CONTROL;CROSS-DOMAIN;DOWNSTREAM;EXECUTION;FINDING_LEVEL,00_CONTROL;04_ARCHITECTURE;05_TECHNICAL_DECISIONS;06_DEPENDENCY_MANIFEST;07_PRD;08_USER_FLOW;09_ERD;10_DATABASE_DICTIONARY;11_DATABASE_SCHEMA;12_API;14_FUNCTIONAL;15_TECHNICAL;16_UI_UX;17_SEO_ANALYTICS;18_MODULE_DEPENDENCY;19_IMPLEMENTATION_STRATEGY;20_MODULE_PLANNING;21_EXECUTION_SPECIFICATION;22_EXECUTION_BATCH;23_M01_M07;25_EXECUTION_AUDIT;26_ENGINEERING_ALIGNMENT;27_AI_BLUEPRINT;28_AI_CONTEXT;29_FINAL_CONTROL;30_RECONCILIATION_EVIDENCE,M06/M11/M14,12,STEP04 → synchronization classification from evidence-chain; no classification performed in STEP03 v1.2,READY FOR STEP04 SYNCHRONIZATION CLASSIFICATION
M04,RUMAHAGEN_WF03_M04_FULL_REBUILD_v1.2_QIR_INTEGRATED_CONTROLLED/M04_CANONICAL_v1.2.md,FULL QIR-integrated Learning authority,56,AUTHORIZATION;CONTROL;CROSS-DOMAIN;EXECUTION,00_CONTROL;01_GOVERNANCE;04_ARCHITECTURE;05_TECHNICAL_DECISIONS;06_DEPENDENCY_MANIFEST;07_PRD;08_USER_FLOW;09_ERD;10_DATABASE_DICTIONARY;11_DATABASE_SCHEMA;12_API;13_RBAC_RLS;14_FUNCTIONAL;15_TECHNICAL;16_UI_UX;18_MODULE_DEPENDENCY;19_IMPLEMENTATION_STRATEGY;20_MODULE_PLANNING;21_EXECUTION_SPECIFICATION;22_EXECUTION_BATCH;23_M01_M07;25_EXECUTION_AUDIT;26_ENGINEERING_ALIGNMENT;27_AI_BLUEPRINT;28_AI_CONTEXT;29_FINAL_CONTROL;30_RECONCILIATION_EVIDENCE,M10/M14/M15,11,STEP04 → synchronization classification from evidence-chain; no classification performed in STEP03 v1.2,READY FOR STEP04 SYNCHRONIZATION CLASSIFICATION
M05,RUMAHAGEN_WF03_M05_FULL_REBUILD_CONTROLLED_v1.3_FULL_VERSION/18_M05_FULL_REBUILD_CONTROLLED_v1.3.docx,FULL QIR-corrected Event/Calendar/Registration authority,55,AUTHORIZATION;CONTROL;CROSS-DOMAIN;DOWNSTREAM;EXECUTION,00_CONTROL;04_ARCHITECTURE;05_TECHNICAL_DECISIONS;06_DEPENDENCY_MANIFEST;07_PRD;08_USER_FLOW;09_ERD;10_DATABASE_DICTIONARY;11_DATABASE_SCHEMA;12_API;13_RBAC_RLS;14_FUNCTIONAL;15_TECHNICAL;16_UI_UX;17_SEO_ANALYTICS;18_MODULE_DEPENDENCY;19_IMPLEMENTATION_STRATEGY;20_MODULE_PLANNING;21_EXECUTION_SPECIFICATION;22_EXECUTION_BATCH;23_M01_M07;25_EXECUTION_AUDIT;26_ENGINEERING_ALIGNMENT;27_AI_BLUEPRINT;28_AI_CONTEXT;29_FINAL_CONTROL;30_RECONCILIATION_EVIDENCE,M04/M11,10,STEP04 → synchronization classification from evidence-chain; no classification performed in STEP03 v1.2,READY FOR STEP04 SYNCHRONIZATION CLASSIFICATION
M06,RUMAHAGEN_WF03_M06_FULL_REBUILD_CONTROLLED_v1.5_FULL_VERSION/07_M06_FULL_REBUILD_CONTROLLED_v1.5.md,FULL controlled Developer/Project/Marketing Kit/Claim authority,57,AUTHORIZATION;CONTROL;CROSS-DOMAIN;DOWNSTREAM;EXECUTION,00_CONTROL;01_GOVERNANCE;04_ARCHITECTURE;05_TECHNICAL_DECISIONS;06_DEPENDENCY_MANIFEST;07_PRD;08_USER_FLOW;09_ERD;10_DATABASE_DICTIONARY;11_DATABASE_SCHEMA;12_API;13_RBAC_RLS;14_FUNCTIONAL;15_TECHNICAL;16_UI_UX;17_SEO_ANALYTICS;18_MODULE_DEPENDENCY;19_IMPLEMENTATION_STRATEGY;20_MODULE_PLANNING;21_EXECUTION_SPECIFICATION;22_EXECUTION_BATCH;23_M01_M07;25_EXECUTION_AUDIT;26_ENGINEERING_ALIGNMENT;27_AI_BLUEPRINT;28_AI_CONTEXT;29_FINAL_CONTROL;30_RECONCILIATION_EVIDENCE,M03/M11/M14,12,STEP04 → synchronization classification from evidence-chain; no classification performed in STEP03 v1.2,READY FOR STEP04 SYNCHRONIZATION CLASSIFICATION
M07,RUMAHAGEN_WF03_M07_FULL_REBUILD_CONTROLLED_v1.1_FULL_VERSION/00_M07_FULL_REBUILD_CONTROLLED_v1.1.md,FULL corrected DBR authority,57,AUTHORIZATION;CONTROL;CROSS-DOMAIN;EXECUTION;FINDING_LEVEL,00_CONTROL;04_ARCHITECTURE;05_TECHNICAL_DECISIONS;06_DEPENDENCY_MANIFEST;07_PRD;08_USER_FLOW;09_ERD;10_DATABASE_DICTIONARY;11_DATABASE_SCHEMA;12_API;13_RBAC_RLS;14_FUNCTIONAL;15_TECHNICAL;16_UI_UX;18_MODULE_DEPENDENCY;19_IMPLEMENTATION_STRATEGY;20_MODULE_PLANNING;21_EXECUTION_SPECIFICATION;22_EXECUTION_BATCH;23_M01_M07;25_EXECUTION_AUDIT;26_ENGINEERING_ALIGNMENT;27_AI_BLUEPRINT;28_AI_CONTEXT;29_FINAL_CONTROL;30_RECONCILIATION_EVIDENCE,M09/M10,12,STEP04 → synchronization classification from evidence-chain; no classification performed in STEP03 v1.2,READY FOR STEP04 SYNCHRONIZATION CLASSIFICATION
M08,RUMAHAGEN_WF03_M08_FULL_REBUILD_CONTROLLED_v1.0/00_README_M08_CONTROLLED_v1.0.md,FULL controlled Dashboard/Notification projection authority,57,AUTHORIZATION;CONTROL;CROSS-DOMAIN;EXECUTION,00_CONTROL;04_ARCHITECTURE;05_TECHNICAL_DECISIONS;06_DEPENDENCY_MANIFEST;07_PRD;08_USER_FLOW;09_ERD;10_DATABASE_DICTIONARY;11_DATABASE_SCHEMA;12_API;13_RBAC_RLS;14_FUNCTIONAL;15_TECHNICAL;16_UI_UX;18_MODULE_DEPENDENCY;19_IMPLEMENTATION_STRATEGY;20_MODULE_PLANNING;21_EXECUTION_SPECIFICATION;22_EXECUTION_BATCH;24_M08_M15;25_EXECUTION_AUDIT;26_ENGINEERING_ALIGNMENT;27_AI_BLUEPRINT;28_AI_CONTEXT;29_FINAL_CONTROL;30_RECONCILIATION_EVIDENCE,M01-M15 upstream sources,13,STEP04 → synchronization classification from evidence-chain; no classification performed in STEP03 v1.2,READY FOR STEP04 SYNCHRONIZATION CLASSIFICATION
M09,RUMAHAGEN_WF03_M09_FULL_REBUILD_CONTROLLED_v1.1_FULL_VERSION/README_M09_FULL_REBUILD_CONTROLLED_v1.1.md,FULL controlled Administration authority,62,AUTHORIZATION;CONTROL;CROSS-DOMAIN;DOWNSTREAM;EXECUTION,00_CONTROL;01_GOVERNANCE;04_ARCHITECTURE;05_TECHNICAL_DECISIONS;06_DEPENDENCY_MANIFEST;07_PRD;08_USER_FLOW;09_ERD;10_DATABASE_DICTIONARY;11_DATABASE_SCHEMA;12_API;13_RBAC_RLS;14_FUNCTIONAL;15_TECHNICAL;16_UI_UX;17_SEO_ANALYTICS;18_MODULE_DEPENDENCY;19_IMPLEMENTATION_STRATEGY;20_MODULE_PLANNING;21_EXECUTION_SPECIFICATION;22_EXECUTION_BATCH;24_M08_M15;25_EXECUTION_AUDIT;26_ENGINEERING_ALIGNMENT;27_AI_BLUEPRINT;28_AI_CONTEXT;29_FINAL_CONTROL;30_RECONCILIATION_EVIDENCE,M10 and domain owners,16,STEP04 → synchronization classification from evidence-chain; no classification performed in STEP03 v1.2,READY FOR STEP04 SYNCHRONIZATION CLASSIFICATION
M10,RUMAHAGEN_WF03_M10_FULL_REBUILD_CONTROLLED_v1.1_FULL_VERSION/RUMAHAGEN_WF03_M10_FULL_REBUILD_CONTROLLED_v1.1.md,FULL controlled Authorization/RBAC/Permission Preset authority,61,AUTHORIZATION;CONTROL;CROSS-DOMAIN;EXECUTION,00_CONTROL;01_GOVERNANCE;04_ARCHITECTURE;05_TECHNICAL_DECISIONS;06_DEPENDENCY_MANIFEST;07_PRD;08_USER_FLOW;09_ERD;10_DATABASE_DICTIONARY;11_DATABASE_SCHEMA;12_API;13_RBAC_RLS;14_FUNCTIONAL;15_TECHNICAL;16_UI_UX;18_MODULE_DEPENDENCY;19_IMPLEMENTATION_STRATEGY;20_MODULE_PLANNING;21_EXECUTION_SPECIFICATION;22_EXECUTION_BATCH;24_M08_M15;25_EXECUTION_AUDIT;26_ENGINEERING_ALIGNMENT;27_AI_BLUEPRINT;28_AI_CONTEXT;29_FINAL_CONTROL;30_RECONCILIATION_EVIDENCE,All modules,16,STEP04 → synchronization classification from evidence-chain; no classification performed in STEP03 v1.2,READY FOR STEP04 SYNCHRONIZATION CLASSIFICATION
