Module,Current authoritative artifact,Version identity,Authority status,Canonical scope,Historical/superseded treatment,Control note
M01,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,v1.1 (filename); internal header says v1.0,CURRENT / AUTHORITATIVE,FULL semantic rebuild; current M01 identity/authentication authority,Historical/stale M01 rows retained only as provenance,Version-label discrepancy is controlled; do not silently rename content.
M02,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,v1.1 (filename); internal header says v1.0,CURRENT / AUTHORITATIVE,FULL semantic rebuild; current M02 profile/reviews/visibility authority,Earlier PARTIAL rows are historical/stale where later locked decisions supersede,Version-label discrepancy is controlled; do not silently rename content.
M03,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED/00_M03_REBUILD_CONTROL_REPORT_v1.3.md,v1.3,CURRENT / AUTHORITATIVE,FULL deep-scan rebuild; M03 Listing/Refresh action authority,v1.2 and earlier retained as provenance,No semantic supersession issue found.
M04,RUMAHAGEN_WF03_M04_FULL_REBUILD_v1.2_QIR_INTEGRATED_CONTROLLED/M04_CANONICAL_v1.2.md,v1.2,CURRENT / AUTHORITATIVE,FULL QIR-integrated Learning authority,v1.1 and earlier retained as provenance,Learning remains M04 authority.
M05,RUMAHAGEN_WF03_M05_FULL_REBUILD_CONTROLLED_v1.3_FULL_VERSION/18_M05_FULL_REBUILD_CONTROLLED_v1.3.docx,v1.3,CURRENT / AUTHORITATIVE,FULL QIR-corrected Event/Calendar/Registration authority,v1.2 and earlier retained as provenance,Dedicated M05 delta/impact history retained.
M06,RUMAHAGEN_WF03_M06_FULL_REBUILD_CONTROLLED_v1.5_FULL_VERSION/07_M06_FULL_REBUILD_CONTROLLED_v1.5.md,v1.5,CURRENT / AUTHORITATIVE,FULL controlled Developer/Project/Marketing Kit/Claim authority,v1.4 and earlier retained as provenance,M03 field-name reconciliation and company_logo/Tentang Developer locked in v1.5.
M07,RUMAHAGEN_WF03_M07_FULL_REBUILD_CONTROLLED_v1.1_FULL_VERSION/00_M07_FULL_REBUILD_CONTROLLED_v1.1.md,v1.1,CURRENT / AUTHORITATIVE,FULL corrected DBR authority,v1.0 retained as provenance,Current semantic permission source is M07 reconciled matrix v1.2.
M08,RUMAHAGEN_WF03_M08_FULL_REBUILD_CONTROLLED_v1.0/00_README_M08_CONTROLLED_v1.0.md,v1.0,CURRENT / AUTHORITATIVE,FULL controlled Dashboard/Notification projection authority,Earlier M08 material retained as provenance,M08 remains projection/notification only.
M09,RUMAHAGEN_WF03_M09_FULL_REBUILD_CONTROLLED_v1.1_FULL_VERSION/README_M09_FULL_REBUILD_CONTROLLED_v1.1.md,v1.1,CURRENT / AUTHORITATIVE,FULL controlled Administration authority,v1.0 and legacy artifacts retained as provenance,Current semantic M09 decision source is explicitly identified.
M10,RUMAHAGEN_WF03_M10_FULL_REBUILD_CONTROLLED_v1.1_FULL_VERSION/RUMAHAGEN_WF03_M10_FULL_REBUILD_CONTROLLED_v1.1.md,v1.1,CURRENT / AUTHORITATIVE,FULL controlled Authorization/RBAC/Permission Preset authority,v1.0 and prior records retained as provenance,M10 remains Role/Permission/Scope/Condition/Ownership/Organization/RLS authority.
M11,RUMAHAGEN_WF03_M11_FULL_REBUILD_CONTROLLED_v2.0_FULL_VERSION/RUMAHAGEN_WF03_M11_FULL_REBUILD_CONTROLLED_v2.0_FULL_VERSION.md,v2.0,CURRENT / AUTHORITATIVE,FULL controlled SEO/public discovery/measurement authority,v1.0 retained as historical/provenance,Static Public Content and Announcement/Promotion remain mandatory public surfaces.
M12,RUMAHAGEN_WF03_M12_FULL_REBUILD_CONTROLLED_v1.0/RUMAHAGEN_WF03_M12_FULL_REBUILD_CONTROLLED_v1.0.md,v1.0,CURRENT / AUTHORITATIVE,FULL controlled Organization authority,prior versions retained as provenance,Organization membership is not permission/ownership/entitlement.
M13,RUMAHAGEN_WF03_M13_FULL_REBUILD_CONTROLLED_v1.0/RUMAHAGEN_WF03_M13_FULL_REBUILD_CONTROLLED_v1.0.md,v1.0,CURRENT / AUTHORITATIVE,FULL controlled AI Provider Catalogue/BYOK authority,prior versions and stale provider wording retained as provenance,Provider mutation Superadmin-only; BYOK owner is Agent/User.
M14,RUMAHAGEN_WF03_M14_FULL_REBUILD_v2.2_CORE_DETAIL_PARITY_FULL_VERSION/RUMAHAGEN_WF03_M14_FULL_REBUILD_v2.2_CORE_DETAIL_PARITY_FULL_VERSION.md,v2.2 (filename); internal header says v2.1,CURRENT / AUTHORITATIVE,FULL current synchronized Commercial/Payment/Entitlement/Quota/Promotion/Reconciliation authority,v2.0 historical baseline retained,Version-label discrepancy is controlled; Q01–Q66 are M14.
M15,RUMAHAGEN_WF03_M15_FULL_REBUILD_v1.1_CORE_DETAIL_SYNCHRONIZED_FULL_VERSION/RUMAHAGEN_WF03_M15_FULL_REBUILD_v1.1_CORE_DETAIL_SYNCHRONIZED_FULL_VERSION.md,v1.1,CURRENT / AUTHORITATIVE,FULL synchronized Title/Qualification/Awarding authority,v1.0 historical current-previous retained,M15 QIR explicitly excludes Q01–Q64 as M14.
