batch_id,module,work_package_id,work_package,intra_module_order,execution_status,entry_checkpoint,exit_checkpoint,evidence_classes,runtime_status,p3_obligation_count,core_packages_touched
B01,M01,M01-P4-WP01,Identity/Auth Core,1,PLANNED,B01-ENTRY,B01-EXIT,STATIC;BUILD;DATA;API;SECURITY;UI;INTEGRATION;RUNTIME;RECONCILIATION,NOT_VERIFIED,0,
B01,M01,M01-P4-WP02,Activation & Verification,2,PLANNED,B01-ENTRY,B01-EXIT,STATIC;BUILD;DATA;API;SECURITY;UI;INTEGRATION;RUNTIME;RECONCILIATION,NOT_VERIFIED,0,
B01,M01,M01-P4-WP03,Session/Recovery,3,PLANNED,B01-ENTRY,B01-EXIT,STATIC;BUILD;DATA;API;SECURITY;UI;INTEGRATION;RUNTIME;RECONCILIATION,NOT_VERIFIED,0,
B01,M01,M01-P4-WP04,Identity Handoff & Validation,4,PLANNED,B01-ENTRY,B01-EXIT,STATIC;BUILD;DATA;API;SECURITY;UI;INTEGRATION;RUNTIME;RECONCILIATION,NOT_VERIFIED,0,
B03,M02,M02-P4-WP01,Profile Core,1,PLANNED,B03-ENTRY,B03-EXIT,STATIC;BUILD;DATA;API;SECURITY;UI;INTEGRATION;RUNTIME;RECONCILIATION,NOT_VERIFIED,0,
B03,M02,M02-P4-WP02,Review Lifecycle,2,PLANNED,B03-ENTRY,B03-EXIT,STATIC;BUILD;DATA;API;SECURITY;UI;INTEGRATION;RUNTIME;RECONCILIATION,NOT_VERIFIED,0,
B03,M02,M02-P4-WP03,Visibility & CTA,3,PLANNED,B03-ENTRY,B03-EXIT,STATIC;BUILD;DATA;API;SECURITY;UI;INTEGRATION;RUNTIME;RECONCILIATION,NOT_VERIFIED,0,
B03,M02,M02-P4-WP04,Profile Presentation & Validation,4,PLANNED,B03-ENTRY,B03-EXIT,STATIC;BUILD;DATA;API;SECURITY;UI;INTEGRATION;RUNTIME;RECONCILIATION,NOT_VERIFIED,0,
B04,M03,M03-P4-WP01,Listing Core/Lifecycle,1,PLANNED,B04-ENTRY,B04-EXIT,STATIC;BUILD;DATA;API;SECURITY;UI;INTEGRATION;RUNTIME;RECONCILIATION,NOT_VERIFIED,0,
B04,M03,M03-P4-WP02,Publish & Field Locks,2,PLANNED,B04-ENTRY,B04-EXIT,STATIC;BUILD;DATA;API;SECURITY;UI;INTEGRATION;RUNTIME;RECONCILIATION,NOT_VERIFIED,0,
B04,M03,M03-P4-WP03,Refresh Action & Allowance Contract,3,PLANNED,B04-ENTRY,B04-EXIT,STATIC;BUILD;DATA;API;SECURITY;UI;INTEGRATION;RUNTIME;RECONCILIATION,NOT_VERIFIED,0,
