FindingID,Finding,Status,CorrectionDisposition
P14_PROJECT_MANIFEST-F-001,P1–P5 nested in uploaded Step P container; parent-only manifest could hide canonical artifacts.,CORRECTED,P1–P5 registered individually with exact nested SHA256.
P14_PROJECT_MANIFEST-F-002,M01/M02 primary artifacts are Markdown while M03–M15 are package artifacts.,CORRECTED,Manifest follows actual source artifact type.
P14_PROJECT_MANIFEST-F-003,Core SOURCE_INDEX has 45 entries while historical ordering references 37-step Base Track.,CORRECTED,P14_PROJECT_MANIFEST separates Core source inventory from execution ordering.
P14_PROJECT_MANIFEST-F-004,Recursive corpus contains many duplicate-content instances.,CONTROLLED,Duplicates are retained as provenance unless explicitly canonical; no false current duplicates.
P14_PROJECT_MANIFEST-F-005,P13_DECISION_CHANGE_LOG C-013 did not carry the P13_DECISION_CHANGE_LOG v1.2 SHA in its evidence cell.,CORRECTED,P14_PROJECT_MANIFEST carries the exact P13_DECISION_CHANGE_LOG v1.2 SHA without rewriting P13_DECISION_CHANGE_LOG history.
P14_PROJECT_MANIFEST-F-006,P14_PROJECT_MANIFEST v1.1 mapped 57 material obligations but did not explicitly manifest the 7 P13_DECISION_CHANGE_LOG locked decisions D-LOCK-001..007.,CORRECTED,Added 64/64 P13_DECISION_CHANGE_LOG decision coverage and explicit 7-row locked decision manifest; no new semantic decision created.
P14_PROJECT_MANIFEST-F-007,P14_PROJECT_MANIFEST v1.1 did not explicitly manifest Core implementation packages IP-00..IP-16 as a 17-row P14_PROJECT_MANIFEST scope control.,CORRECTED,Added explicit 17-row Core IP manifest derived from P13_DECISION_CHANGE_LOG preservation ledger; Core remains immutable.
P14_PROJECT_MANIFEST-F-008,Core SRC-040 is marked CURRENT inside frozen Core source index and could be mistaken for the current P14_PROJECT_MANIFEST Project Manifest.,CORRECTED,Added explicit reconciliation: SRC-040 is an immutable Core-internal reference; P14_PROJECT_MANIFEST v1.2 is current P-Step authority.
P14_PROJECT_MANIFEST-F-009,P14_PROJECT_MANIFEST v1.1 output SHA manifest listed 21 files for a 22-member package without an explicit self-exclusion rule.,CORRECTED,Rebuilt output manifest with an explicit self-exclusion record for the manifest itself.
P14_PROJECT_MANIFEST-F-010,"The current review corpus contains P14_PROJECT_MANIFEST v1.1 itself, so the prior 11-source scan was incomplete for this turn.",CORRECTED,"Rebuilt the recursive scan over all 12 uploaded sources: 2,752 instances / 83 nested ZIPs / 1,108 unique SHA variants."
