Residual ID,Status,Source,Treatment,P13_DECISION_CHANGE_LOG Decision Treatment,P15State,P15Treatment,ResolutionStatus,AuthorityBoundary
CR-001,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated,CONTROLLED,CARRY-FORWARD — NO FALSE RESOLUTION,OPEN / EVIDENCE-GATED,P13_DECISION_CHANGE_LOG residual authority; P15_PROJECT_CURRENT_STATE snapshots only
CR-002,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated,CONTROLLED,CARRY-FORWARD — NO FALSE RESOLUTION,OPEN / EVIDENCE-GATED,P13_DECISION_CHANGE_LOG residual authority; P15_PROJECT_CURRENT_STATE snapshots only
CR-003,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated,CONTROLLED,CARRY-FORWARD — NO FALSE RESOLUTION,OPEN / EVIDENCE-GATED,P13_DECISION_CHANGE_LOG residual authority; P15_PROJECT_CURRENT_STATE snapshots only
CR-004,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated,CONTROLLED,CARRY-FORWARD — NO FALSE RESOLUTION,OPEN / EVIDENCE-GATED,P13_DECISION_CHANGE_LOG residual authority; P15_PROJECT_CURRENT_STATE snapshots only
CR-005,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated,CONTROLLED,CARRY-FORWARD — NO FALSE RESOLUTION,OPEN / EVIDENCE-GATED,P13_DECISION_CHANGE_LOG residual authority; P15_PROJECT_CURRENT_STATE snapshots only
CR-006,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated,CONTROLLED,CARRY-FORWARD — NO FALSE RESOLUTION,OPEN / EVIDENCE-GATED,P13_DECISION_CHANGE_LOG residual authority; P15_PROJECT_CURRENT_STATE snapshots only
CR-007,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated,CONTROLLED,CARRY-FORWARD — NO FALSE RESOLUTION,OPEN / EVIDENCE-GATED,P13_DECISION_CHANGE_LOG residual authority; P15_PROJECT_CURRENT_STATE snapshots only
CR-008,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated,CONTROLLED,CARRY-FORWARD — NO FALSE RESOLUTION,OPEN / EVIDENCE-GATED,P13_DECISION_CHANGE_LOG residual authority; P15_PROJECT_CURRENT_STATE snapshots only
CR-009,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated,CONTROLLED,CARRY-FORWARD — NO FALSE RESOLUTION,OPEN / EVIDENCE-GATED,P13_DECISION_CHANGE_LOG residual authority; P15_PROJECT_CURRENT_STATE snapshots only
CR-010,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated,CONTROLLED,CARRY-FORWARD — NO FALSE RESOLUTION,OPEN / EVIDENCE-GATED,P13_DECISION_CHANGE_LOG residual authority; P15_PROJECT_CURRENT_STATE snapshots only
CR-011,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated,CONTROLLED,CARRY-FORWARD — NO FALSE RESOLUTION,OPEN / EVIDENCE-GATED,P13_DECISION_CHANGE_LOG residual authority; P15_PROJECT_CURRENT_STATE snapshots only
CR-012,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated,CONTROLLED,CARRY-FORWARD — NO FALSE RESOLUTION,OPEN / EVIDENCE-GATED,P13_DECISION_CHANGE_LOG residual authority; P15_PROJECT_CURRENT_STATE snapshots only
CR-013,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated,CONTROLLED,CARRY-FORWARD — NO FALSE RESOLUTION,OPEN / EVIDENCE-GATED,P13_DECISION_CHANGE_LOG residual authority; P15_PROJECT_CURRENT_STATE snapshots only
CR-014,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated,CONTROLLED,CARRY-FORWARD — NO FALSE RESOLUTION,OPEN / EVIDENCE-GATED,P13_DECISION_CHANGE_LOG residual authority; P15_PROJECT_CURRENT_STATE snapshots only
CR-015,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated,CONTROLLED,CARRY-FORWARD — NO FALSE RESOLUTION,OPEN / EVIDENCE-GATED,P13_DECISION_CHANGE_LOG residual authority; P15_PROJECT_CURRENT_STATE snapshots only
CR-016,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated,CONTROLLED,CARRY-FORWARD — NO FALSE RESOLUTION,OPEN / EVIDENCE-GATED,P13_DECISION_CHANGE_LOG residual authority; P15_PROJECT_CURRENT_STATE snapshots only
