sync_id,finding_id,module,step03_relationship_id,dependency,dependency_statement,classification,linkage_status
STEP04-0001,M01-CI-001,M01,SR-F-0001,M02/M10/M12/M14/M15 as governed dependencies,,PRESERVE,DETERMINISTIC_EXPLICIT_FINDING_RELATIONSHIP
STEP04-0002,M01-CI-002,M01,SR-F-0002,M02/M10/M12/M14/M15 as governed dependencies,,PRESERVE,DETERMINISTIC_EXPLICIT_FINDING_RELATIONSHIP
STEP04-0003,M01-CI-003,M01,SR-F-0003,M02/M10/M12/M14/M15 as governed dependencies,,PRESERVE,DETERMINISTIC_EXPLICIT_FINDING_RELATIONSHIP
STEP04-0004,M01-CI-004,M01,SR-0723,M02/M10/M12/M14/M15 as governed dependencies,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,PRESERVE,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0005,M01-CI-005,M01,SR-0723,M02/M10/M12/M14/M15 as governed dependencies,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,PRESERVE,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0006,M01-CI-006,M01,SR-0415,M02/M10/M12/M14/M15 as governed dependencies,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,PRESERVE,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0007,M01-CI-007,M01,SR-0723,M02/M10/M12/M14/M15 as governed dependencies,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,AUGMENT,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0008,M01-CI-008,M01,SR-0498,M02/M10/M12/M14/M15 as governed dependencies,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,PRESERVE,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0009,M01-CI-009,M01,SR-0483,M02/M10/M12/M14/M15 as governed dependencies,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,RECONCILE,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0010,M01-CI-010,M01,SR-0723,M02/M10/M12/M14/M15 as governed dependencies,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,PRESERVE,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0011,M01-CI-011,M01,SR-0723,M02/M10/M12/M14/M15 as governed dependencies,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,PRESERVE,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0012,M01-CI-012,M01,SR-F-0004,M02/M10/M12/M14/M15 as governed dependencies,,PRESERVE,DETERMINISTIC_EXPLICIT_FINDING_RELATIONSHIP
STEP04-0013,M01-CI-013,M01,SR-0072,M02/M10/M12/M14/M15 as governed dependencies,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,CONTROLLED,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0014,M01-CI-014,M01,SR-0072,M02/M10/M12/M14/M15 as governed dependencies,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,NO-PROPAGATION,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0015,M02-CI-001,M02,SR-0499,M01/M03/M11/M12,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,PRESERVE,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0016,M02-CI-002,M02,SR-0416,M01/M03/M11/M12,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,PRESERVE,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0017,M02-CI-003,M02,SR-0724,M01/M03/M11/M12,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,PRESERVE,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0018,M02-CI-004,M02,SR-0460,M01/M03/M11/M12,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,PRESERVE,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0019,M02-CI-005,M02,SR-0724,M01/M03/M11/M12,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,PRESERVE,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0020,M02-CI-006,M02,SR-F-0005,M01/M03/M11/M12,,PRESERVE,DETERMINISTIC_EXPLICIT_FINDING_RELATIONSHIP
STEP04-0021,M02-CI-007,M02,SR-0724,M01/M03/M11/M12,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,PRESERVE,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0022,M02-CI-008,M02,SR-0724,M01/M03/M11/M12,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,RECONCILE,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0023,M02-CI-009,M02,SR-0073,M01/M03/M11/M12,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,ADD-NEW,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0024,M02-CI-010,M02,SR-F-0006,M01/M03/M11/M12,,PRESERVE,DETERMINISTIC_EXPLICIT_FINDING_RELATIONSHIP
STEP04-0025,M02-CI-011,M02,SR-F-0010,M01/M03/M11/M12,,RECONCILE,DETERMINISTIC_EXPLICIT_FINDING_RELATIONSHIP
STEP04-0026,M02-CI-012,M02,SR-0724,M01/M03/M11/M12,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,PRESERVE,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0027,M02-CI-013,M02,SR-0724,M01/M03/M11/M12,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,PRESERVE,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0028,M02-CI-014,M02,SR-0724,M01/M03/M11/M12,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,PRESERVE,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0029,M02-CI-015,M02,SR-F-0007,M01/M03/M11/M12,,PRESERVE,DETERMINISTIC_EXPLICIT_FINDING_RELATIONSHIP
STEP04-0030,M02-CI-016,M02,SR-0073,M01/M03/M11/M12,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,CONTROLLED,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0031,M02-CI-017,M02,SR-0073,M01/M03/M11/M12,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,NO-PROPAGATION,DETERMINISTIC_CROSSWALK_VALIDATED
