Source,SizeBytes,SHA256,ZIPIntegrity
RUMAHAGEN_P15_PROJECT_CURRENT_STATE_FULL_REBUILD_v1.0.zip,269240,d0da1f87c4c1fdb92d0558a7946eeff4db1114560c43dadfeac801dd15e812a9,PASS
RUMAHAGEN_P14_PROJECT_MANIFEST_FULL_REBUILD_v1.2.zip,330621,33d318c28ddb6a930fe86c660bb0105c9c9bec0cee986f640e86bd835ec22e4f,PASS
RUMAHAGEN_P13_DECISION_CHANGE_LOG_FULL_REBUILD_v1.2.zip,54276,e72e05f19c09c1976673015a4b416359ae5ae9059ad8860df8ef77bc2d9338b3,PASS
M01-M15 new recon(20260908-034650).zip,12682315,91354375da7c57257a7c4ef7da0aae3e26fc832f424d55d78dde8956dc7a54d7,PASS
Utama core RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.3(9)_GOVERNANCE_CORRECTED_STEP0_RESIDUAL_FIXED(20260908-034646).zip,1471646,7c491ce312a42f7d4debd77a4533a895dd35a71ad7464053c0bfe61639ba72e6,PASS
step sync Step P(1).zip,577192,c776b4c66f223b71079682ad8c1c81a638835b032c60881c664b581c208d1428,PASS
RUMAHAGEN_P12_RECONCILIATION_EVIDENCE_FULL_REBUILD_20260908_v1.1.zip,251930,0c6aa3931166aa1f9407d14cf55532e48f981298048085455a3f65f35dae13da,PASS
RUMAHAGEN_P11_AI_CONTEXT_FULL_REBUILD_20260908_v1.2.zip,58860,80e773988c33899c8f74be9207eca4fc35490787030f197aea4287c5684e8103,PASS
RUMAHAGEN_P10_AI_DEVELOPMENT_BLUEPRINT_FULL_REBUILD_20260908_v1.2.zip,50502,0d158d601c7c4c508543c812f70d6019a2bddf19b9548514d75be658310eb808,PASS
RUMAHAGEN_P9_ENGINEERING_ALIGNMENT_FULL_REBUILD_20260908_v1.1.zip,59654,5282c54821bd5814ae696fb53d38c3358baa94e22c709621b5869439eed0c8c1,PASS
RUMAHAGEN_P8_EXECUTION_PACK_AUDIT_FULL_REBUILD_20260908_v1.0(1).zip,43768,74d22867a8f56dcb2918f1b9af4a89606ff471d959c1c4fa7f10de17e388c9e0,PASS
RUMAHAGEN_P6_FOCUSED_EXECUTION_PACK_M01-M07_FULL_REBUILD_20260908_v1.2.zip,54120,1eaa8ddc83e7661337d411e9b12ced981425a567928b931ad73ad7660e66f791,PASS
RUMAHAGEN_P7_FOCUSED_EXECUTION_PACK_M08-M15_FULL_REBUILD_20260908_v1.1(1).zip,57223,3bab8c3081787808a17aa9e295b189fde30492e76724ad79f90a71b8558028c8,PASS
