CoreArtifactID,Layer,Path,AuthorityClass,Purpose,Status,SizeBytes,SHA256
SRC-001,00_CONTROL,00_CONTROL/RENAME_REGISTER_6.33.md,BASELINE-METADATA,6.33 filename/semantic clarification metadata,CURRENT,645,17ff728177e5ea174227267c4e0ff452d556bd598669f6502b803a62b96a646c
SRC-002,00_CONTROL,00_CONTROL/W4-02A.6.0_CORE_ARTIFACT_INVENTORY_AND_ORDERING_LOCK_v1.1_BASE_TRACK_37_STEPS.docx,CONTROL-REFERENCE,Ordering / baseline control,CURRENT,41256,4d76cde4437c52e9c1752d99888095253eb748bc25bc8138fc4ae06701da5aec
SRC-003,00_CONTROL,00_CONTROL/W4-02A.7_FINAL_DOCUMENT_FREEZE_AUTHORITY_VERIFICATION_v1.0.md,FREEZE-CONTROL,Final authority/freeze verification,CURRENT,11519,12847c5b3609b6ba0f67ce54e7e48627e9d24f7293a9c7bfbb59c75ff5243f32
SRC-004,00_CONTROL,00_CONTROL/W4-02A.7_RECURSIVE_SOURCE_AUDIT_REGISTER_v1.0.csv,AUDIT-CONTROL,Recursive source audit evidence,CURRENT,208747,0144e3114a170252011dc57f391f31155248c10543ef8e3e3aeece81cd85ff7f
SRC-005,01_GOVERNANCE,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,CURRENT-REFERENCE,Current contract/reference,CURRENT,41616,cbcbca4b502c429c6b5b6c59c4c67165570619a503c7d5b59d6c1940905368a8
SRC-006,01_GOVERNANCE,01_GOVERNANCE/W4-02A.6.2_GOVERNANCE_REGISTER_FULL_CONSOLIDATED_v1.16.docx,CURRENT-REFERENCE,Current contract/reference,CURRENT,44768,1840df18fb6c512879033d1c5e27c543752a1d59a800f6348f0455430c2bd86c
SRC-007,03_BUSINESS_RULES,03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,CURRENT-REFERENCE,Current contract/reference,CURRENT,51338,f1bd00843508c4bdc16794b1509690e5c6ec6c12c49611587382a932a87e8ebc
SRC-008,04_ARCHITECTURE,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,CURRENT-REFERENCE,Current contract/reference,CURRENT,93386,c1aa07968bb5bdfc9f9600dc48da804f65574f49da672282237ec90c4cc94884
SRC-009,05_TECHNICAL_DECISIONS,05_TECHNICAL_DECISIONS/W4-02A.6.6_TECHNICAL_DECISIONS_FULL_CONSOLIDATED_v1.6.docx,CURRENT-REFERENCE,Current contract/reference,CURRENT,47059,2ddccdf939a59149b9404ad14c0dbfda1149fb31d23ba77e1b27c24bf05101fa
SRC-010,06_DEPENDENCY_MANIFEST,06_DEPENDENCY_MANIFEST/W4-02A.6.7_DEPENDENCY_MANIFEST_FULL_CONSOLIDATED_v1.9.docx,CURRENT-REFERENCE,Current contract/reference,CURRENT,48323,66a12120b244cf487b41584b1bfdd3e81cddbc8b82f9c2ee12779e72d423c693
SRC-011,07_PRD,07_PRD/W4-02A.6.11_PRD_CURRENT_PRODUCT_REQUIREMENTS_FULL_CONSOLIDATED_v2.1.docx,CURRENT-REFERENCE,Current contract/reference,CURRENT,48108,c2a7b6e4a77a08621a16048cba2f0f8641a3d073bc71dc4e4854634aa788aa34
SRC-012,08_USER_FLOW,08_USER_FLOW/W4-02A.6.12_USER_FLOW_CURRENT_CROSS_DOMAIN_INTERACTION_FLOW_FULL_CONSOLIDATED_v2.1.docx,CURRENT-REFERENCE,Current contract/reference,CURRENT,51562,bc5e3f9af3842e727f34d2ef0c4f3b91cc52c911645698696b92b0745bbbd4de
SRC-013,09_ERD,09_ERD/W4-02A.6.13_ERD_CURRENT_LOGICAL_DATA_MODEL_FULL_CONSOLIDATED_v2.1.docx,CURRENT-REFERENCE,Current contract/reference,CURRENT,62303,5a5ba139cff31fbd297cac3871a3b250f13b94dabcb15b49d89af86ca785cb88
SRC-014,10_DATABASE_DICTIONARY,10_DATABASE_DICTIONARY/W4-02A.6.14_DATABASE_DICTIONARY_CURRENT_LOGICAL_TO_PHYSICAL_DATA_MEANING_FULL_CONSOLIDATED_v2.2.docx,CURRENT-REFERENCE,Current contract/reference,CURRENT,78665,8abcb2ca2e275288c83add193936a2763c9e3c9c75ba38088289a18080956219
SRC-015,11_DATABASE_SCHEMA,11_DATABASE_SCHEMA/RUMAHAGEN_FULL_DATABASE_SCHEMA_SOURCE_ONLY_PACKAGE_v1.0.zip,PHYSICAL-REFERENCE,Current physical schema / migration reference,CURRENT,20762,fa720ebe06c1070155e2ddddba6215f8c764b55ac67af2123aa75831b7f84784
SRC-016,11_DATABASE_SCHEMA,11_DATABASE_SCHEMA/W4-01E_FINAL_BUILD_FROM_ZERO_SCHEMA_PACKAGE_v2.6.zip,PHYSICAL-REFERENCE,Current physical schema / migration reference,CURRENT,18571,6d4c04df87e2d52e2b2787f4f558456e20394c61a3a81e283938a11f830dfe1a
SRC-017,11_DATABASE_SCHEMA,11_DATABASE_SCHEMA/W4-02A.6.15_DATABASE_SCHEMA_CURRENT_PHYSICAL_SCHEMA_REFERENCE_FULL_CONSOLIDATED_v2.7.docx,PHYSICAL-REFERENCE,Current physical schema / migration reference,CURRENT,74525,91d9d78bc4d0818bca5802f0315f3d1146d0a32a9645646607418708745f79b9
