risk_id,risk,severity,classification,handling,p5_primary_batch,p5_final_reconciliation_batch,p5_handling,p5_resolution_claim
R-01,Foundation contract drift,HIGH,BLOCKING_IF_SEMANTIC,Recheck P1/P2/Core authority before downstream P4.,B08,B08,CONTROLLED_CARRY_FORWARD,NOT_RESOLVED_BY_P5
R-02,Authority inversion,HIGH,BLOCKING_IF_SEMANTIC,Preserve M10 auth; M03 Listing/Refresh action; M14 allowance; M04 evidence; M15 Award; M11 discovery; M09 bounded admin.,B08,B08,CONTROLLED_CARRY_FORWARD,NOT_RESOLVED_BY_P5
R-03,P3 overclaims Core completeness from coarse mapping,HIGH,CORRECTED,Detailed IP and Core 6.25 execution-unit traceability added.,B08,B08,CONTROLLED_CARRY_FORWARD,NOT_RESOLVED_BY_P5
R-04,M03 Refresh allowance physical/API realization,MEDIUM,CONTROLLED,M14 owns allowance; M03 consumes; downstream contract/implementation proof required.,B04,B08,CONTROLLED_CARRY_FORWARD,NOT_RESOLVED_BY_P5
R-05,"M06 physical gaps: Developer fields, Marketing Kit, Claim persistence",MEDIUM,CONTROLLED,P4 routes semantic obligations and physical evidence downstream.,B03,B08,CONTROLLED_CARRY_FORWARD,NOT_RESOLVED_BY_P5
R-06,M09 system_configs RLS broader than semantic Superadmin-only view,MEDIUM,CONTROLLED,M10/RLS downstream hardening; no runtime claim.,B03,B08,CONTROLLED_CARRY_FORWARD,NOT_RESOLVED_BY_P5
R-07,M13 Provider Catalogue/BYOK Core propagation,MEDIUM,CONTROLLED,P4 routes catalogue/BYOK lifecycle and downstream API/RLS evidence.,B03,B08,CONTROLLED_CARRY_FORWARD,NOT_RESOLVED_BY_P5
R-08,M04 physical permission/RLS and Partnership Learning realization,MEDIUM,CONTROLLED,P4 routes Session/Evidence and Learning Economy evidence gates downstream.,B05,B08,CONTROLLED_CARRY_FORWARD,NOT_RESOLVED_BY_P5
D13-01,M14→M03 commercial-capacity invocation remains semantic/data-contract evidence; no exact internal API-to-API invocation contract is evidenced.,High,CONTROLLED,Routed in P4 v1.3; no unsupported physical/API/runtime completion is claimed.,B04,B08,CONTROLLED_CARRY_FORWARD,NOT_RESOLVED_BY_P5
D13-02,"M14→M04 purchased-LP handoff is semantically defined through commercial fulfillment → M04 LP grant, but no exact internal invocation contract is evidenced.",High,CONTROLLED,Routed in P4 v1.3; no unsupported physical/API/runtime completion is claimed.,B05,B08,CONTROLLED_CARRY_FORWARD,NOT_RESOLVED_BY_P5
