Archive path,Size bytes,SHA256,Treatment
WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,24186,1c53930998a825a2b0b36bf7407239a913f8306b201e642d8628ce3e2327ed53,TOP-LEVEL RECON CORPUS
WF03_STEP02_FULL_M01-M15_BLOCKER_PREREQUISITE_RETRACE_v1.0.md,11010,53c5b2104a79c8cfa562f18c9446065b9e063284de621a7d2665868895ff4f97,TOP-LEVEL RECON CORPUS
WF03_STEP01_OWNER_OVERRIDE_AND_RETRACE_BASELINE_v1.0.md,4405,88354e3dd21fb63cd83acf7afb289451078b06432099c9c2c82daf737278714a,TOP-LEVEL RECON CORPUS
WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,21104,eb148ae05de827ae90619ae7be69186a2423cdfe9ba66c35c4dee6b21b5a30e6,TOP-LEVEL RECON CORPUS
RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip,161796,b9e484c35d3cc997f791510ba10a5eeef0e851030a424699fff790b8317e76ca,TOP-LEVEL RECON CORPUS
M03_CORE_IMPACT_ANALYSIS_FULL_v1.0_CONTROLLED.zip,25873,4a91fa049761f2f3aae0373342a5082c125a481c21a45c8368f1aa28795e1ec3,TOP-LEVEL RECON CORPUS
M02_CORE_IMPACT_ANALYSIS_FULL_v1.0_CONTROLLED.zip,19133,a55cd04084472978604376b736fe0561917569902263e34cf64f8e08f40b8d4d,TOP-LEVEL RECON CORPUS
M01_CORE_IMPACT_ANALYSIS_FULL_v1.0_CONTROLLED.zip,18853,2738b2de7b93d31a26f2f1b2251bbae82bde283f6561354c528737a4f0b67d47,TOP-LEVEL RECON CORPUS
M04_CORE_IMPACT_ANALYSIS_FULL_v1.0_CONTROLLED.zip,7535,663eabb21c09aa50a82101ffae0d7dad549ed91f1f04a40dedc3760aca28141e,TOP-LEVEL RECON CORPUS
RUMAHAGEN_WF03_M05_QIR_CORRECTION_CONTROLLED_FULL_v1.2.zip,134715,c53ba796721387ac3b88e8b3e4a61798ad2dcb3d0f3103f8fcd6c36610fdef7c,TOP-LEVEL RECON CORPUS
RUMAHAGEN_WF03_M05_FULL_REBUILD_CONTROLLED_v1.3_FULL_VERSION.zip,166268,1230777319e8d7a0a358e65a2e6081f3e12dcbc69b5082d360f820850f001d36,TOP-LEVEL RECON CORPUS
RUMAHAGEN_WF03_M06_FULL_REBUILD_CONTROLLED_v1.5_FULL_VERSION.zip,2925265,64d349e107a95c4b0bf8369141f5b7ce790e1bc8a3c499513f20b3681ba028a0,TOP-LEVEL RECON CORPUS
RUMAHAGEN_WF03_M06_CORE_IMPACT_ANALYSIS_FULL_v1.0_CONTROLLED.zip,18996,3bcba5a06710b381a50796735fb3ee9e3e4ad183dabd7287d522874bee41b494,TOP-LEVEL RECON CORPUS
RUMAHAGEN_WF03_M06_QIR_RESOLUTION_CONTROLLED_v1.0_FULL_VERSION.zip,2963686,795b254f8f55dece4c9d281da4663bdeea348ceea05e3b353237f66303124f2e,TOP-LEVEL RECON CORPUS
RUMAHAGEN_WF03_M07_FULL_REBUILD_CONTROLLED_v1.1_FULL_VERSION.zip,276432,55ec667204938b5818e17b7cf39111a54e4738f66336e67cda6aa7a2a7354212,TOP-LEVEL RECON CORPUS
RUMAHAGEN_WF03_M07_CORE_IMPACT_ANALYSIS_CONTROLLED_v1.0_FULL_VERSION.zip,1550251,e94cc9d2d01bc3c5aa034d8dee7e6627ead68913a09c00a42b2d9c4ce8d24df6,TOP-LEVEL RECON CORPUS
RUMAHAGEN_WF03_M07_QIR_RESOLUTION_CONTROLLED_v1.0_FULL_VERSION.zip,484426,d7262bb33078040698eda48925074ee679ede2df87a33a34b69a08de32538e1c,TOP-LEVEL RECON CORPUS
RUMAHAGEN_WF03_M08_FULL_REBUILD_CONTROLLED_v1.0.zip,137749,e9f1ef4d21ba81931dfa9c30e9f3a1dfbbb061cd54ddaad892b9a05658b1a602,TOP-LEVEL RECON CORPUS
RUMAHAGEN_WF03_M08_CORE_IMPACT_ANALYSIS_FULL_v1.0_CONTROLLED.zip,131873,2f187838d3e9db391b443f048034b22dbb17104f43c8d5a205b7c17e746d7511,TOP-LEVEL RECON CORPUS
RUMAHAGEN_WF03_M08_QIR_RESOLUTION_CONTROLLED_v1.0_FULL_VERSION.zip,137277,38e5049407d42de68d07b9d01194dd3125bdb65a585795db7a39a21e931d4554,TOP-LEVEL RECON CORPUS
RUMAHAGEN_WF03_M09_FULL_REBUILD_CONTROLLED_v1.1_FULL_VERSION.zip,27985,2631a290a8af1420ab769434b14cadb5cce18e34f57685f9288394fbb08103d0,TOP-LEVEL RECON CORPUS
M09_CORE_IMPACT_ANALYSIS_FULL_v1.0.zip,1679883,20f3ff1262d34157d48557074c4f1fba61a9e2d27446d278713e75af6746a7ef,TOP-LEVEL RECON CORPUS
M09_QIR_RESOLUTION_FULL_v1.2.zip,52713,a79746947daa16de1e4de2870638ca10dcb23552a26587841f6f8862bc071c1d,TOP-LEVEL RECON CORPUS
RUMAHAGEN_WF03_M10_FULL_REBUILD_CONTROLLED_v1.1_FULL_VERSION.zip,207929,553297988fd328a4d422385a20eb2d113a22d799f67fbe5e0fbbc815efd0a8c4,TOP-LEVEL RECON CORPUS
RUMAHAGEN_WF03_M10_CORE_IMPACT_ANALYSIS_FULL_VERSION_v1.0.zip,565130,94e415f61b1c78ae1fd55a0ca5f0e7a6c6a6d6ad6c802ac612f88c0b81acb574,TOP-LEVEL RECON CORPUS
RUMAHAGEN_WF03_M10_QIR_RESOLUTION_FULL_VERSION_v1.0.zip,383436,3905d73df61d486b4c9af5e89329bfc9940818e839349f9c6ba2b5754669f38c,TOP-LEVEL RECON CORPUS
RUMAHAGEN_WF03_M11_FULL_REBUILD_CONTROLLED_v2.0_FULL_VERSION.zip,49864,36cddb5456c7558e1a2543122dd17d674f06a9f7ba7d100a1d5cea0b9ebb8144,TOP-LEVEL RECON CORPUS
RUMAHAGEN_WF03_M11_CORE_IMPACT_ANALYSIS_FULL_v1.0.zip,52090,6351adf47f9bc030f246f06dc0943614806504dc72f3220bb379aee2244a9c38,TOP-LEVEL RECON CORPUS
RUMAHAGEN_WF03_M11_QIR_RESOLUTION_FULL_v1.0_FULL_VERSION.zip,49384,e7b0063e30d7c3ad1cd05ce03b141f9a77c4f950e668dd3d988d59ada24b1483,TOP-LEVEL RECON CORPUS
RUMAHAGEN_WF03_M12_QIR_RESOLUTION_FULL_v1.0.zip,48513,87ff723036f3aa7b665e5bc44eaa032e680c81ee1c2719559b99cbc47cf0416e,TOP-LEVEL RECON CORPUS
RUMAHAGEN_WF03_M12_FULL_REBUILD_CONTROLLED_v1.0.zip,49052,ed5c4fa0f2e09c93d0c3d0aa59d1a754af179f5ae28ad85097a7d1cbe3304dce,TOP-LEVEL RECON CORPUS
RUMAHAGEN_WF03_M12_CORE_IMPACT_ANALYSIS_FULL_v1.0.zip,50692,cc39a119cb255ffdc8139f6ab03f582b4aa59b26add99f63950981cb5201ba8b,TOP-LEVEL RECON CORPUS
RUMAHAGEN_WF03_M13_CORE_IMPACT_ANALYSIS_FULL_v1.0.zip,49409,31aa8032aacb60104f6e43648a2faad4f5140f953355ff93158778fcc8596b9e,TOP-LEVEL RECON CORPUS
RUMAHAGEN_WF03_M13_FULL_REBUILD_CONTROLLED_v1.0.zip,52414,e78d10a8dd076949131abdb757ca7ddecfe6722a292e79c42ea7c5568c0279cb,TOP-LEVEL RECON CORPUS
