sync_id,module,finding_id,recon_semantic_detail_finding,module_authority_artifact,module_scope,linkage_status,step03_relationship_id,core_artifact_id,core_artifact,core_section_heading,authority_owner,authority_source_artifact,authority_basis,authority_scope,core_evidence_line,core_evidence_excerpt,dependency,dependency_statement,proposed_synchronization_action,classification,step04_sync_target_historical,classification_basis_historical,status_historical,candidate_count,linkage_basis,historical_core_artifact_id,historical_core_section_heading
STEP04-0013,M01,M01-CI-013,M01 physical/runtime status,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,FULL semantic rebuild; current M01 identity/authentication authority,DETERMINISTIC_CROSSWALK_VALIDATED,SR-0072,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,"# developer-projects, calculator (dbr), notifications, rbac, seo",CORE ARCHITECTURE,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,Core architecture is governed as immutable Core semantic contract,FULL semantic rebuild; current M01 identity/authentication authority,1.0,RUMAHAGEN — SYSTEM ARCHITECTURE,M02/M10/M12/M14/M15 as governed dependencies,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,Track downstream physical/API/RLS/runtime work; do not convert implementation status into semantic proof.,CONTROLLED,STEP04 → 04_ARCHITECTURE synchronization target,Normalized M01 impact classification: CONTROLLED,CLASSIFIED,1,Exact deterministic join on module + prior candidate Core artifact + prior Core section. Current Core/evidence/authority/dependency fields are sourced from the matched STEP03 v1.2 relationship. STEP04 v1.0 is provenance only; no keyword/layer fallback.,CAM11-0011,"# developer-projects, calculator (dbr), notifications, rbac, seo"
STEP04-0014,M01,M01-CI-014,M01 public profile authority,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,FULL semantic rebuild; current M01 identity/authentication authority,DETERMINISTIC_CROSSWALK_VALIDATED,SR-0072,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,"# developer-projects, calculator (dbr), notifications, rbac, seo",CORE ARCHITECTURE,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,Core architecture is governed as immutable Core semantic contract,FULL semantic rebuild; current M01 identity/authentication authority,1.0,RUMAHAGEN — SYSTEM ARCHITECTURE,M02/M10/M12/M14/M15 as governed dependencies,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,Do not propagate this finding into the target Core contract; retain provenance.,NO-PROPAGATION,STEP04 → 04_ARCHITECTURE synchronization target,Normalized M01 impact classification: NO PROPAGATION,CLASSIFIED,1,Exact deterministic join on module + prior candidate Core artifact + prior Core section. Current Core/evidence/authority/dependency fields are sourced from the matched STEP03 v1.2 relationship. STEP04 v1.0 is provenance only; no keyword/layer fallback.,CAM11-0011,"# developer-projects, calculator (dbr), notifications, rbac, seo"
STEP04-0030,M02,M02-CI-016,M02 physical/runtime status,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,FULL semantic rebuild; current M02 profile/reviews/visibility authority,DETERMINISTIC_CROSSWALK_VALIDATED,SR-0073,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,"# developer-projects, calculator (dbr), notifications, rbac, seo",CORE ARCHITECTURE,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,Core architecture is governed as immutable Core semantic contract,FULL semantic rebuild; current M02 profile/reviews/visibility authority,1.0,RUMAHAGEN — SYSTEM ARCHITECTURE,M01/M03/M11/M12,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,Track downstream physical/API/RLS/runtime work; do not convert implementation status into semantic proof.,CONTROLLED,STEP04 → 04_ARCHITECTURE synchronization target,Normalized M02 impact classification: CONTROLLED,CLASSIFIED,1,Exact deterministic join on module + prior candidate Core artifact + prior Core section. Current Core/evidence/authority/dependency fields are sourced from the matched STEP03 v1.2 relationship. STEP04 v1.0 is provenance only; no keyword/layer fallback.,CAM11-0011,"# developer-projects, calculator (dbr), notifications, rbac, seo"
STEP04-0031,M02,M02-CI-017,Outcome upstream authority,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,FULL semantic rebuild; current M02 profile/reviews/visibility authority,DETERMINISTIC_CROSSWALK_VALIDATED,SR-0073,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,"# developer-projects, calculator (dbr), notifications, rbac, seo",CORE ARCHITECTURE,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,Core architecture is governed as immutable Core semantic contract,FULL semantic rebuild; current M02 profile/reviews/visibility authority,1.0,RUMAHAGEN — SYSTEM ARCHITECTURE,M01/M03/M11/M12,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,Do not propagate this finding into the target Core contract; retain provenance.,NO-PROPAGATION,STEP04 → 04_ARCHITECTURE synchronization target,Normalized M02 impact classification: NO PROPAGATION,CLASSIFIED,1,Exact deterministic join on module + prior candidate Core artifact + prior Core section. Current Core/evidence/authority/dependency fields are sourced from the matched STEP03 v1.2 relationship. STEP04 v1.0 is provenance only; no keyword/layer fallback.,CAM11-0011,"# developer-projects, calculator (dbr), notifications, rbac, seo"
STEP04-0051,M03,M03-CI-020,Refresh does not create regional quota,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED/00_M03_REBUILD_CONTROL_REPORT_v1.3.md,FULL deep-scan rebuild; M03 Listing/Refresh action authority,DETERMINISTIC_CROSSWALK_VALIDATED,SR-0074,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,"# developer-projects, calculator (dbr), notifications, rbac, seo",CORE ARCHITECTURE,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,Core architecture is governed as immutable Core semantic contract,FULL deep-scan rebuild; M03 Listing/Refresh action authority,1.0,RUMAHAGEN — SYSTEM ARCHITECTURE,M06/M11/M14,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,Do not propagate this finding into the target Core contract; retain provenance.,NO-PROPAGATION,STEP04 → 04_ARCHITECTURE synchronization target,Normalized M03 impact classification: NO PROPAGATION,CLASSIFIED,1,Exact deterministic join on module + prior candidate Core artifact + prior Core section. Current Core/evidence/authority/dependency fields are sourced from the matched STEP03 v1.2 relationship. STEP04 v1.0 is provenance only; no keyword/layer fallback.,CAM11-0011,"# developer-projects, calculator (dbr), notifications, rbac, seo"
STEP04-0052,M03,M03-CI-021,M03 physical/runtime claims,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED/00_M03_REBUILD_CONTROL_REPORT_v1.3.md,FULL deep-scan rebuild; M03 Listing/Refresh action authority,DETERMINISTIC_CROSSWALK_VALIDATED,SR-0740,27_AI_BLUEPRINT/W4-02A.6.31_AI_DEVELOPMENT_BLUEPRINT_v2.1.md,27_AI_BLUEPRINT/W4-02A.6.31_AI_DEVELOPMENT_BLUEPRINT_v2.1.md,# RUMAHAGEN — W4-02A.6.31,CORE AI DEVELOPMENT BLUEPRINT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,AI development blueprint is controlled project context,FULL deep-scan rebuild; M03 Listing/Refresh action authority,4.0,**Version:** 2.1,M06/M11/M14,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,Track downstream physical/API/RLS/runtime work; do not convert implementation status into semantic proof.,CONTROLLED,STEP04 → 27_AI_BLUEPRINT synchronization target,Normalized M03 impact classification: CONTROLLED,CLASSIFIED,1,Exact deterministic join on module + prior candidate Core artifact + prior Core section. Current Core/evidence/authority/dependency fields are sourced from the matched STEP03 v1.2 relationship. STEP04 v1.0 is provenance only; no keyword/layer fallback.,CAM11-0067,# RUMAHAGEN — W4-02A.6.31
STEP04-0065,M04,M04-CI-013,Partnership Learning Result,RUMAHAGEN_WF03_M04_FULL_REBUILD_v1.2_QIR_INTEGRATED_CONTROLLED/M04_CANONICAL_v1.2.md,FULL QIR-integrated Learning authority,DETERMINISTIC_CROSSWALK_VALIDATED,SR-0075,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,"# developer-projects, calculator (dbr), notifications, rbac, seo",CORE ARCHITECTURE,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,Core architecture is governed as immutable Core semantic contract,FULL QIR-integrated Learning authority,1.0,RUMAHAGEN — SYSTEM ARCHITECTURE,M10/M14/M15,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,Track downstream physical/API/RLS/runtime work; do not convert implementation status into semantic proof.,CONTROLLED,STEP04 → 04_ARCHITECTURE synchronization target,Normalized M04 impact classification: CONTROLLED,CLASSIFIED,1,Exact deterministic join on module + prior candidate Core artifact + prior Core section. Current Core/evidence/authority/dependency fields are sourced from the matched STEP03 v1.2 relationship. STEP04 v1.0 is provenance only; no keyword/layer fallback.,CAM11-0011,"# developer-projects, calculator (dbr), notifications, rbac, seo"
STEP04-0066,M04,M04-CI-014,Learning Reconciliation,RUMAHAGEN_WF03_M04_FULL_REBUILD_v1.2_QIR_INTEGRATED_CONTROLLED/M04_CANONICAL_v1.2.md,FULL QIR-integrated Learning authority,DETERMINISTIC_CROSSWALK_VALIDATED,SR-0846,30_RECONCILIATION_EVIDENCE/W4-02A.5R_SOURCE_UPDATE_REVALIDATION_v1.1.docx,30_RECONCILIATION_EVIDENCE/W4-02A.5R_SOURCE_UPDATE_REVALIDATION_v1.1.docx,NO_HEADING_DETECTED,CORE RECONCILIATION EVIDENCE AUTHORITY,00_CONTROL/W4-02A.7_RECURSIVE_SOURCE_AUDIT_REGISTER_v1.0.csv,Reconciliation evidence and audit lineage,FULL QIR-integrated Learning authority,1.0,RUMAHAGEN — W4-02A.5R SOURCE UPDATE REVALIDATION,M10/M14/M15,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,Track downstream physical/API/RLS/runtime work; do not convert implementation status into semantic proof.,CONTROLLED,STEP04 → 30_RECONCILIATION_EVIDENCE synchronization target,Normalized M04 impact classification: CONTROLLED,CLASSIFIED,1,Exact deterministic join on module + prior candidate Core artifact + prior Core section. Current Core/evidence/authority/dependency fields are sourced from the matched STEP03 v1.2 relationship. STEP04 v1.0 is provenance only; no keyword/layer fallback.,CAM11-0074,NO_HEADING_DETECTED
STEP04-0067,M04,M04-CI-015,Physical permission mapping,RUMAHAGEN_WF03_M04_FULL_REBUILD_v1.2_QIR_INTEGRATED_CONTROLLED/M04_CANONICAL_v1.2.md,FULL QIR-integrated Learning authority,DETERMINISTIC_CROSSWALK_VALIDATED,SR-0075,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,"# developer-projects, calculator (dbr), notifications, rbac, seo",CORE ARCHITECTURE,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,Core architecture is governed as immutable Core semantic contract,FULL QIR-integrated Learning authority,1.0,RUMAHAGEN — SYSTEM ARCHITECTURE,M10/M14/M15,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,Track downstream physical/API/RLS/runtime work; do not convert implementation status into semantic proof.,CONTROLLED,STEP04 → 04_ARCHITECTURE synchronization target,Normalized M04 impact classification: CONTROLLED,CLASSIFIED,1,Exact deterministic join on module + prior candidate Core artifact + prior Core section. Current Core/evidence/authority/dependency fields are sourced from the matched STEP03 v1.2 relationship. STEP04 v1.0 is provenance only; no keyword/layer fallback.,CAM11-0011,"# developer-projects, calculator (dbr), notifications, rbac, seo"
STEP04-0068,M04,M04-CI-016,RLS,RUMAHAGEN_WF03_M04_FULL_REBUILD_v1.2_QIR_INTEGRATED_CONTROLLED/M04_CANONICAL_v1.2.md,FULL QIR-integrated Learning authority,DETERMINISTIC_CROSSWALK_VALIDATED,SR-0404,13_RBAC_RLS/W4-02A.6.17_RBAC_PERMISSION_RLS_CURRENT_AUTHORIZATION_BASELINE_FULL_CONSOLIDATED_v2.1.docx,13_RBAC_RLS/W4-02A.6.17_RBAC_PERMISSION_RLS_CURRENT_AUTHORIZATION_BASELINE_FULL_CONSOLIDATED_v2.1.docx,NO_HEADING_DETECTED,M10 AUTHORIZATION AUTHORITY,RUMAHAGEN_WF03_M10_FULL_REBUILD_CONTROLLED_v1.1_FULL_VERSION/RUMAHAGEN_WF03_M10_FULL_REBUILD_CONTROLLED_v1.1.md,M10 is Role/Permission/Scope/Condition/Ownership/Organization/RLS authority,FULL QIR-integrated Learning authority,1.0,STEP AKTIF = W4-02A.6.17 — RBAC / PERMISSION / RLS CURRENT AUTHORIZATION BASELINE,M10/M14/M15,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,Track downstream physical/API/RLS/runtime work; do not convert implementation status into semantic proof.,CONTROLLED,STEP04 → 13_RBAC_RLS synchronization target,Normalized M04 impact classification: CONTROLLED,CLASSIFIED,1,Exact deterministic join on module + prior candidate Core artifact + prior Core section. Current Core/evidence/authority/dependency fields are sourced from the matched STEP03 v1.2 relationship. STEP04 v1.0 is provenance only; no keyword/layer fallback.,CAM11-0033,NO_HEADING_DETECTED
