sub_step,focus,status
P11_AI_CONTEXT-00,Input Deep Scan / Currentness / Authority Gate,LOCKED_AFTER_SOURCE_VALIDATION
P11_AI_CONTEXT-A,P10_AI_BLUEPRINT → AI Context Architecture,LOCKED_AFTER_SOURCE_VALIDATION
P11_AI_CONTEXT-B,Context Hierarchy & Priority,LOCKED_AFTER_SOURCE_VALIDATION
P11_AI_CONTEXT-C,Work Package Context Routing,LOCKED_AFTER_SOURCE_VALIDATION
P11_AI_CONTEXT-D,Module Context Routing M01–M15,LOCKED_AFTER_SOURCE_VALIDATION
P11_AI_CONTEXT-E,Dependency Context Routing,LOCKED_AFTER_SOURCE_VALIDATION
P11_AI_CONTEXT-F,Functional / Technical / API Context,LOCKED_AFTER_SOURCE_VALIDATION
P11_AI_CONTEXT-G,Data / Schema / RBAC-RLS Context,LOCKED_AFTER_SOURCE_VALIDATION
P11_AI_CONTEXT-H,UI/UX / Flow / State Context,LOCKED_AFTER_SOURCE_VALIDATION
P11_AI_CONTEXT-I,SEO / Discovery / Analytics Context,LOCKED_AFTER_SOURCE_VALIDATION
P11_AI_CONTEXT-J,Learning / Commercial / Qualification Context,LOCKED_AFTER_SOURCE_VALIDATION
P11_AI_CONTEXT-K,Security / Secret / BYOK / Provider Context,LOCKED_AFTER_SOURCE_VALIDATION
P11_AI_CONTEXT-L,AI Context Compression & Exclusion Rules,LOCKED_AFTER_SOURCE_VALIDATION
P11_AI_CONTEXT-M,AI Context Package / Prompt Assembly Contract,LOCKED_AFTER_SOURCE_VALIDATION
P11_AI_CONTEXT-N,Context → Implementation Handoff,LOCKED_AFTER_SOURCE_VALIDATION
P11_AI_CONTEXT-O,Controlled Residual / Evidence-Gated Context,LOCKED_AFTER_SOURCE_VALIDATION
P11_AI_CONTEXT-P,Full Cross-Artifact Reconciliation,LOCKED_AFTER_SOURCE_VALIDATION
P11_AI_CONTEXT-Q,First Full Deep Scan,LOCKED_AFTER_SOURCE_VALIDATION
P11_AI_CONTEXT-R,Full-Version Correction / Rebuild,LOCKED_AFTER_SOURCE_VALIDATION
P11_AI_CONTEXT-S,Second Full Deep Scan,LOCKED_AFTER_SOURCE_VALIDATION
P11_AI_CONTEXT-T,Final P11_AI_CONTEXT Gate & P12_RECONCILIATION_EVIDENCE Handoff,LOCKED_AFTER_SOURCE_VALIDATION
