Source module,Target module,Dependency evidence source,Semantic dependency,Authority dependency,Data dependency,API dependency,Permission dependency,Downstream dependency,Evidence dependency
M01,M02,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
M01,M03,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
M01,M04,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
M01,M05,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
M01,M06,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
M01,M07,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
M01,M08,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
M01,M09,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
M01,M10,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
M01,M11,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
M01,M12,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
M01,M13,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
M01,M14,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
M01,M15,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
M02,M01,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
M02,M03,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
M02,M04,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
M02,M05,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
M02,M06,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
M02,M07,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
M02,M08,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
M02,M09,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
M02,M10,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
M02,M11,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
M02,M12,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
M02,M13,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
M02,M14,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
M02,M15,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
M03,M01,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
M03,M02,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
M03,M04,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
