module,p5_batch_id,p4_work_packages,authority,execution_status,runtime_status,handoff
M01,B01,M01-P4-WP01;M01-P4-WP02;M01-P4-WP03;M01-P4-WP04,PRESERVE_LOCKED,PLANNED,NOT_VERIFIED,PENDING_EXECUTION
M02,B03,M02-P4-WP01;M02-P4-WP02;M02-P4-WP03;M02-P4-WP04,PRESERVE_LOCKED,PLANNED,NOT_VERIFIED,PENDING_EXECUTION
M03,B04,M03-P4-WP01;M03-P4-WP02;M03-P4-WP03;M03-P4-WP04,PRESERVE_LOCKED,PLANNED,NOT_VERIFIED,PENDING_EXECUTION
M04,B05,M04-P4-WP01;M04-P4-WP02;M04-P4-WP03;M04-P4-WP04;M04-P4-WP05;M04-P4-WP06,PRESERVE_LOCKED,PLANNED,NOT_VERIFIED,PENDING_EXECUTION
M05,B04,M05-P4-WP01;M05-P4-WP02;M05-P4-WP03;M05-P4-WP04,PRESERVE_LOCKED,PLANNED,NOT_VERIFIED,PENDING_EXECUTION
M06,B03,M06-P4-WP01;M06-P4-WP02;M06-P4-WP03;M06-P4-WP04,PRESERVE_LOCKED,PLANNED,NOT_VERIFIED,PENDING_EXECUTION
M07,B03,M07-P4-WP01;M07-P4-WP02;M07-P4-WP03;M07-P4-WP04,PRESERVE_LOCKED,PLANNED,NOT_VERIFIED,PENDING_EXECUTION
M08,B07,M08-P4-WP01;M08-P4-WP02;M08-P4-WP03;M08-P4-WP04,PRESERVE_LOCKED,PLANNED,NOT_VERIFIED,PENDING_EXECUTION
M09,B03,M09-P4-WP01;M09-P4-WP02;M09-P4-WP03;M09-P4-WP04,PRESERVE_LOCKED,PLANNED,NOT_VERIFIED,PENDING_EXECUTION
M10,B02,M10-P4-WP01;M10-P4-WP02;M10-P4-WP03;M10-P4-WP04,PRESERVE_LOCKED,PLANNED,NOT_VERIFIED,PENDING_EXECUTION
M11,B07,M11-P4-WP01;M11-P4-WP02;M11-P4-WP03;M11-P4-WP04,PRESERVE_LOCKED,PLANNED,NOT_VERIFIED,PENDING_EXECUTION
M12,B03,M12-P4-WP01;M12-P4-WP02;M12-P4-WP03;M12-P4-WP04,PRESERVE_LOCKED,PLANNED,NOT_VERIFIED,PENDING_EXECUTION
M13,B03,M13-P4-WP01;M13-P4-WP02;M13-P4-WP03;M13-P4-WP04,PRESERVE_LOCKED,PLANNED,NOT_VERIFIED,PENDING_EXECUTION
M14,B03,M14-P4-WP01;M14-P4-WP02;M14-P4-WP03;M14-P4-WP04,PRESERVE_LOCKED,PLANNED,NOT_VERIFIED,PENDING_EXECUTION
M15,B06,M15-P4-WP01;M15-P4-WP02;M15-P4-WP03;M15-P4-WP04,PRESERVE_LOCKED,PLANNED,NOT_VERIFIED,PENDING_EXECUTION
