source,nesting_level,relative_path,size_bytes,sha256
RUMAHAGEN_P2_MODULE_IMPLEMENTATION_STRATEGY_FULL_REBUILD_20260907_v1.2.zip,0,P2_ADDITIONAL_SOURCE_IMPACT_TRACEABILITY_v1.2.csv,2720,9907b75a2ebf0fbb1921e45b508b7c49ab2140ae9e356313c58bf33b8a5ea358
RUMAHAGEN_P2_MODULE_IMPLEMENTATION_STRATEGY_FULL_REBUILD_20260907_v1.2.zip,0,P2_AUTHORITY_BOUNDARY_STRATEGY_v1.2.csv,2565,b2f2acee8c4f4ae3a7ff8b26a531511ecc554ac8de44a283a7148200441e625f
RUMAHAGEN_P2_MODULE_IMPLEMENTATION_STRATEGY_FULL_REBUILD_20260907_v1.2.zip,0,P2_CORE_IMPLEMENTATION_PACKAGE_COVERAGE_v1.2.csv,1566,0b2590ef69570eef5d616401ca8ada9606fecad14ab1641aecafa83811156e0d
RUMAHAGEN_P2_MODULE_IMPLEMENTATION_STRATEGY_FULL_REBUILD_20260907_v1.2.zip,0,P2_CORE_IMPLEMENTATION_STRATEGY_OBLIGATION_COVERAGE_v1.2.csv,2879,cebbdd35922bff9e81b1ddf577758ed75388980a21636d92341965f751c4db77
RUMAHAGEN_P2_MODULE_IMPLEMENTATION_STRATEGY_FULL_REBUILD_20260907_v1.2.zip,0,P2_DEPENDENCY_IMPLEMENTATION_STRATEGY_v1.2.csv,10217,0c80a71e9369e5b90540b9c9465c3eed1ff15c94892b20c7f90124066532dc37
RUMAHAGEN_P2_MODULE_IMPLEMENTATION_STRATEGY_FULL_REBUILD_20260907_v1.2.zip,0,P2_FINDING_CORRECTION_REGISTER_v1.2.csv,478,e630fe21ea1434efca4f0c753a2dcde2798cfbaaa47077dd4680b6af897e564b
RUMAHAGEN_P2_MODULE_IMPLEMENTATION_STRATEGY_FULL_REBUILD_20260907_v1.2.zip,0,P2_FULL_RECURSIVE_DEEP_SCAN_INVENTORY_v1.2.csv,913532,cc4947bff9ef52ada65423a669158b1c4e0642653fcc56266329451efae4c405
RUMAHAGEN_P2_MODULE_IMPLEMENTATION_STRATEGY_FULL_REBUILD_20260907_v1.2.zip,0,P2_IMPLEMENTATION_LAYER_STRATEGY_v1.2.csv,532,056c6cde46732c959d830d686086af3b2d344614850c20f825af5b7381c44422
RUMAHAGEN_P2_MODULE_IMPLEMENTATION_STRATEGY_FULL_REBUILD_20260907_v1.2.zip,0,P2_M01-M15_REQUIRED_CHANGE_COVERAGE_MATRIX_v1.2.csv,36126,b4f1f4af7ba49ace48eabf045d9f5b17d544b53e0fc69cd8b083d19b7b638bd1
RUMAHAGEN_P2_MODULE_IMPLEMENTATION_STRATEGY_FULL_REBUILD_20260907_v1.2.zip,0,P2_MODULE_IMPLEMENTATION_STRATEGY_FULL_REBUILD_20260907_v1.2.docx,37258,5964bf0939e5fe98ab70d821d539ea8597d68f353f953451ee420268e24884e0
RUMAHAGEN_P2_MODULE_IMPLEMENTATION_STRATEGY_FULL_REBUILD_20260907_v1.2.zip,0,P2_MODULE_IMPLEMENTATION_STRATEGY_FULL_REBUILD_20260907_v1.2.md,2857,98c626104c2e5bd72be6987253257feb0cf5561647120c3c2ddb1950e589305b
