canonical_id,record_type,module_authority,rule_name,source,core_provenance,mxx_provenance,authority_note
BR-001,CORE_CANONICAL_BR,M12,Agency Ownership,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,Core v1.3 canonical BR; preserved unless an approved exact semantic amendment applies.
BR-002,CORE_CANONICAL_BR,M12,Agency Membership,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,Core v1.3 canonical BR; preserved unless an approved exact semantic amendment applies.
BR-003,CORE_CANONICAL_BR,M12,Lead Role,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,Core v1.3 canonical BR; preserved unless an approved exact semantic amendment applies.
BR-004,CORE_CANONICAL_BR,M12,Member Role,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,Core v1.3 canonical BR; preserved unless an approved exact semantic amendment applies.
BR-005,CORE_CANONICAL_BR,M12,Personal Context,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,Core v1.3 canonical BR; preserved unless an approved exact semantic amendment applies.
BR-006,CORE_CANONICAL_BR,M12,Agency Context,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,Core v1.3 canonical BR; preserved unless an approved exact semantic amendment applies.
BR-007,CORE_CANONICAL_BR,M12,Membership ≠ Ownership,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,Core v1.3 canonical BR; preserved unless an approved exact semantic amendment applies.
BR-008,CORE_CANONICAL_BR,M12,Membership ≠ Personal Entitlement,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,Core v1.3 canonical BR; preserved unless an approved exact semantic amendment applies.
BR-009,CORE_CANONICAL_BR,M12,Agency Listing Ownership,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,Core v1.3 canonical BR; preserved unless an approved exact semantic amendment applies.
BR-010,CORE_CANONICAL_BR,M12,Personal Listing Ownership,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,Core v1.3 canonical BR; preserved unless an approved exact semantic amendment applies.
BR-011,CORE_CANONICAL_BR,M12,Listing Origin,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,Core v1.3 canonical BR; preserved unless an approved exact semantic amendment applies.
BR-012,CORE_CANONICAL_BR,M12,Current Context,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,Core v1.3 canonical BR; preserved unless an approved exact semantic amendment applies.
BR-013,CORE_CANONICAL_BR,M12,Agency Listing Visibility,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,Core v1.3 canonical BR; preserved unless an approved exact semantic amendment applies.
BR-014,CORE_CANONICAL_BR,M12,Agency Listing CRUD,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,Core v1.3 canonical BR; preserved unless an approved exact semantic amendment applies.
BR-015,CORE_CANONICAL_BR,M12,Personal Listing Isolation,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,Core v1.3 canonical BR; preserved unless an approved exact semantic amendment applies.
BR-016,CORE_CANONICAL_BR,M12,Voluntary Member Leave,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,Core v1.3 canonical BR; preserved unless an approved exact semantic amendment applies.
BR-017,CORE_CANONICAL_BR,M12,Forced Removal,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,Core v1.3 canonical BR; preserved unless an approved exact semantic amendment applies.
BR-018,CORE_CANONICAL_BR,M12,Forced Removal Notification,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,Core v1.3 canonical BR; preserved unless an approved exact semantic amendment applies.
BR-019,CORE_CANONICAL_BR,M12,Leave and Forced Removal Equivalence,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,Core v1.3 canonical BR; preserved unless an approved exact semantic amendment applies.
BR-020,CORE_CANONICAL_BR,M12,Standard Member Exit Transfer,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,Core v1.3 canonical BR; preserved unless an approved exact semantic amendment applies.
BR-021,CORE_CANONICAL_BR,M12,Published + Active Promo Exception,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,Core v1.3 canonical BR; preserved unless an approved exact semantic amendment applies.
BR-022,CORE_CANONICAL_BR,M12,Promo Continuation,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,Core v1.3 canonical BR; preserved unless an approved exact semantic amendment applies.
BR-023,CORE_CANONICAL_BR,M12,Promo Expiry Transfer,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,Core v1.3 canonical BR; preserved unless an approved exact semantic amendment applies.
BR-024,CORE_CANONICAL_BR,M12,Automatic Transfer Trigger,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,Core v1.3 canonical BR; preserved unless an approved exact semantic amendment applies.
BR-025,CORE_CANONICAL_BR,M12,Non-Exception Listing,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,Core v1.3 canonical BR; preserved unless an approved exact semantic amendment applies.
BR-026,CORE_CANONICAL_BR,M12,Member Exit Listing Ownership,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,Core v1.3 canonical BR; preserved unless an approved exact semantic amendment applies.
BR-027,CORE_CANONICAL_BR,M12,Personal Context Detachment,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,Core v1.3 canonical BR; preserved unless an approved exact semantic amendment applies.
BR-028,CORE_CANONICAL_BR,M12,Origin Preservation,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,Core v1.3 canonical BR; preserved unless an approved exact semantic amendment applies.
BR-029,CORE_CANONICAL_BR,M12,Listing Data Retention,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,Core v1.3 canonical BR; preserved unless an approved exact semantic amendment applies.
BR-030,CORE_CANONICAL_BR,M12,Agency-Specific Data,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,Core v1.3 canonical BR; preserved unless an approved exact semantic amendment applies.
BR-031,CORE_CANONICAL_BR,M12,Lead History Deletion,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,Core v1.3 canonical BR; preserved unless an approved exact semantic amendment applies.
BR-032,CORE_CANONICAL_BR,M12,No Lead History Migration,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,Core v1.3 canonical BR; preserved unless an approved exact semantic amendment applies.
BR-033,CORE_CANONICAL_BR,M12,Audit Boundary,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,Core v1.3 canonical BR; preserved unless an approved exact semantic amendment applies.
BR-034,CORE_CANONICAL_BR,M12,Historical Audit Retention,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,Core v1.3 canonical BR; preserved unless an approved exact semantic amendment applies.
BR-035,CORE_CANONICAL_BR,M12,Promo Consumption,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,Core v1.3 canonical BR; preserved unless an approved exact semantic amendment applies.
BR-036,CORE_CANONICAL_BR,M12,Consumed Promo Non-Reversal,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,Core v1.3 canonical BR; preserved unless an approved exact semantic amendment applies.
BR-037,CORE_CANONICAL_BR,M12,Agency Promo During Member Exit,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,Core v1.3 canonical BR; preserved unless an approved exact semantic amendment applies.
BR-038,CORE_CANONICAL_BR,M12,Agency Closure Promo,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,Core v1.3 canonical BR; preserved unless an approved exact semantic amendment applies.
BR-039,CORE_CANONICAL_BR,M12,Closure Promo Exception,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,Core v1.3 canonical BR; preserved unless an approved exact semantic amendment applies.
BR-040,CORE_CANONICAL_BR,M12,Unused Promo,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,Core v1.3 canonical BR; preserved unless an approved exact semantic amendment applies.
BR-041,CORE_CANONICAL_BR,M12,Permanent Add-on,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,Core v1.3 canonical BR; preserved unless an approved exact semantic amendment applies.
BR-042,CORE_CANONICAL_BR,M12,Allocation Ownership,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,Core v1.3 canonical BR; preserved unless an approved exact semantic amendment applies.
BR-043,CORE_CANONICAL_BR,M12,Unallocated Ownership,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,Core v1.3 canonical BR; preserved unless an approved exact semantic amendment applies.
BR-044,CORE_CANONICAL_BR,M12,Allocation Survives Member Exit,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,Core v1.3 canonical BR; preserved unless an approved exact semantic amendment applies.
BR-045,CORE_CANONICAL_BR,M12,Allocation Survives Forced Removal,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,Core v1.3 canonical BR; preserved unless an approved exact semantic amendment applies.
BR-046,CORE_CANONICAL_BR,M12,No Automatic Reclaim,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,Core v1.3 canonical BR; preserved unless an approved exact semantic amendment applies.
