residual_id,treatment,upstream_status,p12_classification,physical_runtime_blocker,p12_disposition,provenance
CR-001,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CONTROLLED_DOCUMENTARY_CARRY_FORWARD,NO,CARRY FORWARD; DOES NOT HOLD P12_RECONCILIATION_EVIDENCE SOLELY FOR ABSENT PHYSICAL/RUNTIME PROOF,P11_AI_CONTEXT v1.2
CR-002,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CONTROLLED_DOCUMENTARY_CARRY_FORWARD,NO,CARRY FORWARD; DOES NOT HOLD P12_RECONCILIATION_EVIDENCE SOLELY FOR ABSENT PHYSICAL/RUNTIME PROOF,P11_AI_CONTEXT v1.2
CR-003,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CONTROLLED_DOCUMENTARY_CARRY_FORWARD,NO,CARRY FORWARD; DOES NOT HOLD P12_RECONCILIATION_EVIDENCE SOLELY FOR ABSENT PHYSICAL/RUNTIME PROOF,P11_AI_CONTEXT v1.2
CR-004,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CONTROLLED_DOCUMENTARY_CARRY_FORWARD,NO,CARRY FORWARD; DOES NOT HOLD P12_RECONCILIATION_EVIDENCE SOLELY FOR ABSENT PHYSICAL/RUNTIME PROOF,P11_AI_CONTEXT v1.2
CR-005,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CONTROLLED_DOCUMENTARY_CARRY_FORWARD,NO,CARRY FORWARD; DOES NOT HOLD P12_RECONCILIATION_EVIDENCE SOLELY FOR ABSENT PHYSICAL/RUNTIME PROOF,P11_AI_CONTEXT v1.2
CR-006,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CONTROLLED_DOCUMENTARY_CARRY_FORWARD,NO,CARRY FORWARD; DOES NOT HOLD P12_RECONCILIATION_EVIDENCE SOLELY FOR ABSENT PHYSICAL/RUNTIME PROOF,P11_AI_CONTEXT v1.2
CR-007,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CONTROLLED_DOCUMENTARY_CARRY_FORWARD,NO,CARRY FORWARD; DOES NOT HOLD P12_RECONCILIATION_EVIDENCE SOLELY FOR ABSENT PHYSICAL/RUNTIME PROOF,P11_AI_CONTEXT v1.2
CR-008,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CONTROLLED_DOCUMENTARY_CARRY_FORWARD,NO,CARRY FORWARD; DOES NOT HOLD P12_RECONCILIATION_EVIDENCE SOLELY FOR ABSENT PHYSICAL/RUNTIME PROOF,P11_AI_CONTEXT v1.2
CR-009,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CONTROLLED_DOCUMENTARY_CARRY_FORWARD,NO,CARRY FORWARD; DOES NOT HOLD P12_RECONCILIATION_EVIDENCE SOLELY FOR ABSENT PHYSICAL/RUNTIME PROOF,P11_AI_CONTEXT v1.2
CR-010,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CONTROLLED_DOCUMENTARY_CARRY_FORWARD,NO,CARRY FORWARD; DOES NOT HOLD P12_RECONCILIATION_EVIDENCE SOLELY FOR ABSENT PHYSICAL/RUNTIME PROOF,P11_AI_CONTEXT v1.2
CR-011,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CONTROLLED_DOCUMENTARY_CARRY_FORWARD,NO,CARRY FORWARD; DOES NOT HOLD P12_RECONCILIATION_EVIDENCE SOLELY FOR ABSENT PHYSICAL/RUNTIME PROOF,P11_AI_CONTEXT v1.2
CR-012,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CONTROLLED_DOCUMENTARY_CARRY_FORWARD,NO,CARRY FORWARD; DOES NOT HOLD P12_RECONCILIATION_EVIDENCE SOLELY FOR ABSENT PHYSICAL/RUNTIME PROOF,P11_AI_CONTEXT v1.2
CR-013,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CONTROLLED_DOCUMENTARY_CARRY_FORWARD,NO,CARRY FORWARD; DOES NOT HOLD P12_RECONCILIATION_EVIDENCE SOLELY FOR ABSENT PHYSICAL/RUNTIME PROOF,P11_AI_CONTEXT v1.2
CR-014,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CONTROLLED_DOCUMENTARY_CARRY_FORWARD,NO,CARRY FORWARD; DOES NOT HOLD P12_RECONCILIATION_EVIDENCE SOLELY FOR ABSENT PHYSICAL/RUNTIME PROOF,P11_AI_CONTEXT v1.2
CR-015,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CONTROLLED_DOCUMENTARY_CARRY_FORWARD,NO,CARRY FORWARD; DOES NOT HOLD P12_RECONCILIATION_EVIDENCE SOLELY FOR ABSENT PHYSICAL/RUNTIME PROOF,P11_AI_CONTEXT v1.2
CR-016,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CONTROLLED_DOCUMENTARY_CARRY_FORWARD,NO,CARRY FORWARD; DOES NOT HOLD P12_RECONCILIATION_EVIDENCE SOLELY FOR ABSENT PHYSICAL/RUNTIME PROOF,P11_AI_CONTEXT v1.2
CR-017,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CONTROLLED_DOCUMENTARY_CARRY_FORWARD,NO,CARRY FORWARD; DOES NOT HOLD P12_RECONCILIATION_EVIDENCE SOLELY FOR ABSENT PHYSICAL/RUNTIME PROOF,P11_AI_CONTEXT v1.2
CR-018,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CONTROLLED_DOCUMENTARY_CARRY_FORWARD,NO,CARRY FORWARD; DOES NOT HOLD P12_RECONCILIATION_EVIDENCE SOLELY FOR ABSENT PHYSICAL/RUNTIME PROOF,P11_AI_CONTEXT v1.2
CR-019,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CONTROLLED_DOCUMENTARY_CARRY_FORWARD,NO,CARRY FORWARD; DOES NOT HOLD P12_RECONCILIATION_EVIDENCE SOLELY FOR ABSENT PHYSICAL/RUNTIME PROOF,P11_AI_CONTEXT v1.2
CR-020,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CONTROLLED_DOCUMENTARY_CARRY_FORWARD,NO,CARRY FORWARD; DOES NOT HOLD P12_RECONCILIATION_EVIDENCE SOLELY FOR ABSENT PHYSICAL/RUNTIME PROOF,P11_AI_CONTEXT v1.2
CR-021,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CONTROLLED_DOCUMENTARY_CARRY_FORWARD,NO,CARRY FORWARD; DOES NOT HOLD P12_RECONCILIATION_EVIDENCE SOLELY FOR ABSENT PHYSICAL/RUNTIME PROOF,P11_AI_CONTEXT v1.2
CR-022,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CONTROLLED_DOCUMENTARY_CARRY_FORWARD,NO,CARRY FORWARD; DOES NOT HOLD P12_RECONCILIATION_EVIDENCE SOLELY FOR ABSENT PHYSICAL/RUNTIME PROOF,P11_AI_CONTEXT v1.2
