module,change_id,required_change,p2_strategy,core_scope_treatment,classification,status,v1_2_status
M01,M01-P2-01,Reconcile activation semantics: successful OTP must not default to Pending Review/approval.,Foundation-first; establish identity/authentication and verification state before protected domain execution.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,AUGMENT,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M01,M01-P2-02,Preserve Verification Document role scopes and non-public status.,Foundation-first; establish identity/authentication and verification state before protected domain execution.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,PRESERVE,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M01,M01-P2-03,"Treat KTP as eligibility/requirement, not RBAC permission.",Foundation-first; establish identity/authentication and verification state before protected domain execution.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,PRESERVE,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M01,M01-P2-04,Preserve ISI NANTI → KTP=DEFERRED/NOT_PROVIDED → ACCOUNT=ACTIVE → HOME path.,Foundation-first; establish identity/authentication and verification state before protected domain execution.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,PRESERVE,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M01,M01-P2-05,Keep M10 authorization and M02 public-profile visibility authority distinct.,Foundation-first; establish identity/authentication and verification state before protected domain execution.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,PRESERVE,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M02,M02-P2-01,Align Profile View/Update with locked role matrix.,Identity + authorization dependent profile/review implementation; visibility and moderation semantics remain domain-owned.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,AUGMENT,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M02,M02-P2-02,"Represent PUBLIC/PRIVATE as visibility state, not RBAC scope.",Identity + authorization dependent profile/review implementation; visibility and moderation semantics remain domain-owned.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,PRESERVE,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M02,M02-P2-03,Public/WhatsApp CTA requires explicit Agent opt-in.,Identity + authorization dependent profile/review implementation; visibility and moderation semantics remain domain-owned.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,AUGMENT,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M02,M02-P2-04,Only Superadmin may administratively override another Agent's visibility/Public CTA.,Identity + authorization dependent profile/review implementation; visibility and moderation semantics remain domain-owned.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,AUGMENT,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M02,M02-P2-05,Private identity/legal verification documents remain non-public.,Identity + authorization dependent profile/review implementation; visibility and moderation semantics remain domain-owned.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,PRESERVE,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M02,M02-P2-06,Reviews auto-approve for publication; Admin moderation is post-publication.,Identity + authorization dependent profile/review implementation; visibility and moderation semantics remain domain-owned.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,PRESERVE,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M02,M02-P2-07,Outcome Presentation remains non-owning.,Identity + authorization dependent profile/review implementation; visibility and moderation semantics remain domain-owned.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,PRESERVE,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M03,M03-P2-01,Direct Publish semantics; do not retain conflicting normal Pending Review gate.,Context + authorization + commercial-allowance gated Listing execution; M03 retains Listing/Refresh action authority.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,PRESERVE,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M03,M03-P2-02,Admin is not normal Publish approver; Suspended remains enforcement separate from publication.,Context + authorization + commercial-allowance gated Listing execution; M03 retains Listing/Refresh action authority.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,PRESERVE,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M03,M03-P2-03,Sold/Rented excluded from public Search while historical profile counts remain.,Context + authorization + commercial-allowance gated Listing execution; M03 retains Listing/Refresh action authority.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,PRESERVE,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M03,M03-P2-04,Ordinary Listing Update is owner-only; organization membership does not create edit authority.,Context + authorization + commercial-allowance gated Listing execution; M03 retains Listing/Refresh action authority.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,PRESERVE,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M03,M03-P2-05,"Lock Address, Property Type, Land Size, Building Size after first successful Publish.",Context + authorization + commercial-allowance gated Listing execution; M03 retains Listing/Refresh action authority.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,AUGMENT,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M03,M03-P2-06,"Refresh: default 5 successful/day, Superadmin-configurable via M14 boundary, no carry-forward, Asia/Jakarta operational day, one successful Refresh/listing/day, same District, latest-successful-first ordering, server-authoritative timestamp/order.",Context + authorization + commercial-allowance gated Listing execution; M03 retains Listing/Refresh action authority.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,AUGMENT,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M03,M03-P2-07,Use optimized thumbnail/card derivatives for ordinary Search; preserve aspect ratio; no stretching/original-resolution delivery.,Context + authorization + commercial-allowance gated Listing execution; M03 retains Listing/Refresh action authority.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,PRESERVE,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M03,M03-P2-08,No regional Refresh quotas.,Context + authorization + commercial-allowance gated Listing execution; M03 retains Listing/Refresh action authority.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,AUGMENT,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
