Module,STEP03 Core Artifact Map,STEP04 Sync Matrix,Supporting evidence usable,Blocking issue
M01,READY,READY WITH CONTROL,YES,No STEP02 blocking issue; current source is M01-M15 new recon(7)
M02,READY,READY WITH CONTROL,YES,No STEP02 blocking issue; current source is M01-M15 new recon(7)
M03,READY,READY WITH CONTROL,YES,No STEP02 blocking issue; current source is M01-M15 new recon(7)
M04,READY,READY WITH CONTROL,YES,No STEP02 blocking issue; current source is M01-M15 new recon(7)
M05,READY,READY WITH CONTROL,YES,No STEP02 blocking issue; current source is M01-M15 new recon(7)
M06,READY,READY WITH CONTROL,YES,No STEP02 blocking issue; current source is M01-M15 new recon(7)
M07,READY,READY WITH CONTROL,YES,No STEP02 blocking issue; current source is M01-M15 new recon(7)
M08,READY,READY WITH CONTROL,YES,No STEP02 blocking issue; current source is M01-M15 new recon(7)
M09,READY,READY WITH CONTROL,YES,No STEP02 blocking issue; current source is M01-M15 new recon(7)
M10,READY,READY WITH CONTROL,YES,No STEP02 blocking issue; current source is M01-M15 new recon(7)
M11,READY,READY WITH CONTROL,YES,No STEP02 blocking issue; current source is M01-M15 new recon(7)
M12,READY,READY WITH CONTROL,YES,No STEP02 blocking issue; current source is M01-M15 new recon(7)
M13,READY,READY WITH CONTROL,YES,No STEP02 blocking issue; current source is M01-M15 new recon(7)
M14,READY,READY WITH CONTROL,YES,No STEP02 blocking issue; current source is M01-M15 new recon(7)
M15,READY,READY WITH CONTROL,YES,No STEP02 blocking issue; current source is M01-M15 new recon(7)
