module,authority_artifact,artifact_sha256,size_bytes,canonical_internal_source,internal_header_excerpt,metadata_control
M01,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,1c53930998a825a2b0b36bf7407239a913f8306b201e642d8628ce3e2327ed53,24186,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,# WF03-03-01 — M01 FULL SEMANTIC REBUILD v1.0 |  | **PROJECT:** RumahAgen R01   | **WORKFLOW:** WF03 Permission Matrix M01–M15   | **MODULE:** M01 — Identity / Onboarding / Verification   | **STATUS:** COMPLETE — FULL MODULE REBUILD / REVISION R01  ,FILENAME v1.1 vs INTERNAL HEADER v1.0 — CONTROLLED METADATA ANOMALY
M02,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,eb148ae05de827ae90619ae7be69186a2423cdfe9ba66c35c4dee6b21b5a30e6,21104,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,# WF03-03-02 — M02 FULL SEMANTIC REBUILD v1.0 |  | **PROJECT:** RumahAgen R01   | **WORKFLOW:** WF03 Permission Matrix M01–M15   | **MODULE:** M02 — Agent Profile / Reviews / Profile Visibility & Public CTA / Outcome Presentation   | **STATUS:** COMPLETE — FULL MODULE REBUILD  ,FILENAME v1.1 vs INTERNAL HEADER v1.0 — CONTROLLED METADATA ANOMALY
M03,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip,b9e484c35d3cc997f791510ba10a5eeef0e851030a424699fff790b8317e76ca,161796,00_M03_REBUILD_CONTROL_REPORT_v1.3.md,# RUMAHAGEN WF03 — M03 FULL DEEP-SCAN REBUILD v1.3 |  | ## Status | **M03 COMPLETE — controlled semantic/module gate.** |  | This is a standalone whole-module rebuild. It is not a patch or append.,NONE
M04,RUMAHAGEN_WF03_M04_FULL_REBUILD_v1.2_QIR_INTEGRATED_CONTROLLED.zip,41d13dff210a1c392b03cc6035e2b2dc92f7b877c4ec2429b61e5268ee734876,149003,M04_CANONICAL_v1.2.md,# RUMAHAGEN WF03 — M04 FULL VERSION v1.2 | ## QIR-INTEGRATED SELF-CONTAINED CONTROLLED AUTHORITY |  | ### Purpose | This is a full M04 version integrating the resolved M04 Question Inventory Resolution into M04 v1.1. It is self-contained for M04 semantic governance and does not require the QIR package to determine the current resolved decision state. | ,NONE
M05,RUMAHAGEN_WF03_M05_FULL_REBUILD_CONTROLLED_v1.3_FULL_VERSION.zip,1230777319e8d7a0a358e65a2e6081f3e12dcbc69b5082d360f820850f001d36,166268,00_M05_FULL_REBUILD_CONTROL_REPORT_v1.3.md,# M05 FULL REBUILD v1.3 — CONTROL REPORT |  | Status: **FULL / CONTROLLED / QIR-CORRECTED** | Scope: **M05 only** | Type: **WHOLE-MODULE REBUILD — NOT PATCH / NOT APPEND** | ,NONE
M06,RUMAHAGEN_WF03_M06_FULL_REBUILD_CONTROLLED_v1.5_FULL_VERSION.zip,64d349e107a95c4b0bf8369141f5b7ce790e1bc8a3c499513f20b3681ba028a0,2925265,07_M06_FULL_REBUILD_CONTROLLED_v1.5.md,# RUMAHAGEN WF-03 — M06 FULL REBUILD v1.5 | ## WHOLE-MODULE REBUILD — FULL VERSION — CONTROLLED CORRECTION |  | This is the corrected whole-module full version following the v1.4 deep-scan findings and the Owner Absolute Override / WF03-02 governing rule. The complete v1.4 artifact set is retained verbatim under `00_V1.4_BASELINE_RETAINED/`. No valid v1.4 content is deleted. |  | ### Governing status separation,NONE
M07,RUMAHAGEN_WF03_M07_FULL_REBUILD_CONTROLLED_v1.1_FULL_VERSION.zip,55ec667204938b5818e17b7cf39111a54e4738f66336e67cda6aa7a2a7354212,276432,00_M07_FULL_REBUILD_CONTROLLED_v1.1.md,"# RUMAHAGEN WF03 — M07 FULL REBUILD CONTROLLED v1.1 |  | ## Status | **COMPLETE / GREEN** |  | This is a new full-version package, not a patch. The complete M07 v1.0 package is retained under `00_V1.0_BASELINE_RETAINED/`.",NONE
M08,RUMAHAGEN_WF03_M08_FULL_REBUILD_CONTROLLED_v1.0.zip,e9f1ef4d21ba81931dfa9c30e9f3a1dfbbb061cd54ddaad892b9a05658b1a602,137749,00_README_M08_CONTROLLED_v1.0.md,# RUMAHAGEN WF03 — M08 Full Rebuild Controlled v1.0 |  | **Status: COMPLETE / RECONCILED / LOCKED** |  | This package is the controlled semantic completion output for M08. | ,NONE
M09,RUMAHAGEN_WF03_M09_FULL_REBUILD_CONTROLLED_v1.1_FULL_VERSION.zip,2631a290a8af1420ab769434b14cadb5cce18e34f57685f9288394fbb08103d0,27985,RUMAHAGEN_WF03_M09_FULL_REBUILD_CONTROLLED_v1.1/02_REBUILD/00_M09_FULL_REBUILD_FINAL_REPORT_v1.1.md,# RUMAHAGEN WF03 — M09 FULL REBUILD v1.1 |  | ## Final Gate | **M09 COMPLETE — SEMANTICALLY REBUILT / RECONCILED / LOCKED** |  | ### Source rule,NONE
M10,RUMAHAGEN_WF03_M10_FULL_REBUILD_CONTROLLED_v1.1_FULL_VERSION.zip,553297988fd328a4d422385a20eb2d113a22d799f67fbe5e0fbbc815efd0a8c4,207929,RUMAHAGEN_WF03_M10_FULL_REBUILD_CONTROLLED_v1.1/RUMAHAGEN_WF03_M10_FULL_REBUILD_CONTROLLED_v1.1.md,# RUMAHAGEN WF03 — M10 FULL REBUILD CONTROLLED v1.1 |  | **Rebuild type:** FULL VERSION — NO PATCH / NO APPEND | **Scope:** M10 only | **Inputs scanned:** exactly the three uploaded ZIP files in this execution | **Semantic status:** COMPLETE / LOCKED,NONE
M11,RUMAHAGEN_WF03_M11_FULL_REBUILD_CONTROLLED_v2.0_FULL_VERSION.zip,36cddb5456c7558e1a2543122dd17d674f06a9f7ba7d100a1d5cea0b9ebb8144,49864,RUMAHAGEN_WF03_M11_FULL_REBUILD_CONTROLLED_v2.0_FULL_VERSION.md,# RUMAHAGEN WF-03.2 — M11 FULL REBUILD CONTROLLED v2.0 |  | **Status:** M11 COMPLETE — FULL VERSION / CONTROLLED   | **Rebuild type:** Whole-module semantic rebuild; NOT a patch / append   | **Source rule:** M11-scope uploaded artifacts only   | **Source container:** `M01-M15 new recon(10).zip` + `WF03permissionmatrixM01-M15(20260831-193127).zip`  ,NONE
M12,RUMAHAGEN_WF03_M12_FULL_REBUILD_CONTROLLED_v1.0.zip,ed5c4fa0f2e09c93d0c3d0aa59d1a754af179f5ae28ad85097a7d1cbe3304dce,49052,RUMAHAGEN_WF03_M12_FULL_REBUILD_CONTROLLED_v1.0.md,# RUMAHAGEN WF-03.2 — M12 FULL REBUILD CONTROLLED v1.0 |  | **Status:** M12 COMPLETE — FULL VERSION / CONTROLLED   | **Rebuild type:** Whole-module semantic rebuild — NOT PATCH / NOT APPEND   | **Source rule:** M12-scope source only   | **Date:** 2026-09-01,NONE
M13,RUMAHAGEN_WF03_M13_FULL_REBUILD_CONTROLLED_v1.0.zip,e78d10a8dd076949131abdb757ca7ddecfe6722a292e79c42ea7c5568c0279cb,52414,RUMAHAGEN_WF03_M13_FULL_REBUILD_CONTROLLED_v1.0.md,# RUMAHAGEN WF-03.2 — M13 FULL REBUILD CONTROLLED v1.0 |  | **Status:** M13 COMPLETE — CONTROLLED FULL VERSION   | **Artifact type:** Whole-module semantic rebuild — NOT PATCH / NOT APPEND   | **Source scope:** M13 only   | **Execution:** Full deep scan of uploaded source corpus  ,NONE
M14,RUMAHAGEN_WF03_M14_FULL_REBUILD_v2.2_CORE_DETAIL_PARITY_FULL_VERSION.zip,34d404334a425c62ac2d3a08b9d4a552af939b248992b4fed874acaab8852b21,68960,RUMAHAGEN_WF03_M14_FULL_REBUILD_v2.2_CORE_DETAIL_PARITY_FULL_VERSION.md,"# RUMAHAGEN — WF03 M14 FULL REBUILD v2.1 — CORE SYNCHRONIZED FULL VERSION |  | **Status:** M14 COMPLETE — FULL CURRENT SYNCHRONIZED VERSION |  | **Baseline lineage:** M14 v2.0 historical semantic baseline is preserved; this v2.1 is a new full rebuild, not a patch. | ",FILENAME v2.2 vs INTERNAL TITLE v2.1 — CONTROLLED METADATA ANOMALY
