path,size,sha256
P4_M03_EXECUTION_ARCHITECTURE_v1.2.md,8139,330e8b3deb33fc5537f9977af444f13fc8da2391e58a6062e67d8043a41c6af4
P4_FINDING_CORRECTION_REGISTER_v1.3.csv,1015,1137788e8d4ef890fb3926fcbf2ae8c383f452d92f70ae51b71ccd758058c6c7
P4_CORE_V1.3_SCOPE_TO_EXECUTION_ARCHITECTURE_MATRIX_v1.3.csv,3659,4b0252821953689db474be99d386365c537e9c0789ee3130737613793b3b4b80
P4_CROSS_LAYER_EXECUTION_ARCHITECTURE_MATRIX_v1.3.csv,13138,f6a3a4837cb5b057b4cdb66680b829d54953d07ce42fc6e8fd0c17b41744eb29
P4_M04_EXECUTION_ARCHITECTURE_v1.2.md,7349,02fbe1fd7677b2085df59e50e189fc36bb45ea73814416c3870aad53ea79cba5
P4_M09_EXECUTION_ARCHITECTURE_v1.2.md,9212,76a591a8298f7dead1b3da3d858e487e306bebd8ba7ec456bbd8e18441692185
P4_M10_EXECUTION_ARCHITECTURE_v1.2.md,8833,1689d011c186db923cd6b7276a4d67dee5fb24e34656a23824eba7dab99fa934
P4_MODULE_EXECUTION_SPECIFICATION_ARCHITECTURE_FULL_REBUILD_v1.3.docx,39816,2fac83024874b7505f10c7e6ef19c382283f13cbae32ea43026ffd9f91b390d8
README_P4_v1.2.md,264,373ca25cbfceddb42697ff91b91951da796984d7425c46a3ee66b225ae2326c3
P4_M01-M15_CHANGE_TO_EXECUTION_ARCHITECTURE_MATRIX_v1.3.csv,16082,7c7ef8a83c21a15ebeb6c92a4404e9e428583a216272c9d03b5d488e0a760ede
P4_M15_EXECUTION_ARCHITECTURE_v1.2.md,6705,deb3766de1b22ad991d6c40a4368e5ea94f166f1a26c18392fea49b34529851f
P4_MODULE_EXECUTION_SPECIFICATION_ARCHITECTURE_FULL_REBUILD_v1.3.md,6450,f90295e7d00da4dd27ec03b2b41a3312a36f062f0f827ffe0c55c9121b7ae367
P4_STATE_LIFECYCLE_EXECUTION_MATRIX_v1.3.csv,282,a72e8a79b2e96921401feb7448a0cd0ee145eaebe6bce02b6fd943cf859ad11c
P4_AUTHORITY_EXECUTION_BOUNDARY_MATRIX_v1.3.csv,1519,c76380c5a4056b4cfc9ce72e901f21fe8f0cdc1d2490c562ca22996381eef287
P4_M14_EXECUTION_ARCHITECTURE_v1.2.md,8045,d6da8d506963a969f8ac37afc6a90e74c121eaead96c8c5aa582f158890cb0c2
P4_M08_EXECUTION_ARCHITECTURE_v1.2.md,6474,f50f2b93b721ab156e4710ad3b21268ba2ece1483c4176a56c9c0ad67cb6a7ae
P4_DETAILED_WORK_PACKAGE_ARCHITECTURE_REGISTER_v1.3.csv,8512,2929ee51867acfa1e79999b4019d2ed1ea9eedca8fe010c8ac964ddc6581469e
P4_M13_EXECUTION_ARCHITECTURE_v1.2.md,8046,2730f1729ba57663f58ef76adf63ccdf2056b9121e36de35b82d5a2cc96ba020
P4_M11_EXECUTION_ARCHITECTURE_v1.2.md,7104,04619d19822ebe8dfb3f90b779e0fa60a220190a23cf30a5394097fe6d5d0179
P4_FINAL_SECOND_DEEP_SCAN_REPORT_v1.2.md,790,bb985a57c0302a1c9cd10247200ef332df8b096b6e6c912ff69bdd342f7be1eb
P4_CRITICAL_CROSS_DOMAIN_CONTRACT_MATRIX_v1.3.csv,328,1b4ec19d63142b750d77c4bbcde180554abcb7810733024c48cca1ae33cdaab4
P4_M12_EXECUTION_ARCHITECTURE_v1.2.md,6388,b158a731382a67a3bbcb40027cff728dcc0f5abf7b864c75c2be39593cc7deb7
P4_M07_EXECUTION_ARCHITECTURE_v1.2.md,6391,9da540ab97e43f627b68626dd419a2801f83df8e16af7e9381c6033844b515c4
P4_CORE_6.25_DETAILED_EXECUTION_DECOMPOSITION_TRACEABILITY_v1.3.csv,2083,60d3acaa553bceea66d6c8362d2e6c2a16039c52a758f49accde85a865ef9136
P4_M06_EXECUTION_ARCHITECTURE_v1.2.md,6939,e811681d4c253ee8bc02fa9ca1d1cbc9548781ba9dbfc213d66b86c2bc2baab7
README_P4_v1.3.md,1025,48685739b025f1402e532f9b747d7b052fe257539caf590e576fedeb6d6cf66d
P4_M02_EXECUTION_ARCHITECTURE_v1.2.md,6492,b1038bc8763f18e9cd71dd94fde6d34188380fe8545422449c93850b294bdd60
P4_CONTROLLED_CURRENT_FINDINGS_EXECUTION_ROUTING_v1.3.csv,9352,874513c9cb14b30e75f31d65993b5f3a21cf58da36f8038ab0562b500acdc643
P4_M05_EXECUTION_ARCHITECTURE_v1.2.md,6176,0a92a4c4220b054a8c357dec6a5269fa4109652988516905df9ca6138746070f
P4_DEPENDENCY_EXECUTION_ROUTING_MATRIX_v1.3.csv,4970,68885bbb1a5ca965f62101823586c43fb6cdb5f9f3dbaf06c588f706bcb75574
P4_M01_EXECUTION_ARCHITECTURE_v1.2.md,6517,5dc93a8c532c7de1f4678f4973c1ff4593a27189ba04320705504fb1cef4ff2e
P4_CONTROLLED_RESIDUAL_REGISTER_v1.3.csv,6272,57734c139396d236d07ac1f875ea549e813f752887ab4b0a1bc60aeee820d727
