artifact_id,core_path,layer,authority_owner,authority_source_artifact,authority_basis,authority_scope,core_section_heading,core_evidence_line,core_evidence_excerpt,resolution_status,step07_authority_classification,step07_resolution_note
CAM11-0001,00_CONTROL/RENAME_REGISTER_6.33.md,00_CONTROL,CORE CONTROL / GOVERNANCE,00_CONTROL/W4-02A.7_FINAL_DOCUMENT_FREEZE_AUTHORITY_VERIFICATION_v1.0.md,Freeze/control authority and source-pack control records,CORE CONTROL / GOVERNANCE,# 6.33 Filename Clarification Register,4,Clarify the semantic identity of the 6.33 artifact without changing its decision content or authority.,"RESOLVED — SOURCE POINTS TO AUTHORITY, NOT MAPPED ARTIFACT",CORE CONTROL / GOVERNANCE,Core contract/control/physical authority remains layer-specific; module semantic authority is not transferred by Core detail density.
CAM11-0002,00_CONTROL/SHA256_MANIFEST_CORE_FINAL_v1.3.csv,00_CONTROL,CORE CONTROL / GOVERNANCE,00_CONTROL/W4-02A.7_FINAL_DOCUMENT_FREEZE_AUTHORITY_VERIFICATION_v1.0.md,Freeze/control authority and source-pack control records,CORE CONTROL / GOVERNANCE,NO_HEADING_DETECTED,1,"path,size_bytes,sha256","RESOLVED — SOURCE POINTS TO AUTHORITY, NOT MAPPED ARTIFACT",CORE CONTROL / GOVERNANCE,Core contract/control/physical authority remains layer-specific; module semantic authority is not transferred by Core detail density.
CAM11-0003,00_CONTROL/SOURCE_INDEX_v1.3.csv,00_CONTROL,CORE CONTROL / GOVERNANCE,00_CONTROL/W4-02A.7_FINAL_DOCUMENT_FREEZE_AUTHORITY_VERIFICATION_v1.0.md,Freeze/control authority and source-pack control records,CORE CONTROL / GOVERNANCE,NO_HEADING_DETECTED,1,"ID,Layer,Path,Authority_Class,Purpose,Current_Status","RESOLVED — SOURCE POINTS TO AUTHORITY, NOT MAPPED ARTIFACT",CORE CONTROL / GOVERNANCE,Core contract/control/physical authority remains layer-specific; module semantic authority is not transferred by Core detail density.
CAM11-0004,00_CONTROL/SOURCE_INDEX_v1.3.md,00_CONTROL,CORE CONTROL / GOVERNANCE,00_CONTROL/W4-02A.7_FINAL_DOCUMENT_FREEZE_AUTHORITY_VERIFICATION_v1.0.md,Freeze/control authority and source-pack control records,CORE CONTROL / GOVERNANCE,# Source Index — Core Final v1.3,3,This index describes the static contents of the Core Final Source Pack.,"RESOLVED — SOURCE POINTS TO AUTHORITY, NOT MAPPED ARTIFACT",CORE CONTROL / GOVERNANCE,Core contract/control/physical authority remains layer-specific; module semantic authority is not transferred by Core detail density.
CAM11-0005,00_CONTROL/W4-02A.6.0_CORE_ARTIFACT_INVENTORY_AND_ORDERING_LOCK_v1.1_BASE_TRACK_37_STEPS.docx,00_CONTROL,CORE CONTROL / GOVERNANCE,00_CONTROL/W4-02A.7_FINAL_DOCUMENT_FREEZE_AUTHORITY_VERIFICATION_v1.0.md,Freeze/control authority and source-pack control records,CORE CONTROL / GOVERNANCE,NO_HEADING_DETECTED,1,RUMAHAGEN — W4-02A.6.0,"RESOLVED — SOURCE POINTS TO AUTHORITY, NOT MAPPED ARTIFACT",CORE CONTROL / GOVERNANCE,Core contract/control/physical authority remains layer-specific; module semantic authority is not transferred by Core detail density.
CAM11-0006,00_CONTROL/W4-02A.7_FINAL_DOCUMENT_FREEZE_AUTHORITY_VERIFICATION_v1.0.md,00_CONTROL,CORE CONTROL / GOVERNANCE,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,Governance decision authority establishes the freeze and control boundary verified by this control artifact.,CORE CONTROL / GOVERNANCE,# RUMAHAGEN — W4-02A.7 FINAL DOCUMENT FREEZE / AUTHORITY VERIFICATION,3,**Version:** v1.0 FINAL,"RESOLVED — SOURCE POINTS TO AUTHORITY, NOT MAPPED ARTIFACT",CORE CONTROL / GOVERNANCE,Core contract/control/physical authority remains layer-specific; module semantic authority is not transferred by Core detail density.
CAM11-0007,00_CONTROL/W4-02A.7_RECURSIVE_SOURCE_AUDIT_REGISTER_v1.0.csv,00_CONTROL,CORE CONTROL / GOVERNANCE,00_CONTROL/W4-02A.7_FINAL_DOCUMENT_FREEZE_AUTHORITY_VERIFICATION_v1.0.md,Freeze/control authority and source-pack control records,CORE CONTROL / GOVERNANCE,NO_HEADING_DETECTED,1,"﻿root_archive,depth,archive_path,extension,bytes,sha256,content_parsed,mentions_W4_02A_7,mentions_W4_03,mentions_W4_01E,mentions_W4_02","RESOLVED — SOURCE POINTS TO AUTHORITY, NOT MAPPED ARTIFACT",CORE CONTROL / GOVERNANCE,Core contract/control/physical authority remains layer-specific; module semantic authority is not transferred by Core detail density.
CAM11-0008,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,01_GOVERNANCE,CORE GOVERNANCE,00_CONTROL/W4-02A.7_FINAL_DOCUMENT_FREEZE_AUTHORITY_VERIFICATION_v1.0.md,Final freeze/governance authority verification,CORE GOVERNANCE,NO_HEADING_DETECTED,1,RUMAHAGEN — W4-02A.1,"RESOLVED — SOURCE POINTS TO AUTHORITY, NOT MAPPED ARTIFACT",CORE GOVERNANCE,Core contract/control/physical authority remains layer-specific; module semantic authority is not transferred by Core detail density.
CAM11-0009,01_GOVERNANCE/W4-02A.6.2_GOVERNANCE_REGISTER_FULL_CONSOLIDATED_v1.16.docx,01_GOVERNANCE,CORE GOVERNANCE,00_CONTROL/W4-02A.7_FINAL_DOCUMENT_FREEZE_AUTHORITY_VERIFICATION_v1.0.md,Final freeze/governance authority verification,CORE GOVERNANCE,NO_HEADING_DETECTED,1,RUMAHAGEN — DOCUMENT GOVERNANCE BASELINE REGISTER,"RESOLVED — SOURCE POINTS TO AUTHORITY, NOT MAPPED ARTIFACT",CORE GOVERNANCE,Core contract/control/physical authority remains layer-specific; module semantic authority is not transferred by Core detail density.
CAM11-0010,03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,03_BUSINESS_RULES,CROSS-DOMAIN BUSINESS RULES; MODULE AUTHORITIES GOVERN DOMAIN-SPECIFIC RULES,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,Governance authority plus module-specific semantic authorities,CROSS-DOMAIN BUSINESS RULES; MODULE AUTHORITIES GOVERN DOMAIN-SPECIFIC RULES,NO_HEADING_DETECTED,1,STEP AKTIF = W4-02A.6.10 — BUSINESS RULES BASELINE / TRACEABILITY,"RESOLVED — SOURCE POINTS TO AUTHORITY, NOT MAPPED ARTIFACT",CROSS-DOMAIN BUSINESS RULES; MODULE AUTHORITIES GOVERN DOMAIN-SPECIFIC RULES,Core contract/control/physical authority remains layer-specific; module semantic authority is not transferred by Core detail density.
