module,source_scope,finding,classification,p3_work_package,core_package,handling
M01,M01 Core Impact,OTP-successful Agent activation must not retain a default Pending Review/approval gate.,RECONCILE,M01-WP02,IP-01,Plan canonical activation path; physical/runtime remains downstream.
M01,M01 Core Impact,Verification Document Create/View/Review scopes must remain distinct and non-public.,PRESERVE,M01-WP03,IP-01,Carry into authorization/privacy planning.
M01,M01 Core Impact,"KTP is an eligibility/requirement condition, not an RBAC permission.",PRESERVE,M01-WP02,IP-01,Explicit negative authority rule.
M01,M01 Core Impact,ISI NANTI → KTP DEFERRED/NOT_PROVIDED → ACCOUNT ACTIVE → HOME path must be represented if absent.,AUGMENT,M01-WP02,IP-01,Planning obligation; no Core mutation.
M02,M02 Core Impact,"Profile PUBLIC/PRIVATE must be a visibility state, not an RBAC scope.",RECONCILE,M02-WP03,IP-02,Plan visibility/authorization separation.
M02,M02 Core Impact,Public/WhatsApp CTA requires explicit Agent opt-in.,AUGMENT,M02-WP01,IP-02,Carry into profile behavior and discovery planning.
M02,M02 Core Impact,Only Superadmin may administratively override another Agent profile visibility/Public CTA.,PRESERVE,M02-WP04,IP-02,Authorization planning; exact IDs remain evidence-gated.
M02,M02 Core Impact,Reviews auto-approve for publication; Admin moderation is post-publication.,RECONCILE,M02-WP02,IP-02,Remove approval-gate interpretation from planning.
M03,M03 Core Impact,Normal Publish must not use a Pending Review gate or Admin approval gate.,RECONCILE,M03-WP01,IP-04,Direct Publish semantics.
M03,M03 Core Impact,"Suspended is enforcement/ethics state, separate from publication approval.",PRESERVE,M03-WP01,IP-04,Keep lifecycle states distinct.
M03,M03 Core Impact,Sold/Rented excluded from public Search while retained in historical Agent-profile counts.,AUGMENT,M03-WP01,IP-04/IP-13,Plan discovery filter and historical-count projection.
M03,M03 Core Impact,Ordinary Listing Update is owner-only; Organization membership does not create edit authority.,PRESERVE,M03-WP02,IP-04/IP-02,Negative authorization planning.
M03,M03 Core Impact,"Address, Property Type, Land Size, Building Size lock after first successful Publish.",AUGMENT,M03-WP02,IP-04,Plan field-lock state.
M03,M03 Core Impact,Refresh default is 5 successful Refreshes per Agent per operational day; value must remain configurable.,AUGMENT,M03-WP03,IP-04/IP-07,M14 owns allowance/config; do not hardcode in M03.
M03,M03 Core Impact,No carry-forward; Asia/Jakarta operational-day reset; one successful Refresh per Listing/day.,AUGMENT,M03-WP03,IP-04/IP-07,Explicit temporal invariants.
M03,M03 Core Impact,Refresh remains within existing District; ordering latest successful first; timestamp tie first-recorded; server authoritative.,AUGMENT,M03-WP03,IP-04,Plan deterministic Refresh semantics.
M03,M03 Core Impact,Search cards use optimized derivatives; preserve aspect ratio; no original-resolution ordinary-card delivery.,AUGMENT,M03-WP01,IP-04/IP-13,Plan media derivative/display behavior.
M04,M04 Core Impact,Partnership Learning Result physical realization is downstream controlled.,CONTROLLED,M04-WP04,IP-06,Record as downstream physical/API/RLS residual.
M04,M04 Core Impact,Learning Reconciliation physical authorization mapping remains downstream.,CONTROLLED,M04-WP03,IP-06/IP-01,Do not invent permission IDs.
M04,M04 Core Impact,Complete physical permission catalogue/seed mapping and RLS mapping remain downstream.,CONTROLLED,M04-WP03,IP-01,Evidence-gated.
M05,M05 current baseline,Event Registration must remain distinct from Session Enrollment; waitlist/late-registration/cancellation/attendance rules remain explicit.,PRESERVE,M05-WP02,IP-05/IP-08,Plan state/interaction boundary.
M05,M05 current baseline,Provider-specific configuration and universal iframe behavior remain controlled/provider-dependent; no invented universal iframe field.,CONTROLLED,M05-WP04,IP-05/IP-08,Plan provider adapter boundary.
M06,M06 Core Impact,Developer company_logo and free-text “Tentang Developer” description are semantic source requirements.,AUGMENT,M06-WP01,IP-03,Plan Core contract propagation; no physical mutation in P3.
M06,M06 Core Impact,Project keeps meta_title/meta_description; do not introduce Project description as substitute.,PRESERVE,M06-WP01,IP-03,Keep canonical source fields.
