finding_id,module,execution_wp,execution_batch,wp_exists,duplicate_finding,core_preserved,core_modified,p9_engineering_treatment,p11_context_required,runtime_status,documentary_evidence_status,p12_evidence_disposition,p12_stage_evidence,physical_runtime_gate,implementation_blocker_from_absence_of_physical_runtime,P14ManifestStatus
M01-CI-001,M01,M01-P4-WP01,B01,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,YES,N-A CURRENT P12_RECONCILIATION_EVIDENCE STAGE; CARRIED AS FUTURE VERIFICATION STATE,SUPPORTED,PRESERVE / RECONCILE,DOCUMENTARY/DESIGN,N-A / OUT OF SCOPE,NO,PRESERVED_FROM_P12
M01-CI-002,M01,M01-P4-WP01,B01,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,YES,N-A CURRENT P12_RECONCILIATION_EVIDENCE STAGE; CARRIED AS FUTURE VERIFICATION STATE,SUPPORTED,PRESERVE / RECONCILE,DOCUMENTARY/DESIGN,N-A / OUT OF SCOPE,NO,PRESERVED_FROM_P12
M01-CI-003,M01,M01-P4-WP02,B01,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,YES,N-A CURRENT P12_RECONCILIATION_EVIDENCE STAGE; CARRIED AS FUTURE VERIFICATION STATE,SUPPORTED,PRESERVE / RECONCILE,DOCUMENTARY/DESIGN,N-A / OUT OF SCOPE,NO,PRESERVED_FROM_P12
M01-CI-004,M01,M01-P4-WP02,B01,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,YES,N-A CURRENT P12_RECONCILIATION_EVIDENCE STAGE; CARRIED AS FUTURE VERIFICATION STATE,SUPPORTED,PRESERVE / RECONCILE,DOCUMENTARY/DESIGN,N-A / OUT OF SCOPE,NO,PRESERVED_FROM_P12
M01-CI-005,M01,M01-P4-WP02,B01,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,YES,N-A CURRENT P12_RECONCILIATION_EVIDENCE STAGE; CARRIED AS FUTURE VERIFICATION STATE,SUPPORTED,PRESERVE / RECONCILE,DOCUMENTARY/DESIGN,N-A / OUT OF SCOPE,NO,PRESERVED_FROM_P12
M01-CI-006,M01,M01-P4-WP02,B01,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,YES,N-A CURRENT P12_RECONCILIATION_EVIDENCE STAGE; CARRIED AS FUTURE VERIFICATION STATE,SUPPORTED,PRESERVE / RECONCILE,DOCUMENTARY/DESIGN,N-A / OUT OF SCOPE,NO,PRESERVED_FROM_P12
M01-CI-007,M01,M01-P4-WP02,B01,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,YES,N-A CURRENT P12_RECONCILIATION_EVIDENCE STAGE; CARRIED AS FUTURE VERIFICATION STATE,SUPPORTED,PRESERVE / RECONCILE,DOCUMENTARY/DESIGN,N-A / OUT OF SCOPE,NO,PRESERVED_FROM_P12
M01-CI-008,M01,M01-P4-WP02,B01,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,YES,N-A CURRENT P12_RECONCILIATION_EVIDENCE STAGE; CARRIED AS FUTURE VERIFICATION STATE,SUPPORTED,PRESERVE / RECONCILE,DOCUMENTARY/DESIGN,N-A / OUT OF SCOPE,NO,PRESERVED_FROM_P12
M01-CI-009,M01,M01-P4-WP02,B01,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,YES,N-A CURRENT P12_RECONCILIATION_EVIDENCE STAGE; CARRIED AS FUTURE VERIFICATION STATE,SUPPORTED,PRESERVE / RECONCILE,DOCUMENTARY/DESIGN,N-A / OUT OF SCOPE,NO,PRESERVED_FROM_P12
M01-CI-010,M01,M01-P4-WP04,B01,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,YES,N-A CURRENT P12_RECONCILIATION_EVIDENCE STAGE; CARRIED AS FUTURE VERIFICATION STATE,SUPPORTED,PRESERVE / RECONCILE,DOCUMENTARY/DESIGN,N-A / OUT OF SCOPE,NO,PRESERVED_FROM_P12
