sync_id,module,finding_id,recon_semantic_detail_finding,module_authority_artifact,module_scope,linkage_status,step03_relationship_id,core_artifact_id,core_artifact,core_section_heading,authority_owner,authority_source_artifact,authority_basis,authority_scope,core_evidence_line,core_evidence_excerpt,dependency,dependency_statement,proposed_synchronization_action,classification,step04_sync_target_historical,classification_basis_historical,status_historical,candidate_count,linkage_basis,historical_core_artifact_id,historical_core_section_heading
STEP04-0001,M01,M01-CI-001,User / Identity View-Update,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,FULL semantic rebuild; current M01 identity/authentication authority,DETERMINISTIC_EXPLICIT_FINDING_RELATIONSHIP,SR-F-0001,CAM11-0034,14_FUNCTIONAL/W4-02A.6.18_FUNCTIONAL_SPECIFICATION_CURRENT_FUNCTIONAL_IMPLEMENTATION_CONTRACT_v2.1.md,# 6. MODULE 1 — REGISTRATION & AUTHENTICATION,CORE FUNCTIONAL CONTRACT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,Functional contract under Core governance,FULL semantic rebuild; current M01 identity/authentication authority,344.0,→ enter identity/contact → verify OTP → create account → upload required verification documents,M02/M10/M12/M14/M15 as governed dependencies,,Preserve existing Core semantic/detail contract; retain provenance.,PRESERVE,STEP04 → README_CURRENT_BASELINE synchronization target,Normalized M01 impact classification: MATCH,CLASSIFIED,1,Exact finding-level relationship created in STEP03 v1.3 from current module authority + exact Core artifact + exact section/evidence anchor.,CAM11-0076,# RUMAHAGEN — WIREFRAME CORE FINAL SOURCE PACK v1.1
STEP04-0002,M01,M01-CI-002,OTP / authentication lifecycle,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,FULL semantic rebuild; current M01 identity/authentication authority,DETERMINISTIC_EXPLICIT_FINDING_RELATIONSHIP,SR-F-0002,CAM11-0034,14_FUNCTIONAL/W4-02A.6.18_FUNCTIONAL_SPECIFICATION_CURRENT_FUNCTIONAL_IMPLEMENTATION_CONTRACT_v2.1.md,# 6. MODULE 1 — REGISTRATION & AUTHENTICATION,CORE FUNCTIONAL CONTRACT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,Functional contract under Core governance,FULL semantic rebuild; current M01 identity/authentication authority,345.0,→ verify OTP,M02/M10/M12/M14/M15 as governed dependencies,,Preserve existing Core semantic/detail contract; retain provenance.,PRESERVE,STEP04 → README_CURRENT_BASELINE synchronization target,Normalized M01 impact classification: MATCH,CLASSIFIED,1,Exact finding-level relationship created in STEP03 v1.3 from current module authority + exact Core artifact + exact section/evidence anchor.,CAM11-0076,# RUMAHAGEN — WIREFRAME CORE FINAL SOURCE PACK v1.1
STEP04-0003,M01,M01-CI-003,Verification Document Create,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,FULL semantic rebuild; current M01 identity/authentication authority,DETERMINISTIC_EXPLICIT_FINDING_RELATIONSHIP,SR-F-0003,CAM11-0034,14_FUNCTIONAL/W4-02A.6.18_FUNCTIONAL_SPECIFICATION_CURRENT_FUNCTIONAL_IMPLEMENTATION_CONTRACT_v2.1.md,# 6. MODULE 1 — REGISTRATION & AUTHENTICATION,CORE FUNCTIONAL CONTRACT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,Functional contract under Core governance,FULL semantic rebuild; current M01 identity/authentication authority,347.0,→ upload required verification documents,M02/M10/M12/M14/M15 as governed dependencies,,Preserve existing Core semantic/detail contract; retain provenance.,PRESERVE,STEP04 → README_CURRENT_BASELINE synchronization target,Normalized M01 impact classification: MATCH,CLASSIFIED,1,Exact finding-level relationship created in STEP03 v1.3 from current module authority + exact Core artifact + exact section/evidence anchor.,CAM11-0076,# RUMAHAGEN — WIREFRAME CORE FINAL SOURCE PACK v1.1
STEP04-0004,M01,M01-CI-004,Verification Document View,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,FULL semantic rebuild; current M01 identity/authentication authority,DETERMINISTIC_CROSSWALK_VALIDATED,SR-0723,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,# RUMAHAGEN — W4-02A.6.30,CORE ENGINEERING ALIGNMENT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,Engineering alignment is controlled by Core governance,FULL semantic rebuild; current M01 identity/authentication authority,4.0,**Version:** 2.1,M02/M10/M12/M14/M15 as governed dependencies,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,Preserve existing Core semantic/detail contract; retain provenance.,PRESERVE,STEP04 → 26_ENGINEERING_ALIGNMENT synchronization target,Normalized M01 impact classification: MATCH,CLASSIFIED,1,Exact deterministic join on module + prior candidate Core artifact + prior Core section. Current Core/evidence/authority/dependency fields are sourced from the matched STEP03 v1.2 relationship. STEP04 v1.0 is provenance only; no keyword/layer fallback.,CAM11-0066,# RUMAHAGEN — W4-02A.6.30
STEP04-0005,M01,M01-CI-005,Verification Document Review,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,FULL semantic rebuild; current M01 identity/authentication authority,DETERMINISTIC_CROSSWALK_VALIDATED,SR-0723,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,# RUMAHAGEN — W4-02A.6.30,CORE ENGINEERING ALIGNMENT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,Engineering alignment is controlled by Core governance,FULL semantic rebuild; current M01 identity/authentication authority,4.0,**Version:** 2.1,M02/M10/M12/M14/M15 as governed dependencies,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,Preserve existing Core semantic/detail contract; retain provenance.,PRESERVE,STEP04 → 26_ENGINEERING_ALIGNMENT synchronization target,Normalized M01 impact classification: MATCH,CLASSIFIED,1,Exact deterministic join on module + prior candidate Core artifact + prior Core section. Current Core/evidence/authority/dependency fields are sourced from the matched STEP03 v1.2 relationship. STEP04 v1.0 is provenance only; no keyword/layer fallback.,CAM11-0066,# RUMAHAGEN — W4-02A.6.30
STEP04-0006,M01,M01-CI-006,Agent auto-activation,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,FULL semantic rebuild; current M01 identity/authentication authority,DETERMINISTIC_CROSSWALK_VALIDATED,SR-0415,14_FUNCTIONAL/W4-02A.6.18_FUNCTIONAL_SPECIFICATION_CURRENT_FUNCTIONAL_IMPLEMENTATION_CONTRACT_v2.1.md,14_FUNCTIONAL/W4-02A.6.18_FUNCTIONAL_SPECIFICATION_CURRENT_FUNCTIONAL_IMPLEMENTATION_CONTRACT_v2.1.md,# RUMAHAGEN — FUNCTIONAL SPECIFICATION,CORE FUNCTIONAL CONTRACT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,Functional contract under Core governance,FULL semantic rebuild; current M01 identity/authentication authority,4.0,**Version:** 2.1 — W4-02A.6.18,M02/M10/M12/M14/M15 as governed dependencies,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,Preserve existing Core semantic/detail contract; retain provenance.,PRESERVE,STEP04 → 14_FUNCTIONAL synchronization target,Normalized M01 impact classification: MATCH,CLASSIFIED,1,Exact deterministic join on module + prior candidate Core artifact + prior Core section. Current Core/evidence/authority/dependency fields are sourced from the matched STEP03 v1.2 relationship. STEP04 v1.0 is provenance only; no keyword/layer fallback.,CAM11-0034,# RUMAHAGEN — FUNCTIONAL SPECIFICATION
STEP04-0007,M01,M01-CI-007,Conditional KTP eligibility,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,FULL semantic rebuild; current M01 identity/authentication authority,DETERMINISTIC_CROSSWALK_VALIDATED,SR-0723,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,# RUMAHAGEN — W4-02A.6.30,CORE ENGINEERING ALIGNMENT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,Engineering alignment is controlled by Core governance,FULL semantic rebuild; current M01 identity/authentication authority,4.0,**Version:** 2.1,M02/M10/M12/M14/M15 as governed dependencies,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,Carry validated module detail into the applicable Core contract without deleting valid Core detail.,AUGMENT,STEP04 → 26_ENGINEERING_ALIGNMENT synchronization target,Normalized M01 impact classification: UPDATE REQUIRED,CLASSIFIED,1,Exact deterministic join on module + prior candidate Core artifact + prior Core section. Current Core/evidence/authority/dependency fields are sourced from the matched STEP03 v1.2 relationship. STEP04 v1.0 is provenance only; no keyword/layer fallback.,CAM11-0066,# RUMAHAGEN — W4-02A.6.30
STEP04-0008,M01,M01-CI-008,KTP DEFERRED / ISI NANTI,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,FULL semantic rebuild; current M01 identity/authentication authority,DETERMINISTIC_CROSSWALK_VALIDATED,SR-0498,20_MODULE_PLANNING/W4-02A.6.24_REVISED_MODULE_PLANNING_CURRENT_MODULE_DELIVERY_PLANNING_v2.1.md,20_MODULE_PLANNING/W4-02A.6.24_REVISED_MODULE_PLANNING_CURRENT_MODULE_DELIVERY_PLANNING_v2.1.md,# RUMAHAGEN — REVISED MODULE PLANNING,CORE MODULE PLANNING AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,Current module delivery planning contract,FULL semantic rebuild; current M01 identity/authentication authority,4.0,**Version:** 2.1 — W4-02A.6.24,M02/M10/M12/M14/M15 as governed dependencies,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,Preserve existing Core semantic/detail contract; retain provenance.,PRESERVE,STEP04 → 20_MODULE_PLANNING synchronization target,Normalized M01 impact classification: MATCH,CLASSIFIED,1,Exact deterministic join on module + prior candidate Core artifact + prior Core section. Current Core/evidence/authority/dependency fields are sourced from the matched STEP03 v1.2 relationship. STEP04 v1.0 is provenance only; no keyword/layer fallback.,CAM11-0040,# RUMAHAGEN — REVISED MODULE PLANNING
STEP04-0010,M01,M01-CI-010,Identity → authorization M10,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,FULL semantic rebuild; current M01 identity/authentication authority,DETERMINISTIC_CROSSWALK_VALIDATED,SR-0723,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,# RUMAHAGEN — W4-02A.6.30,CORE ENGINEERING ALIGNMENT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,Engineering alignment is controlled by Core governance,FULL semantic rebuild; current M01 identity/authentication authority,4.0,**Version:** 2.1,M02/M10/M12/M14/M15 as governed dependencies,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,Preserve existing Core semantic/detail contract; retain provenance.,PRESERVE,STEP04 → 26_ENGINEERING_ALIGNMENT synchronization target,Normalized M01 impact classification: MATCH,CLASSIFIED,1,Exact deterministic join on module + prior candidate Core artifact + prior Core section. Current Core/evidence/authority/dependency fields are sourced from the matched STEP03 v1.2 relationship. STEP04 v1.0 is provenance only; no keyword/layer fallback.,CAM11-0066,# RUMAHAGEN — W4-02A.6.30
STEP04-0011,M01,M01-CI-011,Identity dependencies M02/M03/M06,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,FULL semantic rebuild; current M01 identity/authentication authority,DETERMINISTIC_CROSSWALK_VALIDATED,SR-0723,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,# RUMAHAGEN — W4-02A.6.30,CORE ENGINEERING ALIGNMENT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,Engineering alignment is controlled by Core governance,FULL semantic rebuild; current M01 identity/authentication authority,4.0,**Version:** 2.1,M02/M10/M12/M14/M15 as governed dependencies,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,Preserve existing Core semantic/detail contract; retain provenance.,PRESERVE,STEP04 → 26_ENGINEERING_ALIGNMENT synchronization target,Normalized M01 impact classification: MATCH,CLASSIFIED,1,Exact deterministic join on module + prior candidate Core artifact + prior Core section. Current Core/evidence/authority/dependency fields are sourced from the matched STEP03 v1.2 relationship. STEP04 v1.0 is provenance only; no keyword/layer fallback.,CAM11-0066,# RUMAHAGEN — W4-02A.6.30
