artifact_id,core_path,layer,artifact_level,authority_owner,baseline_size_bytes,baseline_sha256,observed_size_bytes,observed_sha256,baseline_match,core_detail_status,special_control,semantic_atom_count
CAM11-0001,00_CONTROL/RENAME_REGISTER_6.33.md,00_CONTROL,CORE_SOURCE_PACK_MEMBER,CORE CONTROL / GOVERNANCE,645,17ff728177e5ea174227267c4e0ff452d556bd598669f6502b803a62b96a646c,645,17ff728177e5ea174227267c4e0ff452d556bd598669f6502b803a62b96a646c,YES,RETAINED_IMMUTABLE,,15
CAM11-0002,00_CONTROL/SHA256_MANIFEST_CORE_FINAL_v1.3.csv,00_CONTROL,CORE_SOURCE_PACK_MEMBER,CORE CONTROL / GOVERNANCE,7054,8a197083cd0ec7e79bb6269ab8199d215d4a83716fb28b1081b26d8006e96c5e,7054,8a197083cd0ec7e79bb6269ab8199d215d4a83716fb28b1081b26d8006e96c5e,YES,RETAINED_IMMUTABLE,SELF_REFERENTIAL_MANIFEST_CONTROLLED_EXCLUSION_FROM_SELF-HASH; FILE ITSELF INCLUDED IN 76/76 PRESERVATION INVENTORY,48
CAM11-0003,00_CONTROL/SOURCE_INDEX_v1.3.csv,00_CONTROL,CORE_SOURCE_PACK_MEMBER,CORE CONTROL / GOVERNANCE,7285,c7d0d912ad37ed28754d02b452ccf5e717645764004c16fb48e77628bec0f111,7285,c7d0d912ad37ed28754d02b452ccf5e717645764004c16fb48e77628bec0f111,YES,RETAINED_IMMUTABLE,,46
CAM11-0004,00_CONTROL/SOURCE_INDEX_v1.3.md,00_CONTROL,CORE_SOURCE_PACK_MEMBER,CORE CONTROL / GOVERNANCE,8161,7dc272fc4716760a1fec381734136d2e47d2b97e66957d15c9b1225e91eb6329,8161,7dc272fc4716760a1fec381734136d2e47d2b97e66957d15c9b1225e91eb6329,YES,RETAINED_IMMUTABLE,,51
CAM11-0005,00_CONTROL/W4-02A.6.0_CORE_ARTIFACT_INVENTORY_AND_ORDERING_LOCK_v1.1_BASE_TRACK_37_STEPS.docx,00_CONTROL,CORE_SOURCE_PACK_MEMBER,CORE CONTROL / GOVERNANCE,41256,4d76cde4437c52e9c1752d99888095253eb748bc25bc8138fc4ae06701da5aec,41256,4d76cde4437c52e9c1752d99888095253eb748bc25bc8138fc4ae06701da5aec,YES,RETAINED_IMMUTABLE,,115
CAM11-0006,00_CONTROL/W4-02A.7_FINAL_DOCUMENT_FREEZE_AUTHORITY_VERIFICATION_v1.0.md,00_CONTROL,CORE_SOURCE_PACK_MEMBER,CORE CONTROL / GOVERNANCE,11519,12847c5b3609b6ba0f67ce54e7e48627e9d24f7293a9c7bfbb59c75ff5243f32,11519,12847c5b3609b6ba0f67ce54e7e48627e9d24f7293a9c7bfbb59c75ff5243f32,YES,RETAINED_IMMUTABLE,,193
CAM11-0007,00_CONTROL/W4-02A.7_RECURSIVE_SOURCE_AUDIT_REGISTER_v1.0.csv,00_CONTROL,CORE_SOURCE_PACK_MEMBER,CORE CONTROL / GOVERNANCE,208747,0144e3114a170252011dc57f391f31155248c10543ef8e3e3aeece81cd85ff7f,208747,0144e3114a170252011dc57f391f31155248c10543ef8e3e3aeece81cd85ff7f,YES,RETAINED_IMMUTABLE,,900
CAM11-0008,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,01_GOVERNANCE,CORE_SOURCE_PACK_MEMBER,CORE GOVERNANCE,41616,cbcbca4b502c429c6b5b6c59c4c67165570619a503c7d5b59d6c1940905368a8,41616,cbcbca4b502c429c6b5b6c59c4c67165570619a503c7d5b59d6c1940905368a8,YES,RETAINED_IMMUTABLE,,118
CAM11-0009,01_GOVERNANCE/W4-02A.6.2_GOVERNANCE_REGISTER_FULL_CONSOLIDATED_v1.16.docx,01_GOVERNANCE,CORE_SOURCE_PACK_MEMBER,CORE GOVERNANCE,44768,1840df18fb6c512879033d1c5e27c543752a1d59a800f6348f0455430c2bd86c,44768,1840df18fb6c512879033d1c5e27c543752a1d59a800f6348f0455430c2bd86c,YES,RETAINED_IMMUTABLE,,235
CAM11-0010,03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,03_BUSINESS_RULES,CORE_SOURCE_PACK_MEMBER,CROSS-DOMAIN BUSINESS RULES; MODULE AUTHORITIES GOVERN DOMAIN-SPECIFIC RULES,51338,f1bd00843508c4bdc16794b1509690e5c6ec6c12c49611587382a932a87e8ebc,51338,f1bd00843508c4bdc16794b1509690e5c6ec6c12c49611587382a932a87e8ebc,YES,RETAINED_IMMUTABLE,,381
CAM11-0011,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,04_ARCHITECTURE,CORE_SOURCE_PACK_MEMBER,CORE ARCHITECTURE,93386,c1aa07968bb5bdfc9f9600dc48da804f65574f49da672282237ec90c4cc94884,93386,c1aa07968bb5bdfc9f9600dc48da804f65574f49da672282237ec90c4cc94884,YES,RETAINED_IMMUTABLE,,1294
CAM11-0012,05_TECHNICAL_DECISIONS/W4-02A.6.6_TECHNICAL_DECISIONS_FULL_CONSOLIDATED_v1.6.docx,05_TECHNICAL_DECISIONS,CORE_SOURCE_PACK_MEMBER,CORE TECHNICAL DECISION AUTHORITY,47059,2ddccdf939a59149b9404ad14c0dbfda1149fb31d23ba77e1b27c24bf05101fa,47059,2ddccdf939a59149b9404ad14c0dbfda1149fb31d23ba77e1b27c24bf05101fa,YES,RETAINED_IMMUTABLE,,410
CAM11-0013,06_DEPENDENCY_MANIFEST/W4-02A.6.7_DEPENDENCY_MANIFEST_FULL_CONSOLIDATED_v1.9.docx,06_DEPENDENCY_MANIFEST,CORE_SOURCE_PACK_MEMBER,CORE DEPENDENCY AUTHORITY,48323,66a12120b244cf487b41584b1bfdd3e81cddbc8b82f9c2ee12779e72d423c693,48323,66a12120b244cf487b41584b1bfdd3e81cddbc8b82f9c2ee12779e72d423c693,YES,RETAINED_IMMUTABLE,,414
CAM11-0014,07_PRD/W4-02A.6.11_PRD_CURRENT_PRODUCT_REQUIREMENTS_FULL_CONSOLIDATED_v2.1.docx,07_PRD,CORE_SOURCE_PACK_MEMBER,CORE PRODUCT REQUIREMENTS AUTHORITY,48108,c2a7b6e4a77a08621a16048cba2f0f8641a3d073bc71dc4e4854634aa788aa34,48108,c2a7b6e4a77a08621a16048cba2f0f8641a3d073bc71dc4e4854634aa788aa34,YES,RETAINED_IMMUTABLE,,355
CAM11-0015,08_USER_FLOW/W4-02A.6.12_USER_FLOW_CURRENT_CROSS_DOMAIN_INTERACTION_FLOW_FULL_CONSOLIDATED_v2.1.docx,08_USER_FLOW,CORE_SOURCE_PACK_MEMBER,CORE USER-FLOW AUTHORITY,51562,bc5e3f9af3842e727f34d2ef0c4f3b91cc52c911645698696b92b0745bbbd4de,51562,bc5e3f9af3842e727f34d2ef0c4f3b91cc52c911645698696b92b0745bbbd4de,YES,RETAINED_IMMUTABLE,,466
CAM11-0016,09_ERD/W4-02A.6.13_ERD_CURRENT_LOGICAL_DATA_MODEL_FULL_CONSOLIDATED_v2.1.docx,09_ERD,CORE_SOURCE_PACK_MEMBER,CORE LOGICAL DATA MODEL AUTHORITY,62303,5a5ba139cff31fbd297cac3871a3b250f13b94dabcb15b49d89af86ca785cb88,62303,5a5ba139cff31fbd297cac3871a3b250f13b94dabcb15b49d89af86ca785cb88,YES,RETAINED_IMMUTABLE,,1646
CAM11-0017,10_DATABASE_DICTIONARY/W4-02A.6.14_DATABASE_DICTIONARY_CURRENT_LOGICAL_TO_PHYSICAL_DATA_MEANING_FULL_CONSOLIDATED_v2.2.docx,10_DATABASE_DICTIONARY,CORE_SOURCE_PACK_MEMBER,CORE DATA-MEANING AUTHORITY,78665,8abcb2ca2e275288c83add193936a2763c9e3c9c75ba38088289a18080956219,78665,8abcb2ca2e275288c83add193936a2763c9e3c9c75ba38088289a18080956219,YES,RETAINED_IMMUTABLE,,1420
CAM11-0018,11_DATABASE_SCHEMA/RUMAHAGEN_FULL_DATABASE_SCHEMA_SOURCE_ONLY_PACKAGE_v1.0.zip,11_DATABASE_SCHEMA,CORE_SOURCE_PACK_MEMBER,W4-01E / W4-02 PHYSICAL AUTHORITY,20762,fa720ebe06c1070155e2ddddba6215f8c764b55ac67af2123aa75831b7f84784,20762,fa720ebe06c1070155e2ddddba6215f8c764b55ac67af2123aa75831b7f84784,YES,RETAINED_IMMUTABLE,,515
CAM11-0019,11_DATABASE_SCHEMA/RUMAHAGEN_FULL_DATABASE_SCHEMA_SOURCE_ONLY_PACKAGE_v1.0_EXTRACTED/RUMAHAGEN_FULL_DATABASE_SCHEMA_SOURCE_ONLY_v1.0.md,11_DATABASE_SCHEMA,CORE_NESTED_ARTIFACT,W4-01E / W4-02 PHYSICAL AUTHORITY,5307,f00f28aed28f98f361117daf8b9fd06c40a3602d0b3ab3339a6d47228211ed51,5307,f00f28aed28f98f361117daf8b9fd06c40a3602d0b3ab3339a6d47228211ed51,YES,RETAINED_IMMUTABLE,,125
CAM11-0020,11_DATABASE_SCHEMA/RUMAHAGEN_FULL_DATABASE_SCHEMA_SOURCE_ONLY_PACKAGE_v1.0_EXTRACTED/RUMAHAGEN_FULL_DATABASE_SCHEMA_SOURCE_ONLY_v1.0.sql,11_DATABASE_SCHEMA,CORE_NESTED_ARTIFACT,W4-01E / W4-02 PHYSICAL AUTHORITY,104518,0efce0e6e9074732735ee71da69575c3df9a7fba58961b4d3921480cbbd71e26,104518,0efce0e6e9074732735ee71da69575c3df9a7fba58961b4d3921480cbbd71e26,YES,RETAINED_IMMUTABLE,,1875
CAM11-0021,11_DATABASE_SCHEMA/W4-01E_FINAL_BUILD_FROM_ZERO_SCHEMA_PACKAGE_v2.6.zip,11_DATABASE_SCHEMA,CORE_SOURCE_PACK_MEMBER,W4-01E / W4-02 PHYSICAL AUTHORITY,18571,6d4c04df87e2d52e2b2787f4f558456e20394c61a3a81e283938a11f830dfe1a,18571,6d4c04df87e2d52e2b2787f4f558456e20394c61a3a81e283938a11f830dfe1a,YES,RETAINED_IMMUTABLE,,477
CAM11-0022,11_DATABASE_SCHEMA/W4-01E_FINAL_BUILD_FROM_ZERO_SCHEMA_PACKAGE_v2.6_EXTRACTED/RUMAHAGEN_W4-01E_FINAL_CANONICAL_BUILD_FROM_ZERO_DATABASE_SCHEMA_v2.6.sql,11_DATABASE_SCHEMA,CORE_NESTED_ARTIFACT,W4-01E / W4-02 PHYSICAL AUTHORITY,106605,73bc0e2803d1e27160cb9fc8ad61b013b079c50a67b8f1f6e6f5432b4a1c9531,106605,73bc0e2803d1e27160cb9fc8ad61b013b079c50a67b8f1f6e6f5432b4a1c9531,YES,RETAINED_IMMUTABLE,,1882
CAM11-0023,11_DATABASE_SCHEMA/W4-01E_FINAL_BUILD_FROM_ZERO_SCHEMA_PACKAGE_v2.6_EXTRACTED/RUMAHAGEN_W4-01E_FINAL_CANONICAL_TABLE_REGISTER_v2.6.csv,11_DATABASE_SCHEMA,CORE_NESTED_ARTIFACT,W4-01E / W4-02 PHYSICAL AUTHORITY,8023,d3c8386f3cb4a694c51833b50a1114c102f0bfad1e8bf62e188075c463a6308d,8023,d3c8386f3cb4a694c51833b50a1114c102f0bfad1e8bf62e188075c463a6308d,YES,RETAINED_IMMUTABLE,,87
