UploadedSource,RelativePath,ZipNestingLevel,Extension,SizeBytes,SHA256
RUMAHAGEN_P14_PROJECT_MANIFEST_FULL_REBUILD_v1.1.zip,P14_M01-M15_DEPENDENCY_MANIFEST_65.csv,0,.csv,4970,68885bbb1a5ca965f62101823586c43fb6cdb5f9f3dbaf06c588f706bcb75574
M01-M15 new recon(20260908-034650).zip,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,0,.md,24186,1c53930998a825a2b0b36bf7407239a913f8306b201e642d8628ce3e2327ed53
M01-M15 new recon(20260908-034650).zip,WF03_STEP02_FULL_M01-M15_BLOCKER_PREREQUISITE_RETRACE_v1.0.md,0,.md,11010,53c5b2104a79c8cfa562f18c9446065b9e063284de621a7d2665868895ff4f97
M01-M15 new recon(20260908-034650).zip,WF03_STEP01_OWNER_OVERRIDE_AND_RETRACE_BASELINE_v1.0.md,0,.md,4405,88354e3dd21fb63cd83acf7afb289451078b06432099c9c2c82daf737278714a
M01-M15 new recon(20260908-034650).zip,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,0,.md,21104,eb148ae05de827ae90619ae7be69186a2423cdfe9ba66c35c4dee6b21b5a30e6
M01-M15 new recon(20260908-034650).zip,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip,0,.zip,161796,b9e484c35d3cc997f791510ba10a5eeef0e851030a424699fff790b8317e76ca
M01-M15 new recon(20260908-034650).zip,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip__unz/15_M03_QA_COMPLETION_CONTROLLED_v1.3.md,1,.md,1396,c2a161abd7ee786113a8a1d8db7e293e4c7b0745fc4884697a78ff76323c0f00
M01-M15 new recon(20260908-034650).zip,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip__unz/MANIFEST_M03_FULL_REBUILD_v1.3.md,1,.md,1148,9a72ff3191e16efd885522b81e1c1ebdb124ca80f09f3c21e8031f9f2547df58
M01-M15 new recon(20260908-034650).zip,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip__unz/09_M03_SEARCH_CONTRACT_FULL_v1.3.md,1,.md,1635,8b88d97ee61f222d30336e49d9792513d59395fad2655db35f365ca7b5457a71
M01-M15 new recon(20260908-034650).zip,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip__unz/17_M03_QIR_INTEGRATION_PROVENANCE_v1.3.md,1,.md,1605,ee95baced7b6a41e2bd7fe067db3b07c208b816382d1b4ae5f54a32cd3a76e39
M01-M15 new recon(20260908-034650).zip,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip__unz/02_M03_PERMISSION_MATRIX_FULL_v1.3.xlsx,1,.xlsx,8231,055b82e2f0c0afbc692653dc63ff52857556a21b49f25d9b796434109a9eae13
M01-M15 new recon(20260908-034650).zip,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip__unz/11_M03_PHYSICAL_RUNTIME_STATUS_FULL_v1.3.md,1,.md,1346,ddcf7ff72551e43765665754443ad95e9ebae2518d99980e302ecf56fc5df73a
M01-M15 new recon(20260908-034650).zip,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip__unz/01_M03_QUESTION_INVENTORY_FULL_v1.3.csv,1,.csv,14733,7ebcbdd2b8989e0c57a981f28add726ae7b046b74d6e0118e58eeae895cbc88d
M01-M15 new recon(20260908-034650).zip,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip__unz/README_CONTROLLED_OUTPUT_v1.3.md,1,.md,1358,6324296237781583dc4c164b90569d0daa4556d64edbfb3b4c7ef15bcf72875a
M01-M15 new recon(20260908-034650).zip,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip__unz/05_M03_CROSS_ARTIFACT_RECONCILIATION_FULL_v1.3.md,1,.md,2047,3e80c41639a4a5b1bd36565a3b4dfcd3a6e6b6e41b49c8d90dd9ae365e4ce04e
M01-M15 new recon(20260908-034650).zip,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip__unz/04_M03_SEMANTIC_LIFECYCLE_AUTHORITY_FULL_v1.3.md,1,.md,3651,d237ceef14e3ffdcbbef81163d9758aa98e94a6e273124c7d3be8713fb8c21fc
M01-M15 new recon(20260908-034650).zip,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip__unz/07_M03_RBAC_RLS_CONTRACT_FULL_v1.3.md,1,.md,1468,09d31f650c0cc476741119d75206b283abf22605e2bec9a76ea47347389a2ed9
M01-M15 new recon(20260908-034650).zip,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip__unz/06_M03_API_CONTRACT_FULL_v1.3.md,1,.md,1992,5b1299f701cbb3dd0d8e5f3ba041e619d5a584c0401578469d60e7e7013746e8
M01-M15 new recon(20260908-034650).zip,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip__unz/08_M03_SCHEMA_ERD_RECONCILIATION_FULL_v1.3.sql,1,.sql,662,ce83c094d6914d06ce71d88de776cda62a39ee4dc047b294558c08fbcdb6e7bd
M01-M15 new recon(20260908-034650).zip,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip__unz/00_M03_REBUILD_CONTROL_REPORT_v1.3.md,1,.md,4607,cc0fe9bdeff48456a3010936fdadeba7ceb338ccded2f46b46c4a6d551b08285
M01-M15 new recon(20260908-034650).zip,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip__unz/16_WF03_MASTER_PROGRESS_M01-M15_v1.8_M03_QIR_INTEGRATED.xlsx,1,.xlsx,29255,eba4a88d5d22fa972654e78c1a3ae4ffe3c4fa07103a82b39b749f1435401ed2
M01-M15 new recon(20260908-034650).zip,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip__unz/01_M03_QUESTION_INVENTORY_FULL_v1.3.xlsx,1,.xlsx,10724,9038cefe60b2982db6cc081355d1262c16a4df852b1199eca0b732e6fa6d40ef
M01-M15 new recon(20260908-034650).zip,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip__unz/13_M03_MEDIA_THUMBNAIL_DERIVATIVE_CONTRACT_FULL_v1.3.md,1,.md,1664,de6aea2c25f5a253264419b55b0559e8f9747381806d00180a349d409de04b25
M01-M15 new recon(20260908-034650).zip,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip__unz/03_M03_PERMISSION_MATRIX_FULL_v1.3.csv,1,.csv,2976,99dfeae307ee98b5feeb954772740e79dd2f096eed0cfcb16034df5c1af3fc43
M01-M15 new recon(20260908-034650).zip,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip__unz/10_M03_UI_UX_USER_FLOW_FULL_v1.3.md,1,.md,1632,8088db4f7266fc022960ff19b9f2aca8e473a7ab20eb294a5bd79992d6eee86a
M01-M15 new recon(20260908-034650).zip,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip__unz/14_M03_DISTRICT_REFRESH_POSITIONING_CONTRACT_FULL_v1.3.md,1,.md,1518,cfd64dc6285dc1a6f0db4aa703ffc412eaf24dfb2c116f20af8a76ce4ea3e3ea
M01-M15 new recon(20260908-034650).zip,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip__unz/_PROVENANCE_QIR_V1.0_SOURCE/01_M03_QUESTION_INVENTORY_RESOLVED_v1.0.xlsx,1,.xlsx,10960,10acb3cdc93a7a2dcf62228c000bc9b1f88e1a2c838f794ce8add5fe640bec82
M01-M15 new recon(20260908-034650).zip,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip__unz/_PROVENANCE_QIR_V1.0_SOURCE/11_M03_PHYSICAL_RUNTIME_STATUS_FULL_v1.2.md,1,.md,1346,f04d585eb56bbac7b4ae96ff13367809aeff4ed2a3b703a208676d73cb72666d
M01-M15 new recon(20260908-034650).zip,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip__unz/_PROVENANCE_QIR_V1.0_SOURCE/08_M03_SCHEMA_ERD_RECONCILIATION_FULL_v1.0.sql,1,.sql,1013,846555669f649b6e9eb2aae9134aded8d09d0992873632d09929b406cf54cd9a
