API ID,Method,Endpoint,UI representation
200,GET,/titles,TTL-001
201,GET,/titles/{title_id},TTL-001;ADM-M15-001
202,POST,/titles,ADM-M15-001
203,PUT,/titles/{title_id},ADM-M15-001
204,PATCH,/titles/{title_id}/status,ADM-M15-001
205,GET,/titles/{title_id}/awarding-paths,TTL-001;ADM-M15-002
206,POST,/titles/{title_id}/awarding-paths,ADM-M15-002
207,GET,/awarding-paths/{path_id},ADM-M15-002
208,PUT,/awarding-paths/{path_id},ADM-M15-002
209,PATCH,/awarding-paths/{path_id}/status,ADM-M15-002
210,GET,/awarding-paths/{path_id}/versions,ADM-M15-003
211,POST,/awarding-paths/{path_id}/versions,ADM-M15-003
212,GET,/awarding-path-versions/{path_version_id},ADM-M15-003
213,GET,/awarding-rule-versions/{rule_version_id},ADM-M15-004
214,POST,/awarding-rule-versions,ADM-M15-004
215,PUT,/awarding-rule-versions/{rule_version_id},ADM-M15-004
216,POST,/qualification-evaluations,ADM-M15-006
217,GET,/qualification-evaluations/{evaluation_id},QAL-003;ADM-M15-006
218,POST,/qualification-evaluations/{evaluation_id}/evaluate,ADM-M15-006
219,GET,/agents/me/qualification-evaluations,QAL-001;QAL-003
220,POST,/qualification-evidence,QAL-002;ADM-M15-006
221,GET,/qualification-evidence/{evidence_id},QAL-002;ADM-M15-006
222,GET,/qualification-evaluations/{evaluation_id}/evidence,QAL-003;ADM-M15-006
223,GET,/awards,AWD-001
224,GET,/awards/{award_id},AWD-002
225,GET,/agents/me/awards,AWD-001
226,GET,/agents/{agent_id}/awards,TTL-001;AWD-001
227,POST,/awards,ADM-M15-007
228,PATCH,/awards/{award_id}/lifecycle,ADM-M15-007
229,GET,/awards/{award_id}/provenance,AWD-002;ADM-M15-009
230,POST,/awards/{award_id}/appeals,AWD-003
231,GET,/awards/{award_id}/appeals,AWD-003;ADM-M15-008
232,POST,/awards/{award_id}/appeals/{appeal_id}/decide,ADM-M15-008
233,POST,/awards/{award_id}/restore,ADM-M15-007;ADM-M15-008
234,GET,/agents/me/awards/presentation,AWD-004
235,PUT,/agents/me/awards/presentation,AWD-004
236,GET,/agents/{agent_id}/awards/presentation,TTL-001;AWD-004
